Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,216082500.0,183670124.96,32412375.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,217523050.0,184894592.48,32628457.520000003,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,218963600.0,186119060.0,32844540.0,85.0,15.0,232.10000000000002,69314.54,357.08000000000004,328.51000000000005,-28.57,28.57
2024-04-01,HISTORICO,220404150.0,187343527.52,33060622.479999997,85.0,15.0,231.65000000000003,67092.92,356.39,327.89,-28.53,28.53
2024-05-01,HISTORICO,221844700.0,188567995.04,33276705.039999995,85.0,15.0,241.24999999999997,67221.95999999999,371.13999999999993,341.46000000000004,-29.69,29.69
2024-06-01,HISTORICO,223285250.0,189792462.48,33492787.520000003,85.0,15.0,253.18999999999997,70418.41999999998,389.54,358.38,-31.169999999999998,31.169999999999998
2024-07-01,HISTORICO,224725800.0,191016930.0,33708870.0,85.0,15.0,256.13,74489.24,394.08,362.55,-31.519999999999996,31.519999999999996
2024-08-01,HISTORICO,226166350.0,192241397.52,33924952.48,85.0,15.0,247.31999999999996,76015.23,380.49,350.05,-30.450000000000003,30.450000000000003
2024-09-01,HISTORICO,227606900.0,193465864.96,34141035.04,85.0,15.0,236.24,74376.40000000001,363.42999999999995,334.36,-29.089999999999996,29.089999999999996
2024-10-01,HISTORICO,229047450.0,194690332.48,34357117.52,85.0,15.0,232.8,71859.32999999999,358.15000000000003,329.49,-28.66,28.66
2024-11-01,HISTORICO,230488000.0,195914800.0,34573200.0,85.0,15.0,239.66000000000003,71139.95999999999,368.71999999999997,339.18999999999994,-29.490000000000002,29.490000000000002
2024-12-01,HISTORICO,231928550.0,197139267.52,34789282.48,85.0,15.0,251.51000000000002,73571.45999999999,386.96999999999997,356.0,-30.96,30.96
2025-01-01,HISTORICO,233369100.0,198363735.04,35005365.04,85.0,15.0,257.6,77782.63,396.31,364.6,-31.700000000000003,31.700000000000003
2025-02-01,HISTORICO,234809650.0,199588202.48,35221447.52,85.0,15.0,251.81,80276.14,387.39000000000004,356.39,-30.99,30.99
2025-03-01,HISTORICO,236250200.0,200812670.0,35437530.0,85.0,15.0,240.64999999999998,79378.62999999999,370.21,340.6,-29.61,29.61
2025-04-01,HISTORICO,237690750.0,202037137.52,35653612.48,85.0,15.0,234.64999999999998,76791.66999999998,361.01,332.14,-28.89,28.89
