Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30263140.14,439824.6975,191644748.19,124569086.32,362.8469,373850.99,65973.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.4740925,478767.0840939383,736564.7447806002,677639.5651981522,-58925.17958244798,58925.17958244798,7.999999999999995
2026-08-28,28,2026-08-01,True,BOGOTA,41817508.09,439824.6975,191644748.19,124569086.32,362.8469,373850.99,65973.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.4740925,478767.0840939383,736564.7447806002,677639.5651981522,-58925.17958244798,58925.17958244798,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34147427.08,439824.6975,191644748.19,124569086.32,362.8469,373850.99,65973.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.4740925,478767.0840939383,736564.7447806002,677639.5651981522,-58925.17958244798,58925.17958244798,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26796411.57,439824.6975,191644748.19,124569086.32,362.8469,373850.99,65973.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.4740925,478767.0840939383,736564.7447806002,677639.5651981522,-58925.17958244798,58925.17958244798,7.999999999999995
2026-08-28,28,2026-08-01,True,VALLE,21857131.08,439824.6975,191644748.19,124569086.32,362.8469,373850.99,65973.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.4740925,478767.0840939383,736564.7447806002,677639.5651981522,-58925.17958244798,58925.17958244798,7.999999999999995
2026-08-28,28,2026-08-01,True,SANTANDER,16768258.72,439824.6975,191644748.19,124569086.32,362.8469,373850.99,65973.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.4740925,478767.0840939383,736564.7447806002,677639.5651981522,-58925.17958244798,58925.17958244798,7.999999999999995
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10898802.49,439824.6975,191644748.19,124569086.32,362.8469,373850.99,65973.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.4740925,478767.0840939383,736564.7447806002,677639.5651981522,-58925.17958244798,58925.17958244798,7.999999999999995
2026-08-28,28,2026-08-01,True,TOLIMA,9096069.02,439824.6975,191644748.19,124569086.32,362.8469,373850.99,65973.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.4740925,478767.0840939383,736564.7447806002,677639.5651981522,-58925.17958244798,58925.17958244798,7.999999999999995
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25743387.29,311924.60875,161201347.97,104780876.18,363.5664,265135.92,46788.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7738262500001,340215.921223938,523409.10957778693,481536.380811564,-41872.72876622295,41872.72876622295,7.999999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35691888.02,311924.60875,161201347.97,104780876.18,363.5664,265135.92,46788.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7738262500001,340215.921223938,523409.10957778693,481536.380811564,-41872.72876622295,41872.72876622295,7.999999999999999
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28053675.47,311924.60875,161201347.97,104780876.18,363.5664,265135.92,46788.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7738262500001,340215.921223938,523409.10957778693,481536.380811564,-41872.72876622295,41872.72876622295,7.999999999999999
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22184674.14,311924.60875,161201347.97,104780876.18,363.5664,265135.92,46788.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7738262500001,340215.921223938,523409.10957778693,481536.380811564,-41872.72876622295,41872.72876622295,7.999999999999999
2026-08-29,29,2026-08-01,True,VALLE,18433798.05,311924.60875,161201347.97,104780876.18,363.5664,265135.92,46788.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7738262500001,340215.921223938,523409.10957778693,481536.380811564,-41872.72876622295,41872.72876622295,7.999999999999999
2026-08-29,29,2026-08-01,True,SANTANDER,14332897.22,311924.60875,161201347.97,104780876.18,363.5664,265135.92,46788.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7738262500001,340215.921223938,523409.10957778693,481536.380811564,-41872.72876622295,41872.72876622295,7.999999999999999
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9170280.48,311924.60875,161201347.97,104780876.18,363.5664,265135.92,46788.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7738262500001,340215.921223938,523409.10957778693,481536.380811564,-41872.72876622295,41872.72876622295,7.999999999999999
