Código Agente,Nombre Comercializador,Rol Regulado PUI (CIOR/CNIOR),Código Mercado Comercialización,Mercado Comercialización,Período (Mes),Tipo de Registro,Es Pronóstico (Sí/No),Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos (Compras Contrato) [kWh],Exposición Energía en Bolsa Spot (Compras Bolsa) [kWh],Porcentaje Cobertura por Contratos [%],Porcentaje Exposición en Bolsa Spot [%],Estado Cobertura de Demanda Agente,Días Activos Mes,Promedio Diario Agente [kWh/día],Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Comercial Mercado Total (VR - DemaCome) [kWh],Demanda Total Sistema (Todos Agentes) [kWh],Demanda Total Sistema (CNIORs) [kWh],Participación Agente en Total Sistema [%],Participación Agente entre CNIORs [%],Ranking Demanda Agente en el Mes,Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales Rezago m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Unitario Transitorio (CRPUI) [COP/kWh],Cargo Unitario Fijo Competitivo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Ingresos PUI Facturados Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%],Código Comercializador CIOR,Nombre Comercializador CIOR,Demanda Acumulada CIOR [kWh],Total Giros Recibidos CIOR [COP],Parámetro Prima Riesgo Cartera (rcpui) [COP/kWh],Parámetro % Áreas Especiales [%],Parámetro Factor Recaudo CNIOR [%],Parámetro Cargo Competitivo (cfpui) [COP/kWh],Parámetro Esquema Competitivo [Sí/No]
ASCC,ASCC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-01-01,HISTORICO,False,9691875.0,8238093.75,1453781.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,323062.5,280.0,25000000.0,1500000000.0,975000000.0,5.169,7.9523,12,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-01-01,HISTORICO,False,9691875.0,8238093.75,1453781.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,323062.5,280.0,35000000.0,1500000000.0,975000000.0,5.169,7.9523,12,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-01-01,HISTORICO,False,9691875.0,8238093.75,1453781.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,323062.5,280.0,28000000.0,1500000000.0,975000000.0,5.169,7.9523,12,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-01-01,HISTORICO,False,9691875.0,8238093.75,1453781.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,323062.5,280.0,22000000.0,1500000000.0,975000000.0,5.169,7.9523,12,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-01-01,HISTORICO,False,9691875.0,8238093.75,1453781.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,323062.5,280.0,9000000.0,1500000000.0,975000000.0,5.169,7.9523,12,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-01-01,HISTORICO,False,9691875.0,8238093.75,1453781.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,323062.5,280.0,14000000.0,1500000000.0,975000000.0,5.169,7.9523,12,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-01-01,HISTORICO,False,9691875.0,8238093.75,1453781.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,323062.5,280.0,7500000.0,1500000000.0,975000000.0,5.169,7.9523,12,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-01-01,HISTORICO,False,9691875.0,8238093.75,1453781.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,323062.5,280.0,18000000.0,1500000000.0,975000000.0,5.169,7.9523,12,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-02-01,HISTORICO,False,9756487.5,8293014.38,1463473.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,325216.25,295.1221,25250000.0,1510000000.0,981500000.0,5.169,7.9523,12,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-02-01,HISTORICO,False,9756487.5,8293014.38,1463473.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,325216.25,295.1221,35350000.0,1510000000.0,981500000.0,5.169,7.9523,12,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-02-01,HISTORICO,False,9756487.5,8293014.38,1463473.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,325216.25,295.1221,28280000.0,1510000000.0,981500000.0,5.169,7.9523,12,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-02-01,HISTORICO,False,9756487.5,8293014.38,1463473.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,325216.25,295.1221,22220000.0,1510000000.0,981500000.0,5.169,7.9523,12,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-02-01,HISTORICO,False,9756487.5,8293014.38,1463473.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,325216.25,295.1221,9090000.0,1510000000.0,981500000.0,5.169,7.9523,12,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-02-01,HISTORICO,False,9756487.5,8293014.38,1463473.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,325216.25,295.1221,14140000.0,1510000000.0,981500000.0,5.169,7.9523,12,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-02-01,HISTORICO,False,9756487.5,8293014.38,1463473.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,325216.25,295.1221,7575000.0,1510000000.0,981500000.0,5.169,7.9523,12,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-02-01,HISTORICO,False,9756487.5,8293014.38,1463473.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,325216.25,295.1221,18180000.0,1510000000.0,981500000.0,5.169,7.9523,12,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-03-01,HISTORICO,False,9821100.0,8347935.0,1473165.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,327370.0,298.6395,25500000.0,1520000000.0,988000000.0,5.169,7.9523,12,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,13.14,3922.95,13.14,20.21,18.59,-1.62,1.62,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-03-01,HISTORICO,False,9821100.0,8347935.0,1473165.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,327370.0,298.6395,35700000.0,1520000000.0,988000000.0,5.169,7.9523,12,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,18.39,5492.14,18.39,28.29,26.03,-2.26,2.26,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-03-01,HISTORICO,False,9821100.0,8347935.0,1473165.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,327370.0,298.6395,28560000.0,1520000000.0,988000000.0,5.169,7.9523,12,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,14.71,4393.71,14.71,22.63,20.82,-1.81,1.81,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-03-01,HISTORICO,False,9821100.0,8347935.0,1473165.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,327370.0,298.6395,22440000.0,1520000000.0,988000000.0,5.169,7.9523,12,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,11.56,3452.2,11.56,17.78,16.36,-1.42,1.42,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-03-01,HISTORICO,False,9821100.0,8347935.0,1473165.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,327370.0,298.6395,9180000.0,1520000000.0,988000000.0,5.169,7.9523,12,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,4.73,1412.26,4.73,7.28,6.69,-0.58,0.58,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-03-01,HISTORICO,False,9821100.0,8347935.0,1473165.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,327370.0,298.6395,14280000.0,1520000000.0,988000000.0,5.169,7.9523,12,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,7.36,2196.85,7.36,11.32,10.41,-0.91,0.91,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-03-01,HISTORICO,False,9821100.0,8347935.0,1473165.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,327370.0,298.6395,7650000.0,1520000000.0,988000000.0,5.169,7.9523,12,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,3.94,1176.89,3.94,6.06,5.58,-0.49,0.49,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-03-01,HISTORICO,False,9821100.0,8347935.0,1473165.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,327370.0,298.6395,18360000.0,1520000000.0,988000000.0,5.169,7.9523,12,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,9.46,2824.53,9.46,14.55,13.39,-1.16,1.16,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-04-01,HISTORICO,False,9885712.5,8402855.62,1482856.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,329523.75,289.6168,25750000.0,1530000000.0,994500000.0,5.169,7.9523,12,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,13.11,3797.22,13.11,20.17,18.56,-1.61,1.61,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-04-01,HISTORICO,False,9885712.5,8402855.62,1482856.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,329523.75,289.6168,36050000.0,1530000000.0,994500000.0,5.169,7.9523,12,35700000.0,3570000.0,298.6395,35350000.0,3605000.0,1.005e-05,0.0,355.11,355.11,326.7,18.36,5316.11,18.36,28.24,25.98,-2.26,2.26,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-04-01,HISTORICO,False,9885712.5,8402855.62,1482856.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,329523.75,289.6168,28840000.0,1530000000.0,994500000.0,5.169,7.9523,12,28560000.0,2856000.0,298.6395,28280000.0,2884000.0,1.005e-05,0.0,284.09,284.09,261.36,14.68,4252.89,14.68,22.59,20.78,-1.81,1.81,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-04-01,HISTORICO,False,9885712.5,8402855.62,1482856.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,329523.75,289.6168,22660000.0,1530000000.0,994500000.0,5.169,7.9523,12,22440000.0,2244000.0,298.6395,22220000.0,2266000.0,1.005e-05,0.0,223.21,223.21,205.36,11.54,3341.55,11.54,17.75,16.33,-1.42,1.42,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-04-01,HISTORICO,False,9885712.5,8402855.62,1482856.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,329523.75,289.6168,9270000.0,1530000000.0,994500000.0,5.169,7.9523,12,9180000.0,918000.0,298.6395,9090000.0,927000.0,1.005e-05,0.0,91.31,91.31,84.01,4.72,1367.0,4.72,7.26,6.68,-0.58,0.58,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-04-01,HISTORICO,False,9885712.5,8402855.62,1482856.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,329523.75,289.6168,14420000.0,1530000000.0,994500000.0,5.169,7.9523,12,14280000.0,1428000.0,298.6395,14140000.0,1442000.0,1.005e-05,0.0,142.04,142.04,130.68,7.34,2126.44,7.34,11.3,10.39,-0.9,0.9,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-04-01,HISTORICO,False,9885712.5,8402855.62,1482856.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,329523.75,289.6168,7725000.0,1530000000.0,994500000.0,5.169,7.9523,12,7650000.0,765000.0,298.6395,7575000.0,772500.0,1.005e-05,0.0,76.1,76.1,70.01,3.93,1139.17,3.93,6.05,5.57,-0.48,0.48,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
ASCC,ASCC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-04-01,HISTORICO,False,9885712.5,8402855.62,1482856.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,329523.75,289.6168,18540000.0,1530000000.0,994500000.0,5.169,7.9523,12,18360000.0,1836000.0,298.6395,18180000.0,1854000.0,1.005e-05,0.0,182.63,182.63,168.02,9.44,2734.0,9.44,14.52,13.36,-1.16,1.16,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
