Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,77535000.0,65904750.0,11630250.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,78051900.0,66344115.04000001,11707785.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,78568800.0,66783480.0,11785320.0,85.0,15.0,83.28999999999999,24871.529999999995,128.12,117.86999999999999,-10.25,10.25
2024-04-01,HISTORICO,79085700.0,67222844.96,11862855.04,85.0,15.0,83.12,24074.379999999997,127.88,117.64999999999999,-10.22,10.22
2024-05-01,HISTORICO,79602600.0,67662210.0,11940390.0,85.0,15.0,86.57,24120.68,133.17000000000002,122.51,-10.64,10.64
2024-06-01,HISTORICO,80119500.0,68101575.04,12017925.04,85.0,15.0,90.85,25267.620000000003,139.76999999999998,128.59,-11.18,11.18
2024-07-01,HISTORICO,80636400.0,68540940.0,12095460.0,85.0,15.0,91.92999999999999,26728.32,141.39999999999998,130.1,-11.31,11.31
2024-08-01,HISTORICO,81153300.0,68980304.96,12172995.04,85.0,15.0,88.76,27275.9,136.51999999999998,125.58999999999999,-10.92,10.92
2024-09-01,HISTORICO,81670200.0,69419670.0,12250530.0,85.0,15.0,84.77,26687.850000000002,130.41,119.97,-10.42,10.42
2024-10-01,HISTORICO,82187100.0,69859035.04,12328065.04,85.0,15.0,83.54,25784.65,128.51,118.22999999999999,-10.29,10.29
2024-11-01,HISTORICO,82704000.0,70298400.0,12405600.0,85.0,15.0,85.99999999999999,25526.53,132.29000000000002,121.71000000000001,-10.579999999999998,10.579999999999998
2024-12-01,HISTORICO,83220900.0,70737764.96,12483135.04,85.0,15.0,90.25,26399.0,138.84,127.74000000000002,-11.1,11.1
2025-01-01,HISTORICO,83737800.0,71177130.0,12560670.0,85.0,15.0,92.43,27910.059999999998,142.2,130.83999999999997,-11.369999999999997,11.369999999999997
2025-02-01,HISTORICO,84254700.0,71616495.04,12638205.04,85.0,15.0,90.35000000000001,28804.78,139.01999999999998,127.88,-11.11,11.11
2025-03-01,HISTORICO,84771600.0,72055860.0,12715740.0,85.0,15.0,86.36,28482.739999999998,132.84,122.21999999999998,-10.64,10.64
2025-04-01,HISTORICO,85288500.0,72495224.96,12793275.04,85.0,15.0,84.19,27554.500000000004,129.53,119.18,-10.37,10.37
2025-05-01,HISTORICO,85805400.0,72934590.0,12870810.0,85.0,15.0,85.61,27028.730000000003,131.72,121.17,-10.54,10.54
2025-06-01,HISTORICO,86322300.0,73373955.04,12948345.04,85.0,15.0,89.53999999999999,27584.66,137.75,126.73,-11.020000000000001,11.020000000000001
2025-07-01,HISTORICO,86839200.0,73813320.0,13025880.0,85.0,15.0,92.55,29034.610000000004,142.38,130.99,-11.399999999999999,11.399999999999999
