Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30063225.48,440693.38125,192023259.57999998,124815118.73,362.8469,374589.37,66104.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.08014375,479712.68171124184,738019.5103072487,678977.9494826688,-59041.56082457991,59041.56082457991,8.000000000000002
2026-08-28,28,2026-08-01,True,BOGOTA,42805351.87,440693.38125,192023259.57999998,124815118.73,362.8469,374589.37,66104.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.08014375,479712.68171124184,738019.5103072487,678977.9494826688,-59041.56082457991,59041.56082457991,8.000000000000002
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34076064.39,440693.38125,192023259.57999998,124815118.73,362.8469,374589.37,66104.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.08014375,479712.68171124184,738019.5103072487,678977.9494826688,-59041.56082457991,59041.56082457991,8.000000000000002
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26812524.99,440693.38125,192023259.57999998,124815118.73,362.8469,374589.37,66104.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.08014375,479712.68171124184,738019.5103072487,678977.9494826688,-59041.56082457991,59041.56082457991,8.000000000000002
2026-08-28,28,2026-08-01,True,VALLE,21530876.76,440693.38125,192023259.57999998,124815118.73,362.8469,374589.37,66104.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.08014375,479712.68171124184,738019.5103072487,678977.9494826688,-59041.56082457991,59041.56082457991,8.000000000000002
2026-08-28,28,2026-08-01,True,SANTANDER,16736627.52,440693.38125,192023259.57999998,124815118.73,362.8469,374589.37,66104.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.08014375,479712.68171124184,738019.5103072487,678977.9494826688,-59041.56082457991,59041.56082457991,8.000000000000002
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10901777.0,440693.38125,192023259.57999998,124815118.73,362.8469,374589.37,66104.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.08014375,479712.68171124184,738019.5103072487,678977.9494826688,-59041.56082457991,59041.56082457991,8.000000000000002
2026-08-28,28,2026-08-01,True,TOLIMA,9096811.57,440693.38125,192023259.57999998,124815118.73,362.8469,374589.37,66104.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.08014375,479712.68171124184,738019.5103072487,678977.9494826688,-59041.56082457991,59041.56082457991,8.000000000000002
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25466589.52,313015.66125,161765199.53,105147379.69,363.5664,266063.31,46952.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04698375,341405.93131284596,525239.8943499341,483220.7028019394,-42019.19154799468,42019.19154799468,7.99999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35794385.98,313015.66125,161765199.53,105147379.69,363.5664,266063.31,46952.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04698375,341405.93131284596,525239.8943499341,483220.7028019394,-42019.19154799468,42019.19154799468,7.99999999999999
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28516124.5,313015.66125,161765199.53,105147379.69,363.5664,266063.31,46952.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04698375,341405.93131284596,525239.8943499341,483220.7028019394,-42019.19154799468,42019.19154799468,7.99999999999999
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22640349.53,313015.66125,161765199.53,105147379.69,363.5664,266063.31,46952.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04698375,341405.93131284596,525239.8943499341,483220.7028019394,-42019.19154799468,42019.19154799468,7.99999999999999
2026-08-29,29,2026-08-01,True,VALLE,18542224.19,313015.66125,161765199.53,105147379.69,363.5664,266063.31,46952.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04698375,341405.93131284596,525239.8943499341,483220.7028019394,-42019.19154799468,42019.19154799468,7.99999999999999
2026-08-29,29,2026-08-01,True,SANTANDER,14052972.76,313015.66125,161765199.53,105147379.69,363.5664,266063.31,46952.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04698375,341405.93131284596,525239.8943499341,483220.7028019394,-42019.19154799468,42019.19154799468,7.99999999999999
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9109693.21,313015.66125,161765199.53,105147379.69,363.5664,266063.31,46952.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04698375,341405.93131284596,525239.8943499341,483220.7028019394,-42019.19154799468,42019.19154799468,7.99999999999999
2026-08-29,29,2026-08-01,True,TOLIMA,7642859.84,313015.66125,161765199.53,105147379.69,363.5664,266063.31,46952.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04698375,341405.93131284596,525239.8943499341,483220.7028019394,-42019.19154799468,42019.19154799468,7.99999999999999
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25818874.47,314023.265,162285924.98000002,105485851.24,364.2743,266919.78,47103.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0697950000001,343171.81512476853,527956.6386384751,485720.1075473971,-42236.53109107801,42236.53109107801,8.0
2026-08-30,30,2026-08-01,True,BOGOTA,35996482.88,314023.265,162285924.98000002,105485851.24,364.2743,266919.78,47103.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0697950000001,343171.81512476853,527956.6386384751,485720.1075473971,-42236.53109107801,42236.53109107801,8.0
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28521229.81,314023.265,162285924.98000002,105485851.24,364.2743,266919.78,47103.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0697950000001,343171.81512476853,527956.6386384751,485720.1075473971,-42236.53109107801,42236.53109107801,8.0
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22717927.89,314023.265,162285924.98000002,105485851.24,364.2743,266919.78,47103.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0697950000001,343171.81512476853,527956.6386384751,485720.1075473971,-42236.53109107801,42236.53109107801,8.0
2026-08-30,30,2026-08-01,True,VALLE,18209860.45,314023.265,162285924.98000002,105485851.24,364.2743,266919.78,47103.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0697950000001,343171.81512476853,527956.6386384751,485720.1075473971,-42236.53109107801,42236.53109107801,8.0
2026-08-30,30,2026-08-01,True,SANTANDER,14393006.97,314023.265,162285924.98000002,105485851.24,364.2743,266919.78,47103.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0697950000001,343171.81512476853,527956.6386384751,485720.1075473971,-42236.53109107801,42236.53109107801,8.0
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9019931.05,314023.265,162285924.98000002,105485851.24,364.2743,266919.78,47103.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0697950000001,343171.81512476853,527956.6386384751,485720.1075473971,-42236.53109107801,42236.53109107801,8.0
2026-08-30,30,2026-08-01,True,TOLIMA,7608611.46,314023.265,162285924.98000002,105485851.24,364.2743,266919.78,47103.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0697950000001,343171.81512476853,527956.6386384751,485720.1075473971,-42236.53109107801,42236.53109107801,8.0
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30624738.34,440624.19625,191993113.8,124795523.97,364.9592,374530.57,66093.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.87258875,482429.562492129,742199.3269109678,682823.3807580904,-59375.94615287741,59375.94615287741,7.999999999999999
2026-08-31,31,2026-08-01,True,BOGOTA,42116823.15,440624.19625,191993113.8,124795523.97,364.9592,374530.57,66093.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.87258875,482429.562492129,742199.3269109678,682823.3807580904,-59375.94615287741,59375.94615287741,7.999999999999999
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33952644.57,440624.19625,191993113.8,124795523.97,364.9592,374530.57,66093.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.87258875,482429.562492129,742199.3269109678,682823.3807580904,-59375.94615287741,59375.94615287741,7.999999999999999
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26237729.33,440624.19625,191993113.8,124795523.97,364.9592,374530.57,66093.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.87258875,482429.562492129,742199.3269109678,682823.3807580904,-59375.94615287741,59375.94615287741,7.999999999999999
2026-08-31,31,2026-08-01,True,VALLE,21941828.09,440624.19625,191993113.8,124795523.97,364.9592,374530.57,66093.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.87258875,482429.562492129,742199.3269109678,682823.3807580904,-59375.94615287741,59375.94615287741,7.999999999999999
2026-08-31,31,2026-08-01,True,SANTANDER,17125688.3,440624.19625,191993113.8,124795523.97,364.9592,374530.57,66093.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.87258875,482429.562492129,742199.3269109678,682823.3807580904,-59375.94615287741,59375.94615287741,7.999999999999999
2026-08-31,31,2026-08-01,True,CUNDINAMARCA,10977847.83,440624.19625,191993113.8,124795523.97,364.9592,374530.57,66093.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.87258875,482429.562492129,742199.3269109678,682823.3807580904,-59375.94615287741,59375.94615287741,7.999999999999999
