Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,191287500.0,162594375.04,28693125.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,192562750.0,163678337.52,28884412.479999997,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,193838000.0,164762300.0,29075700.0,85.0,15.0,205.46999999999997,61360.840000000004,316.10999999999996,290.82000000000005,-25.29,25.29
2024-04-01,HISTORICO,195113250.0,165846262.48,29266987.520000003,85.0,15.0,205.08,59394.15,315.51,290.26,-25.230000000000004,25.230000000000004
2024-05-01,HISTORICO,196388500.0,166930224.96,29458275.039999995,85.0,15.0,213.56,59508.380000000005,328.55,302.28,-26.269999999999996,26.269999999999996
2024-06-01,HISTORICO,197663750.0,168014187.52,29649562.479999997,85.0,15.0,224.14999999999998,62338.049999999996,344.84000000000003,317.24,-27.59,27.59
2024-07-01,HISTORICO,198939000.0,169098150.0,29840850.0,85.0,15.0,226.76,65941.77,348.85,320.95,-27.9,27.9
2024-08-01,HISTORICO,200214250.0,170182112.48,30032137.520000003,85.0,15.0,218.94,67292.63,336.83,309.88,-26.95,26.95
2024-09-01,HISTORICO,201489500.0,171266075.04,30223425.039999995,85.0,15.0,209.13,65841.88,321.75000000000006,295.99,-25.729999999999997,25.729999999999997
2024-10-01,HISTORICO,202764750.0,172350037.52,30414712.479999997,85.0,15.0,206.06999999999996,63613.630000000005,317.04999999999995,291.69,-25.36,25.36
2024-11-01,HISTORICO,204040000.0,173434000.0,30606000.0,85.0,15.0,212.16,62976.80000000001,326.38,300.28000000000003,-26.119999999999997,26.119999999999997
