Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30468899.35,439345.4175,191435911.98000002,124433342.79,362.8469,373443.6,65901.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.0362525,478245.3683072423,735762.1050703262,676901.1366647002,-58860.968405626016,58860.968405626016,7.999999999999989
2026-08-28,28,2026-08-01,True,BOGOTA,41995151.58,439345.4175,191435911.98000002,124433342.79,362.8469,373443.6,65901.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.0362525,478245.3683072423,735762.1050703262,676901.1366647002,-58860.968405626016,58860.968405626016,7.999999999999989
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34088073.5,439345.4175,191435911.98000002,124433342.79,362.8469,373443.6,65901.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.0362525,478245.3683072423,735762.1050703262,676901.1366647002,-58860.968405626016,58860.968405626016,7.999999999999989
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26545384.39,439345.4175,191435911.98000002,124433342.79,362.8469,373443.6,65901.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.0362525,478245.3683072423,735762.1050703262,676901.1366647002,-58860.968405626016,58860.968405626016,7.999999999999989
2026-08-28,28,2026-08-01,True,VALLE,21452152.7,439345.4175,191435911.98000002,124433342.79,362.8469,373443.6,65901.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.0362525,478245.3683072423,735762.1050703262,676901.1366647002,-58860.968405626016,58860.968405626016,7.999999999999989
2026-08-28,28,2026-08-01,True,SANTANDER,16905513.94,439345.4175,191435911.98000002,124433342.79,362.8469,373443.6,65901.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.0362525,478245.3683072423,735762.1050703262,676901.1366647002,-58860.968405626016,58860.968405626016,7.999999999999989
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10847774.3,439345.4175,191435911.98000002,124433342.79,362.8469,373443.6,65901.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.0362525,478245.3683072423,735762.1050703262,676901.1366647002,-58860.968405626016,58860.968405626016,7.999999999999989
2026-08-28,28,2026-08-01,True,TOLIMA,9132962.22,439345.4175,191435911.98000002,124433342.79,362.8469,373443.6,65901.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.0362525,478245.3683072423,735762.1050703262,676901.1366647002,-58860.968405626016,58860.968405626016,7.999999999999989
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25647447.2,311789.22875,161131384.55,104735399.96,363.5664,265020.84,46768.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.36768625,340068.262366242,523181.94208942266,481327.3867222689,-41854.55536715378,41854.55536715378,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,35406612.78,311789.22875,161131384.55,104735399.96,363.5664,265020.84,46768.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.36768625,340068.262366242,523181.94208942266,481327.3867222689,-41854.55536715378,41854.55536715378,7.999999999999993
