Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,204990000.0,174241500.0,30748500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,206356600.0,175403110.0,30953490.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,207723200.0,176564720.0,31158480.0,85.0,15.0,220.18999999999997,65756.31999999999,338.74,311.65999999999997,-27.089999999999996,27.089999999999996
2024-04-01,HISTORICO,209089800.0,177726330.0,31363470.0,85.0,15.0,219.76,63648.74,338.10999999999996,311.07,-27.05,27.05
2024-05-01,HISTORICO,210456400.0,178887940.0,31568460.0,85.0,15.0,228.87000000000003,63771.159999999996,352.0900000000001,323.92,-28.169999999999998,28.169999999999998
2024-06-01,HISTORICO,211823000.0,180049550.0,31773450.0,85.0,15.0,240.21000000000004,66803.52,369.53999999999996,339.96999999999997,-29.559999999999995,29.559999999999995
2024-07-01,HISTORICO,213189600.0,181211160.0,31978440.0,85.0,15.0,243.01,70665.38,373.84999999999997,343.94,-29.909999999999997,29.909999999999997
2024-08-01,HISTORICO,214556200.0,182372770.0,32183430.0,85.0,15.0,234.62999999999997,72113.02,360.96,332.06999999999994,-28.880000000000003,28.880000000000003
2024-09-01,HISTORICO,215922800.0,183534380.0,32388420.0,85.0,15.0,224.12,70558.31,344.78,317.2,-27.59,27.59
2024-10-01,HISTORICO,217289400.0,184695990.0,32593410.0,85.0,15.0,220.83999999999997,68170.48,339.76,312.58000000000004,-27.179999999999996,27.179999999999996
2024-11-01,HISTORICO,218656000.0,185857600.0,32798400.0,85.0,15.0,227.34999999999997,67488.01999999999,349.78,321.8,-27.97,27.97
2024-12-01,HISTORICO,220022600.0,187019210.0,33003390.0,85.0,15.0,238.62,69794.7,367.09,337.73,-29.380000000000003,29.380000000000003
2025-01-01,HISTORICO,221389200.0,188180820.0,33208380.0,85.0,15.0,244.38000000000002,73789.68,375.97,345.89,-30.07,30.07
2025-02-01,HISTORICO,222755800.0,189342430.0,33413370.0,85.0,15.0,238.88,76155.20999999999,367.51,338.10999999999996,-29.400000000000002,29.400000000000002
2025-03-01,HISTORICO,224122400.0,190504040.0,33618360.0,85.0,15.0,228.29000000000002,75303.77,351.21999999999997,323.12,-28.09,28.09
2025-04-01,HISTORICO,225489000.0,191665650.0,33823350.0,85.0,15.0,222.60999999999999,72849.62,342.48999999999995,315.08000000000004,-27.400000000000002,27.400000000000002
2025-05-01,HISTORICO,226855600.0,192827260.0,34028340.0,85.0,15.0,226.36000000000004,71459.59999999999,348.25000000000006,320.4,-27.849999999999998,27.849999999999998
2025-06-01,HISTORICO,228222200.0,193988870.0,34233330.0,85.0,15.0,236.72,72929.43,364.19000000000005,335.06,-29.129999999999995,29.129999999999995
2025-07-01,HISTORICO,229588800.0,195150480.0,34438320.0,85.0,15.0,244.67000000000002,76762.84,376.42,346.30999999999995,-30.11,30.11
2025-08-01,HISTORICO,230955400.0,196312090.0,34643310.0,85.0,15.0,242.33,79909.23,372.82000000000005,343.00000000000006,-29.82,29.82
2025-09-01,HISTORICO,232322000.0,197473700.0,34848300.0,85.0,15.0,232.54,79921.51999999999,357.76,329.12,-28.62,28.62
2025-10-01,HISTORICO,233688600.0,198635310.0,35053290.0,85.0,15.0,225.00000000000003,77633.37,346.13,318.44999999999993,-27.68,27.68
2025-11-01,HISTORICO,235055200.0,199796920.0,35258280.0,85.0,15.0,225.98000000000002,75677.03,347.67,319.86999999999995,-27.820000000000004,27.820000000000004
2025-12-01,HISTORICO,236421800.0,200958530.0,35463270.0,85.0,15.0,234.81000000000006,76265.78,361.22999999999996,332.34000000000003,-28.900000000000006,28.900000000000006
2026-01-01,HISTORICO,237788400.0,202120140.0,35668260.0,85.0,15.0,244.09,79670.71,375.5,345.47,-30.040000000000003,30.040000000000003
2026-02-01,HISTORICO,239155000.0,203281750.0,35873250.0,85.0,15.0,244.87,83379.83,376.72,346.58,-30.119999999999997,30.119999999999997
2026-03-01,HISTORICO,240521600.0,204443360.0,36078240.0,85.0,15.0,236.63,84345.56,364.05000000000007,334.94000000000005,-29.109999999999996,29.109999999999996
2026-04-01,HISTORICO,241888200.0,205604970.0,36283230.0,85.0,15.0,227.87999999999997,82459.51,350.6,322.53,-28.040000000000003,28.040000000000003
