Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30356085.8,440752.5975,192049062.06,124831890.34,362.8469,374639.71,66112.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.2577925,479777.1410094683,738118.6784701921,679069.1841925768,-59049.49427761533,59049.49427761533,7.999999999999995
2026-08-28,28,2026-08-01,True,BOGOTA,42395667.85,440752.5975,192049062.06,124831890.34,362.8469,374639.71,66112.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.2577925,479777.1410094683,738118.6784701921,679069.1841925768,-59049.49427761533,59049.49427761533,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34257066.86,440752.5975,192049062.06,124831890.34,362.8469,374639.71,66112.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.2577925,479777.1410094683,738118.6784701921,679069.1841925768,-59049.49427761533,59049.49427761533,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26715510.04,440752.5975,192049062.06,124831890.34,362.8469,374639.71,66112.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.2577925,479777.1410094683,738118.6784701921,679069.1841925768,-59049.49427761533,59049.49427761533,7.999999999999995
2026-08-28,28,2026-08-01,True,VALLE,21670725.53,440752.5975,192049062.06,124831890.34,362.8469,374639.71,66112.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.2577925,479777.1410094683,738118.6784701921,679069.1841925768,-59049.49427761533,59049.49427761533,7.999999999999995
2026-08-28,28,2026-08-01,True,SANTANDER,16746581.76,440752.5975,192049062.06,124831890.34,362.8469,374639.71,66112.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.2577925,479777.1410094683,738118.6784701921,679069.1841925768,-59049.49427761533,59049.49427761533,7.999999999999995
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10885996.17,440752.5975,192049062.06,124831890.34,362.8469,374639.71,66112.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.2577925,479777.1410094683,738118.6784701921,679069.1841925768,-59049.49427761533,59049.49427761533,7.999999999999995
2026-08-28,28,2026-08-01,True,TOLIMA,9021428.05,440752.5975,192049062.06,124831890.34,362.8469,374639.71,66112.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.2577925,479777.1410094683,738118.6784701921,679069.1841925768,-59049.49427761533,59049.49427761533,7.999999999999995
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25364840.95,311414.12375,160937531.94000003,104609395.76,363.5664,264702.01,46712.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.2423712500001,339659.13564282603,522552.51637857384,480748.31506828795,-41804.20131028589,41804.20131028589,7.999999999999997
2026-08-29,29,2026-08-01,True,BOGOTA,35507803.17,311414.12375,160937531.94000003,104609395.76,363.5664,264702.01,46712.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.2423712500001,339659.13564282603,522552.51637857384,480748.31506828795,-41804.20131028589,41804.20131028589,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28210246.89,311414.12375,160937531.94000003,104609395.76,363.5664,264702.01,46712.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.2423712500001,339659.13564282603,522552.51637857384,480748.31506828795,-41804.20131028589,41804.20131028589,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22275939.89,311414.12375,160937531.94000003,104609395.76,363.5664,264702.01,46712.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.2423712500001,339659.13564282603,522552.51637857384,480748.31506828795,-41804.20131028589,41804.20131028589,7.999999999999997
2026-08-29,29,2026-08-01,True,VALLE,18405096.11,311414.12375,160937531.94000003,104609395.76,363.5664,264702.01,46712.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.2423712500001,339659.13564282603,522552.51637857384,480748.31506828795,-41804.20131028589,41804.20131028589,7.999999999999997
2026-08-29,29,2026-08-01,True,SANTANDER,14334409.2,311414.12375,160937531.94000003,104609395.76,363.5664,264702.01,46712.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.2423712500001,339659.13564282603,522552.51637857384,480748.31506828795,-41804.20131028589,41804.20131028589,7.999999999999997
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9225964.87,311414.12375,160937531.94000003,104609395.76,363.5664,264702.01,46712.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.2423712500001,339659.13564282603,522552.51637857384,480748.31506828795,-41804.20131028589,41804.20131028589,7.999999999999997
2026-08-29,29,2026-08-01,True,TOLIMA,7613230.86,311414.12375,160937531.94000003,104609395.76,363.5664,264702.01,46712.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.2423712500001,339659.13564282603,522552.51637857384,480748.31506828795,-41804.20131028589,41804.20131028589,7.999999999999997
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25162413.1,310655.95,160545710.48999998,104354711.82,364.2743,264057.56,46598.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),931.96785,339491.936181255,522295.28642519243,480511.66351117706,-41783.622914015374,41783.622914015374,7.9999999999999964
2026-08-30,30,2026-08-01,True,BOGOTA,35545122.75,310655.95,160545710.48999998,104354711.82,364.2743,264057.56,46598.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),931.96785,339491.936181255,522295.28642519243,480511.66351117706,-41783.622914015374,41783.622914015374,7.9999999999999964
