Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,CBYC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,7707187.5,6551109.38,1156078.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,CBYC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,7707187.5,6551109.38,1156078.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,CBYC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,7707187.5,6551109.38,1156078.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,CBYC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,7707187.5,6551109.38,1156078.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,CBYC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,7707187.5,6551109.38,1156078.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,CBYC,CNIOR,SANTANDER,ESSA - SANTANDER,7707187.5,6551109.38,1156078.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,CBYC,CNIOR,TOLIMA,ELET - TOLIMA,7707187.5,6551109.38,1156078.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,CBYC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,7707187.5,6551109.38,1156078.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,CBYC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,7758568.75,6594783.44,1163785.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,CBYC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,7758568.75,6594783.44,1163785.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,CBYC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,7758568.75,6594783.44,1163785.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,CBYC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,7758568.75,6594783.44,1163785.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,CBYC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,7758568.75,6594783.44,1163785.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,CBYC,CNIOR,SANTANDER,ESSA - SANTANDER,7758568.75,6594783.44,1163785.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,CBYC,CNIOR,TOLIMA,ELET - TOLIMA,7758568.75,6594783.44,1163785.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,CBYC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,7758568.75,6594783.44,1163785.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,6.3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,CBYC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,7809950.0,6638457.5,1171492.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,6.3238,10.45,3119.62,16.07,14.79,-1.29,1.29,8.0
2024-03-01,HISTORICO,CBYC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,7809950.0,6638457.5,1171492.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,6.3238,14.62,4367.47,22.5,20.7,-1.8,1.8,8.0
2024-03-01,HISTORICO,CBYC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,7809950.0,6638457.5,1171492.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,6.3238,11.7,3493.97,18.0,16.56,-1.44,1.44,8.0
2024-03-01,HISTORICO,CBYC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,7809950.0,6638457.5,1171492.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,6.3238,9.19,2745.26,14.14,13.01,-1.13,1.13,8.0
2024-03-01,HISTORICO,CBYC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,7809950.0,6638457.5,1171492.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,9180000.0,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,6.3238,3.76,1123.06,5.79,5.32,-0.46,0.46,8.0
2024-03-01,HISTORICO,CBYC,CNIOR,SANTANDER,ESSA - SANTANDER,7809950.0,6638457.5,1171492.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,14280000.0,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,6.3238,5.85,1746.99,9.0,8.28,-0.72,0.72,8.0
2024-03-01,HISTORICO,CBYC,CNIOR,TOLIMA,ELET - TOLIMA,7809950.0,6638457.5,1171492.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,7650000.0,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,6.3238,3.13,935.89,4.82,4.44,-0.39,0.39,8.0
2024-03-01,HISTORICO,CBYC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,7809950.0,6638457.5,1171492.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,18360000.0,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,6.3238,7.52,2246.13,11.57,10.65,-0.93,0.93,8.0
2024-04-01,HISTORICO,CBYC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,7861331.25,6682131.56,1179199.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,25750000.0,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,6.3238,10.43,3019.63,16.04,14.76,-1.28,1.28,8.0
2024-04-01,HISTORICO,CBYC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,7861331.25,6682131.56,1179199.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,36050000.0,35700000.0,3570000.0,298.6395,35350000.0,3605000.0,1.005e-05,0.0,355.11,355.11,326.7,6.3238,14.6,4227.48,22.46,20.66,-1.8,1.8,8.0
2024-04-01,HISTORICO,CBYC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,7861331.25,6682131.56,1179199.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,28840000.0,28560000.0,2856000.0,298.6395,28280000.0,2884000.0,1.005e-05,0.0,284.09,284.09,261.36,6.3238,11.68,3381.99,17.97,16.53,-1.44,1.44,8.0
2024-04-01,HISTORICO,CBYC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,7861331.25,6682131.56,1179199.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,22660000.0,22440000.0,2244000.0,298.6395,22220000.0,2266000.0,1.005e-05,0.0,223.21,223.21,205.36,6.3238,9.18,2657.27,14.12,12.99,-1.13,1.13,8.0
2024-04-01,HISTORICO,CBYC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,7861331.25,6682131.56,1179199.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,9270000.0,9180000.0,918000.0,298.6395,9090000.0,927000.0,1.005e-05,0.0,91.31,91.31,84.01,6.3238,3.75,1087.07,5.77,5.31,-0.46,0.46,8.0
2024-04-01,HISTORICO,CBYC,CNIOR,SANTANDER,ESSA - SANTANDER,7861331.25,6682131.56,1179199.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,14420000.0,14280000.0,1428000.0,298.6395,14140000.0,1442000.0,1.005e-05,0.0,142.04,142.04,130.68,6.3238,5.84,1690.99,8.98,8.26,-0.72,0.72,8.0
2024-04-01,HISTORICO,CBYC,CNIOR,TOLIMA,ELET - TOLIMA,7861331.25,6682131.56,1179199.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,7725000.0,7650000.0,765000.0,298.6395,7575000.0,772500.0,1.005e-05,0.0,76.1,76.1,70.01,6.3238,3.13,905.89,4.81,4.43,-0.38,0.38,8.0
2024-04-01,HISTORICO,CBYC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,7861331.25,6682131.56,1179199.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,18540000.0,18360000.0,1836000.0,298.6395,18180000.0,1854000.0,1.005e-05,0.0,182.63,182.63,168.02,6.3238,7.51,2174.13,11.55,10.63,-0.92,0.92,8.0
2024-05-01,HISTORICO,CBYC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,7912712.5,6725805.62,1186906.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,26000000.0,25750000.0,2575000.0,289.6168,25500000.0,2600000.0,1.036e-05,0.0,264.14,264.14,243.01,6.3238,10.86,3025.44,16.7,15.37,-1.34,1.34,8.0
