Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,61657500.0,52408875.04000001,9248625.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,62068550.0,52758267.519999996,9310282.480000002,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,62479600.0,53107660.0,9371940.0,85.0,15.0,66.22,19778.39,101.89000000000001,93.75,-8.159999999999998,8.159999999999998
2024-04-01,HISTORICO,62890650.0,53457052.480000004,9433597.519999998,85.0,15.0,66.12,19144.45,101.7,93.57,-8.129999999999999,8.129999999999999
2024-05-01,HISTORICO,63301700.0,53806444.95999999,9495255.04,85.0,15.0,68.83999999999999,19181.289999999997,105.9,97.42,-8.48,8.48
2024-06-01,HISTORICO,63712750.0,54155837.519999996,9556912.480000002,85.0,15.0,72.24000000000001,20093.370000000003,111.15000000000002,102.25,-8.88,8.88
2024-07-01,HISTORICO,64123800.0,54505230.0,9618570.0,85.0,15.0,73.08999999999999,21254.940000000002,112.43999999999998,103.45,-9.0,9.0
2024-08-01,HISTORICO,64534850.0,54854622.480000004,9680227.519999998,85.0,15.0,70.57000000000001,21690.370000000003,108.56,99.88000000000001,-8.690000000000001,8.690000000000001
2024-09-01,HISTORICO,64945900.0,55204015.04000001,9741885.04,85.0,15.0,67.42,21222.74,103.71,95.4,-8.29,8.29
2024-10-01,HISTORICO,65356950.0,55553407.519999996,9803542.480000002,85.0,15.0,66.42,20504.510000000002,102.19999999999999,94.02000000000001,-8.17,8.17
2024-11-01,HISTORICO,65768000.0,55902800.0,9865200.0,85.0,15.0,68.39,20299.239999999998,105.19999999999999,96.78999999999999,-8.43,8.43
2024-12-01,HISTORICO,66179050.0,56252192.480000004,9926857.519999998,85.0,15.0,71.78,20993.050000000003,110.41999999999999,101.59,-8.830000000000002,8.830000000000002
2025-01-01,HISTORICO,66590100.0,56601584.95999999,9988515.04,85.0,15.0,73.49,22194.68,113.09,104.02999999999999,-9.059999999999999,9.059999999999999
2025-02-01,HISTORICO,67001150.0,56950977.519999996,10050172.480000002,85.0,15.0,71.85,22906.189999999995,110.54,101.7,-8.830000000000002,8.830000000000002
2025-03-01,HISTORICO,67412200.0,57300370.0,10111830.0,85.0,15.0,68.67,22650.100000000002,105.63999999999999,97.19,-8.45,8.45
2025-04-01,HISTORICO,67823250.0,57649762.480000004,10173487.519999998,85.0,15.0,66.94999999999999,21911.93,103.02,94.76,-8.25,8.25
2025-05-01,HISTORICO,68234300.0,57999155.04000001,10235145.04,85.0,15.0,68.09,21493.83,104.75,96.36,-8.38,8.38
2025-06-01,HISTORICO,68645350.0,58348547.519999996,10296802.480000002,85.0,15.0,71.2,21935.940000000002,109.53999999999999,100.77,-8.77,8.77
2025-07-01,HISTORICO,69056400.0,58697940.0,10358460.0,85.0,15.0,73.59,23088.960000000003,113.22999999999999,104.15999999999998,-9.059999999999999,9.059999999999999
2025-08-01,HISTORICO,69467450.0,59047332.480000004,10420117.519999998,85.0,15.0,72.91,24035.35,112.13000000000002,103.16999999999999,-8.959999999999999,8.959999999999999
2025-09-01,HISTORICO,69878500.0,59396724.95999999,10481775.04,85.0,15.0,69.94,24039.020000000004,107.60000000000001,98.97999999999998,-8.61,8.61
2025-10-01,HISTORICO,70289550.0,59746117.519999996,10543432.480000002,85.0,15.0,67.66000000000001,23350.799999999996,104.10999999999999,95.78,-8.33,8.33
2025-11-01,HISTORICO,70700600.0,60095510.0,10605090.0,85.0,15.0,67.97,22762.36,104.57999999999998,96.22,-8.38,8.38
2025-12-01,HISTORICO,71111650.0,60444902.480000004,10666747.519999998,85.0,15.0,70.63,22939.440000000002,108.64999999999999,99.96000000000001,-8.700000000000001,8.700000000000001
2026-01-01,HISTORICO,71522700.0,60794295.04000001,10728405.04,85.0,15.0,73.41,23963.6,112.94,103.92000000000002,-9.049999999999999,9.049999999999999
2026-02-01,HISTORICO,71933750.0,61143687.519999996,10790062.480000002,85.0,15.0,73.64999999999999,25079.239999999998,113.31,104.25000000000003,-9.059999999999999,9.059999999999999
2026-03-01,HISTORICO,72344800.0,61493080.0,10851720.0,85.0,15.0,71.18,25369.709999999995,109.5,100.75,-8.75,8.75
2026-04-01,HISTORICO,72755850.0,61842472.480000004,10913377.519999998,85.0,15.0,68.53,24802.42,105.46,97.02,-8.440000000000001,8.440000000000001
2026-05-01,HISTORICO,73166900.0,62191864.95999999,10975035.04,85.0,15.0,68.05999999999999,24097.599999999995,104.71000000000001,96.33000000000001,-8.38,8.38
2026-06-01,HISTORICO,73577950.0,62541257.519999996,11036692.480000002,85.0,15.0,70.10999999999999,24015.19,107.85,99.22,-8.63,8.63
2026-07-01,HISTORICO,73989000.0,62890650.0,11098350.0,85.0,15.0,73.03999999999999,24845.34,112.36,103.38,-8.99,8.99
2026-08-01,HISTORICO,86439812.96000001,73473841.03999999,12965972.0,85.0,15.0,36193.409999999996,13170230.080000002,20221932.35,18604177.71,-1617754.5699999998,1617754.5699999998
2026-09-01,HISTORICO,172724280.55999997,146815638.48000002,25908642.159999996,85.0,15.0,293811.83,107641176.73,165560958.42,152316081.77000004,-13244876.66,13244876.66
2026-10-01,HISTORICO,176616631.44000003,150124136.72000003,26492494.72,85.0,15.0,304252.97000000003,112931338.61000001,173700249.37000003,159804229.45,-13896019.920000002,13896019.920000002
2026-11-01,HISTORICO,174304722.48000002,148159014.16,26145708.400000002,85.0,15.0,296082.9,110519833.35000001,169991405.38000003,156392092.98000005,-13599312.430000003,13599312.430000003
2026-12-01,HISTORICO,180313523.20000002,153266494.64,27047028.480000004,85.0,15.0,312877.55,118683563.03000002,182551482.98,167947364.40999997,-14604118.66,14604118.66
2027-01-01,HISTORICO,179349013.04,152446661.04000002,26902352.0,85.0,15.0,308753.66,119000699.24,183038481.18999997,168395402.67,-14643078.529999996,14643078.529999996
2027-02-01,HISTORICO,171702413.68000004,145947051.6,25755362.0,85.0,15.0,284582.47,110152943.81000002,169424704.46999997,155870728.13000003,-13553976.35,13553976.35
