Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,29997809.21,439099.0575,191328565.23000002,124363567.4,362.8469,373234.2,65864.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.2971725,477977.1954203902,735349.5314130286,676521.5688999863,-58827.962513042265,58827.962513042265,7.999999999999997
2026-08-28,28,2026-08-01,True,BOGOTA,42340680.01,439099.0575,191328565.23000002,124363567.4,362.8469,373234.2,65864.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.2971725,477977.1954203902,735349.5314130286,676521.5688999863,-58827.962513042265,58827.962513042265,7.999999999999997
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33854278.51,439099.0575,191328565.23000002,124363567.4,362.8469,373234.2,65864.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.2971725,477977.1954203902,735349.5314130286,676521.5688999863,-58827.962513042265,58827.962513042265,7.999999999999997
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26766489.51,439099.0575,191328565.23000002,124363567.4,362.8469,373234.2,65864.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.2971725,477977.1954203902,735349.5314130286,676521.5688999863,-58827.962513042265,58827.962513042265,7.999999999999997
2026-08-28,28,2026-08-01,True,VALLE,21627867.0,439099.0575,191328565.23000002,124363567.4,362.8469,373234.2,65864.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.2971725,477977.1954203902,735349.5314130286,676521.5688999863,-58827.962513042265,58827.962513042265,7.999999999999997
2026-08-28,28,2026-08-01,True,SANTANDER,16802377.42,439099.0575,191328565.23000002,124363567.4,362.8469,373234.2,65864.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.2971725,477977.1954203902,735349.5314130286,676521.5688999863,-58827.962513042265,58827.962513042265,7.999999999999997
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10816080.68,439099.0575,191328565.23000002,124363567.4,362.8469,373234.2,65864.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.2971725,477977.1954203902,735349.5314130286,676521.5688999863,-58827.962513042265,58827.962513042265,7.999999999999997
2026-08-28,28,2026-08-01,True,TOLIMA,9122982.89,439099.0575,191328565.23000002,124363567.4,362.8469,373234.2,65864.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.2971725,477977.1954203902,735349.5314130286,676521.5688999863,-58827.962513042265,58827.962513042265,7.999999999999997
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25393223.05,312963.43,161738206.83,105129834.44,363.5664,266018.92,46944.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.89029,341348.962730256,525152.2503517425,483140.0703236031,-42012.18002813938,42012.18002813938,7.9999999999999964
2026-08-29,29,2026-08-01,True,BOGOTA,35763373.4,312963.43,161738206.83,105129834.44,363.5664,266018.92,46944.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.89029,341348.962730256,525152.2503517425,483140.0703236031,-42012.18002813938,42012.18002813938,7.9999999999999964
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28758991.69,312963.43,161738206.83,105129834.44,363.5664,266018.92,46944.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.89029,341348.962730256,525152.2503517425,483140.0703236031,-42012.18002813938,42012.18002813938,7.9999999999999964
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22148319.25,312963.43,161738206.83,105129834.44,363.5664,266018.92,46944.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.89029,341348.962730256,525152.2503517425,483140.0703236031,-42012.18002813938,42012.18002813938,7.9999999999999964
2026-08-29,29,2026-08-01,True,VALLE,18363587.72,312963.43,161738206.83,105129834.44,363.5664,266018.92,46944.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.89029,341348.962730256,525152.2503517425,483140.0703236031,-42012.18002813938,42012.18002813938,7.9999999999999964
2026-08-29,29,2026-08-01,True,SANTANDER,14526929.7,312963.43,161738206.83,105129834.44,363.5664,266018.92,46944.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.89029,341348.962730256,525152.2503517425,483140.0703236031,-42012.18002813938,42012.18002813938,7.9999999999999964
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9112545.3,312963.43,161738206.83,105129834.44,363.5664,266018.92,46944.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.89029,341348.962730256,525152.2503517425,483140.0703236031,-42012.18002813938,42012.18002813938,7.9999999999999964
2026-08-29,29,2026-08-01,True,TOLIMA,7671236.72,312963.43,161738206.83,105129834.44,363.5664,266018.92,46944.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.89029,341348.962730256,525152.2503517425,483140.0703236031,-42012.18002813938,42012.18002813938,7.9999999999999964
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25695593.18,314110.2325,162330869.58,105515065.23,364.2743,266993.7,47116.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3306974999999,343266.8552003242,528102.85413933,485854.6258081836,-42248.228331146354,42248.228331146354,7.999999999999992
2026-08-30,30,2026-08-01,True,BOGOTA,35792908.94,314110.2325,162330869.58,105515065.23,364.2743,266993.7,47116.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3306974999999,343266.8552003242,528102.85413933,485854.6258081836,-42248.228331146354,42248.228331146354,7.999999999999992
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28596283.62,314110.2325,162330869.58,105515065.23,364.2743,266993.7,47116.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3306974999999,343266.8552003242,528102.85413933,485854.6258081836,-42248.228331146354,42248.228331146354,7.999999999999992
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22628236.44,314110.2325,162330869.58,105515065.23,364.2743,266993.7,47116.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3306974999999,343266.8552003242,528102.85413933,485854.6258081836,-42248.228331146354,42248.228331146354,7.999999999999992
2026-08-30,30,2026-08-01,True,VALLE,18441534.43,314110.2325,162330869.58,105515065.23,364.2743,266993.7,47116.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3306974999999,343266.8552003242,528102.85413933,485854.6258081836,-42248.228331146354,42248.228331146354,7.999999999999992
2026-08-30,30,2026-08-01,True,SANTANDER,14304485.08,314110.2325,162330869.58,105515065.23,364.2743,266993.7,47116.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3306974999999,343266.8552003242,528102.85413933,485854.6258081836,-42248.228331146354,42248.228331146354,7.999999999999992
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9229631.21,314110.2325,162330869.58,105515065.23,364.2743,266993.7,47116.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3306974999999,343266.8552003242,528102.85413933,485854.6258081836,-42248.228331146354,42248.228331146354,7.999999999999992
2026-08-30,30,2026-08-01,True,TOLIMA,7642196.68,314110.2325,162330869.58,105515065.23,364.2743,266993.7,47116.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3306974999999,343266.8552003242,528102.85413933,485854.6258081836,-42248.228331146354,42248.228331146354,7.999999999999992
2026-08-31,31,2026-08-01,True,ANTIOQUIA,29769129.15,438797.65375,191197234.94,124278202.71,364.9592,372978.01,65819.65,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.39296125,480429.72202343104,739122.6492727642,679992.8373309431,-59129.81194182113,59129.81194182113,7.999999999999999
2026-08-31,31,2026-08-01,True,BOGOTA,42693569.97,438797.65375,191197234.94,124278202.71,364.9592,372978.01,65819.65,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.39296125,480429.72202343104,739122.6492727642,679992.8373309431,-59129.81194182113,59129.81194182113,7.999999999999999
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33771427.84,438797.65375,191197234.94,124278202.71,364.9592,372978.01,65819.65,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.39296125,480429.72202343104,739122.6492727642,679992.8373309431,-59129.81194182113,59129.81194182113,7.999999999999999
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26308605.93,438797.65375,191197234.94,124278202.71,364.9592,372978.01,65819.65,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.39296125,480429.72202343104,739122.6492727642,679992.8373309431,-59129.81194182113,59129.81194182113,7.999999999999999
2026-08-31,31,2026-08-01,True,VALLE,21817288.23,438797.65375,191197234.94,124278202.71,364.9592,372978.01,65819.65,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.39296125,480429.72202343104,739122.6492727642,679992.8373309431,-59129.81194182113,59129.81194182113,7.999999999999999
2026-08-31,31,2026-08-01,True,SANTANDER,16916619.97,438797.65375,191197234.94,124278202.71,364.9592,372978.01,65819.65,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.39296125,480429.72202343104,739122.6492727642,679992.8373309431,-59129.81194182113,59129.81194182113,7.999999999999999
