Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,206512500.0,175535624.96,30976875.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,207889250.0,176705862.48,31183387.520000003,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,209266000.0,177876100.0,31389900.0,85.0,15.0,221.82999999999998,66244.70999999999,341.28,313.97,-27.3,27.3
2024-04-01,HISTORICO,210642750.0,179046337.52,31596412.479999997,85.0,15.0,221.39999999999998,64121.48,340.63,313.38,-27.25,27.25
2024-05-01,HISTORICO,212019500.0,180216575.04,31802925.039999995,85.0,15.0,230.54999999999998,64244.80000000001,354.69999999999993,326.32,-28.38,28.38
2024-06-01,HISTORICO,213396250.0,181386812.48,32009437.520000003,85.0,15.0,241.98,67299.68,372.28999999999996,342.49999999999994,-29.779999999999998,29.779999999999998
2024-07-01,HISTORICO,214773000.0,182557050.0,32215950.0,85.0,15.0,244.80000000000004,71190.22,376.60999999999996,346.48,-30.119999999999997,30.119999999999997
2024-08-01,HISTORICO,216149750.0,183727287.52,32422462.479999997,85.0,15.0,236.35999999999999,72648.62000000001,363.65,334.56,-29.089999999999996,29.089999999999996
2024-09-01,HISTORICO,217526500.0,184897524.96,32628975.039999995,85.0,15.0,225.76999999999998,71082.37,347.35,319.55000000000007,-27.789999999999996,27.789999999999996
2024-10-01,HISTORICO,218903250.0,186067762.48,32835487.520000003,85.0,15.0,222.48000000000002,68676.79,342.29,314.9,-27.390000000000004,27.390000000000004
2024-11-01,HISTORICO,220280000.0,187238000.0,33042000.0,85.0,15.0,229.04999999999998,67989.27000000002,352.37,324.19,-28.180000000000003,28.180000000000003
2024-12-01,HISTORICO,221656750.0,188408237.52,33248512.479999997,85.0,15.0,240.39000000000001,70313.08,369.82,340.25,-29.589999999999996,29.589999999999996
2025-01-01,HISTORICO,223033500.0,189578475.04,33455025.039999995,85.0,15.0,246.19000000000003,74337.73,378.75,348.46999999999997,-30.3,30.3
2025-02-01,HISTORICO,224410250.0,190748712.48,33661537.52,85.0,15.0,240.64999999999998,76720.83,370.23999999999995,340.63,-29.61,29.61
2025-03-01,HISTORICO,225787000.0,191918950.0,33868050.0,85.0,15.0,229.99,75863.06,353.82,325.5,-28.3,28.3
2025-04-01,HISTORICO,227163750.0,193089187.52,34074562.48,85.0,15.0,224.25999999999996,73390.69,345.02,317.42,-27.599999999999998,27.599999999999998
2025-05-01,HISTORICO,228540500.0,194259424.96,34281075.04,85.0,15.0,228.05,71990.34000000001,350.84000000000003,322.78,-28.080000000000002,28.080000000000002
2025-06-01,HISTORICO,229917250.0,195429662.48,34487587.52,85.0,15.0,238.46999999999997,73471.09,366.90000000000003,337.54,-29.35,29.35
2025-07-01,HISTORICO,231294000.0,196599900.0,34694100.0,85.0,15.0,246.48000000000002,77332.97999999998,379.22,348.88,-30.35,30.35
2025-08-01,HISTORICO,232670750.0,197770137.52,34900612.48,85.0,15.0,244.13000000000002,80502.73,375.59,345.53000000000003,-30.05,30.05
2025-09-01,HISTORICO,234047500.0,198940375.04,35107125.04,85.0,15.0,234.26000000000002,80515.1,360.39000000000004,331.58000000000004,-28.83,28.83
2025-10-01,HISTORICO,235424250.0,200110612.48,35313637.52,85.0,15.0,226.66000000000003,78209.97,348.70000000000005,320.81,-27.89,27.89
2025-11-01,HISTORICO,236801000.0,201280850.0,35520150.0,85.0,15.0,227.67000000000002,76239.08000000002,350.27,322.26,-28.03,28.03
2025-12-01,HISTORICO,238177750.0,202451087.52,35726662.48,85.0,15.0,236.52999999999997,76832.2,363.91,334.79999999999995,-29.109999999999996,29.109999999999996
2026-01-01,HISTORICO,239554500.0,203621324.96,35933175.04,85.0,15.0,245.89,80262.43999999999,378.2899999999999,348.02,-30.259999999999994,30.259999999999994
2026-02-01,HISTORICO,240931250.0,204791562.48,36139687.52,85.0,15.0,246.67999999999995,83999.11,379.51,349.1499999999999,-30.35,30.35
2026-03-01,HISTORICO,242308000.0,205961800.0,36346200.0,85.0,15.0,238.39000000000001,84972.01999999999,366.76,337.42,-29.340000000000003,29.340000000000003
2026-04-01,HISTORICO,243684750.0,207132037.52,36552712.48,85.0,15.0,229.58999999999997,83071.95000000001,353.18999999999994,324.92999999999995,-28.26,28.26
2026-05-01,HISTORICO,245061500.0,208302275.04,36759225.04,85.0,15.0,227.96000000000004,80711.25,350.7,322.65,-28.070000000000004,28.070000000000004
2026-06-01,HISTORICO,246438250.0,209472512.48,36965737.52,85.0,15.0,234.81000000000006,80435.22000000002,361.25,332.35,-28.900000000000006,28.900000000000006
2026-07-01,HISTORICO,247815000.0,210642750.0,37172250.0,85.0,15.0,244.62,83215.73,376.34000000000003,346.22999999999996,-30.11,30.11
2026-08-01,HISTORICO,261257489.03999996,222068865.76000002,39188623.35999999,85.0,15.0,36445.46,13259796.4,20265846.560000002,18644578.889999997,-1621267.7599999998,1621267.7599999998
2026-09-01,HISTORICO,348466428.8,296196464.40000004,52269964.31999999,85.0,15.0,293935.92000000004,107687527.47,165536292.07000002,152293388.74,-13242903.399999999,13242903.399999999
2026-10-01,HISTORICO,353272667.28000003,300281767.2,52990900.08,85.0,15.0,304215.11,112916526.63000003,173582849.78,159696221.77,-13886627.94,13886627.94
2026-11-01,HISTORICO,351936476.88000005,299146005.35999995,52790471.519999996,85.0,15.0,296072.36,110517096.68,169895318.33,156303692.87,-13591625.45,13591625.45
2026-12-01,HISTORICO,358965562.88000005,305120728.48,53844834.400000006,85.0,15.0,313033.86,118739800.14,182547283.89000002,167943501.17,-14603782.739999998,14603782.739999998
2027-01-01,HISTORICO,359088516.32,305225238.88,53863277.52000001,85.0,15.0,309282.0,119198177.39,183249453.03999996,168589496.83,-14659956.220000003,14659956.220000003
2027-02-01,HISTORICO,352316361.52,299468907.28,52847454.24000001,85.0,15.0,284841.17000000004,110249557.78,169476165.35,155918072.14999998,-13558093.270000001,13558093.270000001
