Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30497221.84,439977.22125,191711207.31,124612284.75,362.8469,373980.64,65996.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.93166375,478933.1124035299,736820.1729373769,677874.5591023868,-58945.61383499007,58945.61383499007,7.999999999999989
2026-08-28,28,2026-08-01,True,BOGOTA,42239979.39,439977.22125,191711207.31,124612284.75,362.8469,373980.64,65996.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.93166375,478933.1124035299,736820.1729373769,677874.5591023868,-58945.61383499007,58945.61383499007,7.999999999999989
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33963195.36,439977.22125,191711207.31,124612284.75,362.8469,373980.64,65996.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.93166375,478933.1124035299,736820.1729373769,677874.5591023868,-58945.61383499007,58945.61383499007,7.999999999999989
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26641586.77,439977.22125,191711207.31,124612284.75,362.8469,373980.64,65996.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.93166375,478933.1124035299,736820.1729373769,677874.5591023868,-58945.61383499007,58945.61383499007,7.999999999999989
2026-08-28,28,2026-08-01,True,VALLE,21439001.49,439977.22125,191711207.31,124612284.75,362.8469,373980.64,65996.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.93166375,478933.1124035299,736820.1729373769,677874.5591023868,-58945.61383499007,58945.61383499007,7.999999999999989
2026-08-28,28,2026-08-01,True,SANTANDER,17039991.46,439977.22125,191711207.31,124612284.75,362.8469,373980.64,65996.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.93166375,478933.1124035299,736820.1729373769,677874.5591023868,-58945.61383499007,58945.61383499007,7.999999999999989
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10904893.29,439977.22125,191711207.31,124612284.75,362.8469,373980.64,65996.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.93166375,478933.1124035299,736820.1729373769,677874.5591023868,-58945.61383499007,58945.61383499007,7.999999999999989
2026-08-28,28,2026-08-01,True,TOLIMA,8985337.71,439977.22125,191711207.31,124612284.75,362.8469,373980.64,65996.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.93166375,478933.1124035299,736820.1729373769,677874.5591023868,-58945.61383499007,58945.61383499007,7.999999999999989
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25567848.98,314165.55625,162359460.31000003,105533649.2,363.5664,267040.72,47124.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.4966687500001,342660.12086943,527169.4167296931,484995.86339131766,-42173.55333837541,42173.55333837541,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,35968075.77,314165.55625,162359460.31000003,105533649.2,363.5664,267040.72,47124.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.4966687500001,342660.12086943,527169.4167296931,484995.86339131766,-42173.55333837541,42173.55333837541,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28499932.56,314165.55625,162359460.31000003,105533649.2,363.5664,267040.72,47124.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.4966687500001,342660.12086943,527169.4167296931,484995.86339131766,-42173.55333837541,42173.55333837541,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22598250.12,314165.55625,162359460.31000003,105533649.2,363.5664,267040.72,47124.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.4966687500001,342660.12086943,527169.4167296931,484995.86339131766,-42173.55333837541,42173.55333837541,7.999999999999993
2026-08-29,29,2026-08-01,True,VALLE,18479494.93,314165.55625,162359460.31000003,105533649.2,363.5664,267040.72,47124.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.4966687500001,342660.12086943,527169.4167296931,484995.86339131766,-42173.55333837541,42173.55333837541,7.999999999999993
2026-08-29,29,2026-08-01,True,SANTANDER,14337845.96,314165.55625,162359460.31000003,105533649.2,363.5664,267040.72,47124.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.4966687500001,342660.12086943,527169.4167296931,484995.86339131766,-42173.55333837541,42173.55333837541,7.999999999999993
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9250886.5,314165.55625,162359460.31000003,105533649.2,363.5664,267040.72,47124.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.4966687500001,342660.12086943,527169.4167296931,484995.86339131766,-42173.55333837541,42173.55333837541,7.999999999999993
2026-08-29,29,2026-08-01,True,TOLIMA,7657125.49,314165.55625,162359460.31000003,105533649.2,363.5664,267040.72,47124.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.4966687500001,342660.12086943,527169.4167296931,484995.86339131766,-42173.55333837541,42173.55333837541,7.999999999999993
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25315865.77,313244.2375,161883327.01,105224162.56,364.2743,266257.6,46986.64,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.7327124999999,342320.4760330387,526646.8861871575,484515.1352921849,-42131.75089497259,42131.75089497259,7.999999999999999
2026-08-30,30,2026-08-01,True,BOGOTA,36003667.69,313244.2375,161883327.01,105224162.56,364.2743,266257.6,46986.64,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.7327124999999,342320.4760330387,526646.8861871575,484515.1352921849,-42131.75089497259,42131.75089497259,7.999999999999999
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28510653.46,313244.2375,161883327.01,105224162.56,364.2743,266257.6,46986.64,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.7327124999999,342320.4760330387,526646.8861871575,484515.1352921849,-42131.75089497259,42131.75089497259,7.999999999999999
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22443000.2,313244.2375,161883327.01,105224162.56,364.2743,266257.6,46986.64,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.7327124999999,342320.4760330387,526646.8861871575,484515.1352921849,-42131.75089497259,42131.75089497259,7.999999999999999
2026-08-30,30,2026-08-01,True,VALLE,18238309.88,313244.2375,161883327.01,105224162.56,364.2743,266257.6,46986.64,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.7327124999999,342320.4760330387,526646.8861871575,484515.1352921849,-42131.75089497259,42131.75089497259,7.999999999999999
2026-08-30,30,2026-08-01,True,SANTANDER,14459107.23,313244.2375,161883327.01,105224162.56,364.2743,266257.6,46986.64,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.7327124999999,342320.4760330387,526646.8861871575,484515.1352921849,-42131.75089497259,42131.75089497259,7.999999999999999
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9215029.65,313244.2375,161883327.01,105224162.56,364.2743,266257.6,46986.64,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.7327124999999,342320.4760330387,526646.8861871575,484515.1352921849,-42131.75089497259,42131.75089497259,7.999999999999999
2026-08-30,30,2026-08-01,True,TOLIMA,7697693.13,313244.2375,161883327.01,105224162.56,364.2743,266257.6,46986.64,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.7327124999999,342320.4760330387,526646.8861871575,484515.1352921849,-42131.75089497259,42131.75089497259,7.999999999999999
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30580927.87,440830.3675,192082948.89,124853916.78,364.9592,374705.81,66124.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.4911025,482655.29477551795,742546.6073380298,683142.8787509875,-59403.72858704231,59403.72858704231,7.99999999999999
2026-08-31,31,2026-08-01,True,BOGOTA,41708339.0,440830.3675,192082948.89,124853916.78,364.9592,374705.81,66124.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.4911025,482655.29477551795,742546.6073380298,683142.8787509875,-59403.72858704231,59403.72858704231,7.99999999999999
