Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,179107500.0,152241375.04,26866125.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,180301550.0,153256317.52,27045232.479999997,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,181495600.0,154271260.0,27224340.0,85.0,15.0,192.36999999999998,57453.77,295.97999999999996,272.29,-23.67,23.67
2024-04-01,HISTORICO,182689650.0,155286202.48,27403447.520000003,85.0,15.0,192.02,55612.31999999999,295.41,271.78000000000003,-23.63,23.63
2024-05-01,HISTORICO,183883700.0,156301144.96,27582555.039999995,85.0,15.0,199.95999999999998,55719.270000000004,307.64,283.02,-24.599999999999998,24.599999999999998
2024-06-01,HISTORICO,185077750.0,157316087.52,27761662.479999997,85.0,15.0,209.87,58368.759999999995,322.88999999999993,297.05,-25.819999999999997,25.819999999999997
2024-07-01,HISTORICO,186271800.0,158331030.0,27940770.0,85.0,15.0,212.32,61742.99,326.64,300.51,-26.139999999999997,26.139999999999997
2024-08-01,HISTORICO,187465850.0,159345972.48,28119877.520000003,85.0,15.0,204.98999999999998,63007.86,315.39,290.15999999999997,-25.230000000000004,25.230000000000004
2024-09-01,HISTORICO,188659900.0,160360915.04,28298985.039999995,85.0,15.0,195.83000000000004,61649.46999999999,301.25,277.14,-24.11,24.11
2024-10-01,HISTORICO,189853950.0,161375857.52,28478092.479999997,85.0,15.0,192.96,59563.119999999995,296.84999999999997,273.11999999999995,-23.760000000000005,23.760000000000005
2024-11-01,HISTORICO,191048000.0,162390800.0,28657200.0,85.0,15.0,198.65,58966.83,305.60999999999996,281.17,-24.46,24.46
2024-12-01,HISTORICO,192242050.0,163405742.48,28836307.520000003,85.0,15.0,208.5,60982.28,320.75,295.08,-25.66,25.66
2025-01-01,HISTORICO,193436100.0,164420684.96,29015415.039999995,85.0,15.0,213.52,64472.83,328.5,302.21,-26.269999999999996,26.269999999999996
2025-02-01,HISTORICO,194630150.0,165435627.52,29194522.479999997,85.0,15.0,208.71999999999997,66539.68,321.1,295.41,-25.699999999999996,25.699999999999996
2025-03-01,HISTORICO,195824200.0,166450570.0,29373630.0,85.0,15.0,199.48000000000002,65795.73999999999,306.86,282.32,-24.55,24.55
2025-04-01,HISTORICO,197018250.0,167465512.48,29552737.520000003,85.0,15.0,194.5,63651.46,299.23,275.29,-23.939999999999998,23.939999999999998
