Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30145393.74,437624.85375,190686210.91,123946037.09,362.8469,371981.13,65643.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.87456125,476372.4646384226,732880.7148372118,674250.2576502349,-58630.45718697691,58630.45718697691,7.9999999999999964
2026-08-28,28,2026-08-01,True,BOGOTA,41827873.75,437624.85375,190686210.91,123946037.09,362.8469,371981.13,65643.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.87456125,476372.4646384226,732880.7148372118,674250.2576502349,-58630.45718697691,58630.45718697691,7.9999999999999964
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33729019.71,437624.85375,190686210.91,123946037.09,362.8469,371981.13,65643.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.87456125,476372.4646384226,732880.7148372118,674250.2576502349,-58630.45718697691,58630.45718697691,7.9999999999999964
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26707439.68,437624.85375,190686210.91,123946037.09,362.8469,371981.13,65643.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.87456125,476372.4646384226,732880.7148372118,674250.2576502349,-58630.45718697691,58630.45718697691,7.9999999999999964
2026-08-28,28,2026-08-01,True,VALLE,21467839.28,437624.85375,190686210.91,123946037.09,362.8469,371981.13,65643.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.87456125,476372.4646384226,732880.7148372118,674250.2576502349,-58630.45718697691,58630.45718697691,7.9999999999999964
2026-08-28,28,2026-08-01,True,SANTANDER,16880448.29,437624.85375,190686210.91,123946037.09,362.8469,371981.13,65643.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.87456125,476372.4646384226,732880.7148372118,674250.2576502349,-58630.45718697691,58630.45718697691,7.9999999999999964
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10823063.02,437624.85375,190686210.91,123946037.09,362.8469,371981.13,65643.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.87456125,476372.4646384226,732880.7148372118,674250.2576502349,-58630.45718697691,58630.45718697691,7.9999999999999964
2026-08-28,28,2026-08-01,True,TOLIMA,9105133.44,437624.85375,190686210.91,123946037.09,362.8469,371981.13,65643.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.87456125,476372.4646384226,732880.7148372118,674250.2576502349,-58630.45718697691,58630.45718697691,7.9999999999999964
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25394175.71,313040.41625,161777993.14,105155695.54,363.5664,266084.35,46956.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.1212487500001,341432.931571542,525281.4331919829,483258.9185366243,-42022.514655358624,42022.514655358624,7.999999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35741413.65,313040.41625,161777993.14,105155695.54,363.5664,266084.35,46956.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.1212487500001,341432.931571542,525281.4331919829,483258.9185366243,-42022.514655358624,42022.514655358624,7.999999999999999
