Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,130170000.0,110644500.0,19525500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,131037800.0,111382130.0,19655670.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,131905600.0,112119760.0,19785840.0,85.0,15.0,139.82999999999998,41755.689999999995,215.11000000000004,197.89000000000001,-17.200000000000003,17.200000000000003
2024-04-01,HISTORICO,132773400.0,112857390.0,19916010.0,85.0,15.0,139.54999999999998,40417.369999999995,214.69,197.54,-17.17,17.17
2024-05-01,HISTORICO,133641200.0,113595020.0,20046180.0,85.0,15.0,145.32000000000002,40495.1,223.59000000000003,205.69,-17.89,17.89
2024-06-01,HISTORICO,134509000.0,114332650.0,20176350.0,85.0,15.0,152.53,42420.68,234.64999999999998,215.89999999999998,-18.79,18.79
2024-07-01,HISTORICO,135376800.0,115070280.0,20306520.0,85.0,15.0,154.30000000000004,44872.990000000005,237.39,218.39000000000001,-19.0,19.0
2024-08-01,HISTORICO,136244600.0,115807910.0,20436690.0,85.0,15.0,148.99,45792.24,229.22,210.87999999999997,-18.340000000000003,18.340000000000003
2024-09-01,HISTORICO,137112400.0,116545540.0,20566860.0,85.0,15.0,142.3,44805.0,218.94,201.42,-17.509999999999998,17.509999999999998
2024-10-01,HISTORICO,137980200.0,117283170.0,20697030.0,85.0,15.0,140.25,43288.7,215.75,198.48,-17.26,17.26
2024-11-01,HISTORICO,138848000.0,118020800.0,20827200.0,85.0,15.0,144.37,42855.329999999994,222.10999999999999,204.34,-17.77,17.77
2024-12-01,HISTORICO,139715800.0,118758430.0,20957370.0,85.0,15.0,151.51999999999998,44320.10999999999,233.12000000000003,214.48000000000002,-18.650000000000002,18.650000000000002
2025-01-01,HISTORICO,140583600.0,119496060.0,21087540.0,85.0,15.0,155.18,46856.939999999995,238.75,219.63,-19.089999999999996,19.089999999999996
2025-02-01,HISTORICO,141451400.0,120233690.0,21217710.0,85.0,15.0,151.7,48359.05,233.35999999999999,214.69,-18.66,18.66
2025-03-01,HISTORICO,142319200.0,120971320.0,21347880.0,85.0,15.0,144.96,47818.389999999985,223.03000000000003,205.18000000000004,-17.84,17.84
2025-04-01,HISTORICO,143187000.0,121708950.0,21478050.0,85.0,15.0,141.36,46259.99,217.48,200.07,-17.39,17.39
2025-05-01,HISTORICO,144054800.0,122446580.0,21608220.0,85.0,15.0,143.73,45377.32,221.14,203.46000000000004,-17.7,17.7
2025-06-01,HISTORICO,144922600.0,123184210.0,21738390.0,85.0,15.0,150.32,46310.659999999996,231.26,212.76,-18.51,18.51
2025-07-01,HISTORICO,145790400.0,123921840.0,21868560.0,85.0,15.0,155.37,48744.909999999996,239.03,219.91000000000003,-19.119999999999997,19.119999999999997
2025-08-01,HISTORICO,146658200.0,124659470.0,21998730.0,85.0,15.0,153.88,50742.88000000001,236.74,217.81,-18.949999999999996,18.949999999999996
2025-09-01,HISTORICO,147526000.0,125397100.0,22128900.0,85.0,15.0,147.67000000000002,50750.689999999995,227.17000000000002,209.00000000000003,-18.169999999999998,18.169999999999998
2025-10-01,HISTORICO,148393800.0,126134730.0,22259070.0,85.0,15.0,142.87,49297.7,219.8,202.21,-17.58,17.58
2025-11-01,HISTORICO,149261600.0,126872360.0,22389240.0,85.0,15.0,143.51000000000002,48055.409999999996,220.76999999999995,203.11,-17.669999999999998,17.669999999999998
2025-12-01,HISTORICO,150129400.0,127609990.0,22519410.0,85.0,15.0,149.11,48429.27,229.38,211.04,-18.340000000000003,18.340000000000003
2026-01-01,HISTORICO,150997200.0,128347620.0,22649580.0,85.0,15.0,154.99,50591.43,238.44,219.36999999999998,-19.07,19.07
2026-02-01,HISTORICO,151865000.0,129085250.0,22779750.0,85.0,15.0,155.5,52946.75000000001,239.20999999999998,220.08,-19.15,19.15
2026-03-01,HISTORICO,152732800.0,129822880.0,22909920.0,85.0,15.0,150.26,53559.979999999996,231.18,212.68,-18.5,18.5
2026-04-01,HISTORICO,153600600.0,130560510.0,23040090.0,85.0,15.0,144.70000000000002,52362.33,222.61999999999998,204.82,-17.8,17.8
2026-05-01,HISTORICO,154468400.0,131298140.0,23170260.0,85.0,15.0,143.67999999999998,50874.32,221.05,203.38,-17.68,17.68
2026-06-01,HISTORICO,155336200.0,132035770.0,23300430.0,85.0,15.0,148.0,50700.34,227.71000000000004,209.48999999999998,-18.209999999999997,18.209999999999997
2026-07-01,HISTORICO,156204000.0,132773400.0,23430600.0,85.0,15.0,154.2,52452.96000000001,237.22,218.23,-18.98,18.98
2026-08-01,HISTORICO,169120150.0,143752127.51999998,25368022.48,85.0,15.0,36301.51,13208526.579999998,20236447.29,18617531.480000004,-1618915.81,1618915.81
2026-09-01,HISTORICO,255765919.11999995,217401031.27999997,38364887.839999996,85.0,15.0,293631.60000000003,107574800.17999999,165413446.96999997,152180371.25,-13233075.750000004,13233075.750000004
2026-10-01,HISTORICO,260119528.0,221101598.79999998,39017929.199999996,85.0,15.0,304083.17,112868237.93000002,173558422.55,159673748.72000003,-13884673.830000002,13884673.830000002
2026-11-01,HISTORICO,258353038.24,219600082.55999997,38752955.76,85.0,15.0,296177.81000000006,110556465.95999998,170004307.97,156403963.35000002,-13600344.639999999,13600344.639999999
2026-12-01,HISTORICO,264763947.44000003,225049355.27999997,39714592.080000006,85.0,15.0,312810.05,118656849.19,182467477.75,167870079.49,-14597398.2,14597398.2
2027-01-01,HISTORICO,264433162.31999996,224768187.92000002,39664974.32,85.0,15.0,309220.27,119177298.49,183266261.27000004,168604960.34,-14661300.920000002,14661300.920000002
2027-02-01,HISTORICO,257314857.44000003,218717628.79999998,38597228.63999999,85.0,15.0,285265.66,110416812.35999998,169784694.45,156201918.91000003,-13582775.549999999,13582775.549999999
