Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30148088.18,440363.58,191879555.52,124721711.09,362.8469,374309.04,66054.54,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.09074,479353.67962770606,737467.1994154142,678469.8234621811,-58997.3759532331,58997.3759532331,7.999999999999995
2026-08-28,28,2026-08-01,True,BOGOTA,42693426.34,440363.58,191879555.52,124721711.09,362.8469,374309.04,66054.54,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.09074,479353.67962770606,737467.1994154142,678469.8234621811,-58997.3759532331,58997.3759532331,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34305908.99,440363.58,191879555.52,124721711.09,362.8469,374309.04,66054.54,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.09074,479353.67962770606,737467.1994154142,678469.8234621811,-58997.3759532331,58997.3759532331,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26616313.84,440363.58,191879555.52,124721711.09,362.8469,374309.04,66054.54,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.09074,479353.67962770606,737467.1994154142,678469.8234621811,-58997.3759532331,58997.3759532331,7.999999999999995
2026-08-28,28,2026-08-01,True,VALLE,21690967.79,440363.58,191879555.52,124721711.09,362.8469,374309.04,66054.54,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.09074,479353.67962770606,737467.1994154142,678469.8234621811,-58997.3759532331,58997.3759532331,7.999999999999995
2026-08-28,28,2026-08-01,True,SANTANDER,16745597.62,440363.58,191879555.52,124721711.09,362.8469,374309.04,66054.54,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.09074,479353.67962770606,737467.1994154142,678469.8234621811,-58997.3759532331,58997.3759532331,7.999999999999995
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10742227.67,440363.58,191879555.52,124721711.09,362.8469,374309.04,66054.54,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.09074,479353.67962770606,737467.1994154142,678469.8234621811,-58997.3759532331,58997.3759532331,7.999999999999995
2026-08-28,28,2026-08-01,True,TOLIMA,8937025.09,440363.58,191879555.52,124721711.09,362.8469,374309.04,66054.54,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.09074,479353.67962770606,737467.1994154142,678469.8234621811,-58997.3759532331,58997.3759532331,7.999999999999995
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25695658.87,313264.34125,161893716.51000002,105230915.73,363.5664,266274.69,46989.65,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.79302375,341677.166389902,525657.1790688806,483604.6047433702,-42052.57432551042,42052.57432551042,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,35836469.95,313264.34125,161893716.51000002,105230915.73,363.5664,266274.69,46989.65,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.79302375,341677.166389902,525657.1790688806,483604.6047433702,-42052.57432551042,42052.57432551042,7.999999999999993
