Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,81232500.0,69047624.96,12184875.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,81774050.0,69507942.48,12266107.519999998,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,82315600.0,69968260.0,12347340.0,85.0,15.0,87.24999999999999,26057.61,134.22,123.5,-10.74,10.74
2024-04-01,HISTORICO,82857150.0,70428577.52,12428572.480000002,85.0,15.0,87.09,25222.44,133.99,123.27,-10.73,10.73
2024-05-01,HISTORICO,83398700.0,70888895.04,12509805.04,85.0,15.0,90.69000000000001,25270.94,139.53,128.38000000000002,-11.159999999999998,11.159999999999998
2024-06-01,HISTORICO,83940250.0,71349212.48,12591037.519999998,85.0,15.0,95.18,26472.600000000002,146.45000000000002,134.72000000000003,-11.72,11.72
2024-07-01,HISTORICO,84481800.0,71809530.0,12672270.0,85.0,15.0,96.31000000000002,28002.960000000003,148.14,136.31,-11.860000000000001,11.860000000000001
2024-08-01,HISTORICO,85023350.0,72269847.52,12753502.480000002,85.0,15.0,92.97,28576.62,143.03,131.6,-11.440000000000001,11.440000000000001
2024-09-01,HISTORICO,85564900.0,72730164.96,12834735.04,85.0,15.0,88.81,27960.53,136.64000000000001,125.71000000000001,-10.93,10.93
2024-10-01,HISTORICO,86106450.0,73190482.48,12915967.519999998,85.0,15.0,87.52,27014.289999999997,134.64000000000001,123.85999999999999,-10.77,10.77
2024-11-01,HISTORICO,86648000.0,73650800.0,12997200.0,85.0,15.0,90.10000000000001,26743.84,138.60999999999999,127.51,-11.09,11.09
2024-12-01,HISTORICO,87189550.0,74111117.52,13078432.480000002,85.0,15.0,94.53999999999999,27657.92,145.47,133.82999999999998,-11.65,11.65
2025-01-01,HISTORICO,87731100.0,74571435.04,13159665.04,85.0,15.0,96.83,29241.03,148.99,137.07,-11.91,11.91
2025-02-01,HISTORICO,88272650.0,75031752.48,13240897.519999998,85.0,15.0,94.66,30178.44,145.62999999999997,133.99,-11.65,11.65
2025-03-01,HISTORICO,88814200.0,75492070.0,13322130.0,85.0,15.0,90.47,29841.03,139.18,128.04,-11.139999999999999,11.139999999999999
2025-04-01,HISTORICO,89355750.0,75952387.52,13403362.480000002,85.0,15.0,88.2,28868.510000000002,135.72,124.86000000000001,-10.859999999999998,10.859999999999998
2025-05-01,HISTORICO,89897300.0,76412704.96,13484595.039999995,85.0,15.0,89.7,28317.68,138.01,126.97,-11.040000000000001,11.040000000000001
2025-06-01,HISTORICO,90438850.0,76873022.48,13565827.519999998,85.0,15.0,93.81,28900.129999999997,144.31,132.78000000000003,-11.55,11.55
