Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,29962452.2,439401.88875,191460517.97,124449336.68,362.8469,373491.61,65910.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.20566625,478306.8395612471,735856.6762510289,676988.1421509467,-58868.53410008224,58868.53410008224,7.99999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,42590408.16,439401.88875,191460517.97,124449336.68,362.8469,373491.61,65910.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.20566625,478306.8395612471,735856.6762510289,676988.1421509467,-58868.53410008224,58868.53410008224,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33453880.67,439401.88875,191460517.97,124449336.68,362.8469,373491.61,65910.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.20566625,478306.8395612471,735856.6762510289,676988.1421509467,-58868.53410008224,58868.53410008224,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26734097.55,439401.88875,191460517.97,124449336.68,362.8469,373491.61,65910.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.20566625,478306.8395612471,735856.6762510289,676988.1421509467,-58868.53410008224,58868.53410008224,7.99999999999999
2026-08-28,28,2026-08-01,True,VALLE,21737635.4,439401.88875,191460517.97,124449336.68,362.8469,373491.61,65910.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.20566625,478306.8395612471,735856.6762510289,676988.1421509467,-58868.53410008224,58868.53410008224,7.99999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,17112965.4,439401.88875,191460517.97,124449336.68,362.8469,373491.61,65910.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.20566625,478306.8395612471,735856.6762510289,676988.1421509467,-58868.53410008224,58868.53410008224,7.99999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10822539.07,439401.88875,191460517.97,124449336.68,362.8469,373491.61,65910.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.20566625,478306.8395612471,735856.6762510289,676988.1421509467,-58868.53410008224,58868.53410008224,7.99999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9046539.52,439401.88875,191460517.97,124449336.68,362.8469,373491.61,65910.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.20566625,478306.8395612471,735856.6762510289,676988.1421509467,-58868.53410008224,58868.53410008224,7.99999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25839160.1,314379.50625,162470028.85,105605518.75,363.5664,267222.58,47156.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.13851875,342893.47596327,527528.424571365,485326.1506056558,-42202.2739657092,42202.2739657092,8.0
2026-08-29,29,2026-08-01,True,BOGOTA,36114142.02,314379.50625,162470028.85,105605518.75,363.5664,267222.58,47156.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.13851875,342893.47596327,527528.424571365,485326.1506056558,-42202.2739657092,42202.2739657092,8.0
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28880936.35,314379.50625,162470028.85,105605518.75,363.5664,267222.58,47156.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.13851875,342893.47596327,527528.424571365,485326.1506056558,-42202.2739657092,42202.2739657092,8.0
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22145623.04,314379.50625,162470028.85,105605518.75,363.5664,267222.58,47156.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.13851875,342893.47596327,527528.424571365,485326.1506056558,-42202.2739657092,42202.2739657092,8.0
2026-08-29,29,2026-08-01,True,VALLE,18387734.16,314379.50625,162470028.85,105605518.75,363.5664,267222.58,47156.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.13851875,342893.47596327,527528.424571365,485326.1506056558,-42202.2739657092,42202.2739657092,8.0
2026-08-29,29,2026-08-01,True,SANTANDER,14391661.93,314379.50625,162470028.85,105605518.75,363.5664,267222.58,47156.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.13851875,342893.47596327,527528.424571365,485326.1506056558,-42202.2739657092,42202.2739657092,8.0
