Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,147570000.0,125434500.0,22135500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,148553800.0,126270730.0,22283070.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,149537600.0,127106960.0,22430640.0,85.0,15.0,158.5,47337.23999999999,243.85999999999996,224.35999999999999,-19.52,19.52
2024-04-01,HISTORICO,150521400.0,127943190.0,22578210.0,85.0,15.0,158.21000000000004,45820.01,243.39999999999998,223.94000000000003,-19.47,19.47
2024-05-01,HISTORICO,151505200.0,128779420.0,22725780.0,85.0,15.0,164.76000000000002,45908.14,253.46,233.18,-20.270000000000003,20.270000000000003
2024-06-01,HISTORICO,152489000.0,129615650.0,22873350.0,85.0,15.0,172.91000000000003,48091.11,266.03000000000003,244.74,-21.29,21.29
2024-07-01,HISTORICO,153472800.0,130451880.0,23020920.0,85.0,15.0,174.93,50871.22,269.10999999999996,247.60000000000002,-21.529999999999998,21.529999999999998
2024-08-01,HISTORICO,154456600.0,131288110.0,23168490.0,85.0,15.0,168.9,51913.36,259.85,239.06,-20.79,20.79
2024-09-01,HISTORICO,155440400.0,132124340.0,23316060.0,85.0,15.0,161.32999999999998,50794.14000000001,248.2,228.36,-19.85,19.85
2024-10-01,HISTORICO,156424200.0,132960570.0,23463630.0,85.0,15.0,158.99,49075.149999999994,244.58999999999997,225.02,-19.58,19.58
2024-11-01,HISTORICO,157408000.0,133796800.0,23611200.0,85.0,15.0,163.67000000000002,48583.869999999995,251.8,231.64000000000004,-20.150000000000002,20.150000000000002
2024-12-01,HISTORICO,158391800.0,134633030.0,23758770.0,85.0,15.0,171.76999999999998,50244.42999999999,264.26,243.14,-21.13,21.13
2025-01-01,HISTORICO,159375600.0,135469260.0,23906340.0,85.0,15.0,175.92999999999998,53120.37,270.67,248.99,-21.65,21.65
2025-02-01,HISTORICO,160359400.0,136305490.0,24053910.0,85.0,15.0,171.96,54823.27,264.57000000000005,243.39999999999998,-21.159999999999997,21.159999999999997
2025-03-01,HISTORICO,161343200.0,137141720.0,24201480.0,85.0,15.0,164.34,54210.340000000004,252.82999999999998,232.62,-20.240000000000002,20.240000000000002
2025-04-01,HISTORICO,162327000.0,137977950.0,24349050.0,85.0,15.0,160.25,52443.60999999999,246.54999999999998,226.81999999999996,-19.72,19.72
2025-05-01,HISTORICO,163310800.0,138814180.0,24496620.0,85.0,15.0,162.95000000000002,51442.96,250.70000000000002,230.64,-20.05,20.05
2025-06-01,HISTORICO,164294600.0,139650410.0,24644190.0,85.0,15.0,170.40000000000003,52501.08,262.16999999999996,241.19,-20.969999999999995,20.969999999999995
2025-07-01,HISTORICO,165278400.0,140486640.0,24791760.0,85.0,15.0,176.13000000000002,55260.7,270.97999999999996,249.3,-21.680000000000003,21.680000000000003
2025-08-01,HISTORICO,166262200.0,141322870.0,24939330.0,85.0,15.0,174.45000000000002,57525.759999999995,268.39,246.91000000000003,-21.48,21.48
2025-09-01,HISTORICO,167246000.0,142159100.0,25086900.0,85.0,15.0,167.40999999999997,57534.60999999999,257.55,236.94,-20.599999999999998,20.599999999999998
2025-10-01,HISTORICO,168229800.0,142995330.0,25234470.0,85.0,15.0,161.97000000000003,55887.4,249.18,229.25,-19.92,19.92
2025-11-01,HISTORICO,169213600.0,143831560.0,25382040.0,85.0,15.0,162.68999999999997,54479.04,250.29000000000002,230.28000000000003,-20.03,20.03
2025-12-01,HISTORICO,170197400.0,144667790.0,25529610.0,85.0,15.0,169.04,54902.880000000005,260.06,239.24,-20.8,20.8
2026-01-01,HISTORICO,171181200.0,145504020.0,25677180.0,85.0,15.0,175.7,57354.03,270.32,248.70000000000005,-21.630000000000003,21.630000000000003
2026-02-01,HISTORICO,172165000.0,146340250.0,25824750.0,85.0,15.0,176.28,60024.21,271.18,249.49999999999994,-21.690000000000005,21.690000000000005
2026-03-01,HISTORICO,173148800.0,147176480.0,25972320.0,85.0,15.0,170.35,60719.42,262.08,241.11,-20.959999999999997,20.959999999999997
2026-04-01,HISTORICO,174132600.0,148012710.0,26119890.0,85.0,15.0,164.06,59361.68000000001,252.38,232.19,-20.19,20.19
2026-05-01,HISTORICO,175116400.0,148848940.0,26267460.0,85.0,15.0,162.9,57674.77,250.61000000000004,230.54999999999998,-20.05,20.05
2026-06-01,HISTORICO,176100200.0,149685170.0,26415030.0,85.0,15.0,167.79999999999998,57477.53999999999,258.15,237.49000000000004,-20.66,20.66
