Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30193510.67,439217.84375,191380324.29000002,124397210.79,362.8469,373335.17,65882.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.65353125,478106.49908811564,735548.4601266931,676704.5833165577,-58843.876810135436,58843.876810135436,7.999999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,42350715.22,439217.84375,191380324.29000002,124397210.79,362.8469,373335.17,65882.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.65353125,478106.49908811564,735548.4601266931,676704.5833165577,-58843.876810135436,58843.876810135436,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33576254.99,439217.84375,191380324.29000002,124397210.79,362.8469,373335.17,65882.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.65353125,478106.49908811564,735548.4601266931,676704.5833165577,-58843.876810135436,58843.876810135436,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26742082.71,439217.84375,191380324.29000002,124397210.79,362.8469,373335.17,65882.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.65353125,478106.49908811564,735548.4601266931,676704.5833165577,-58843.876810135436,58843.876810135436,7.999999999999999
2026-08-28,28,2026-08-01,True,VALLE,21517972.31,439217.84375,191380324.29000002,124397210.79,362.8469,373335.17,65882.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.65353125,478106.49908811564,735548.4601266931,676704.5833165577,-58843.876810135436,58843.876810135436,7.999999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16946796.31,439217.84375,191380324.29000002,124397210.79,362.8469,373335.17,65882.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.65353125,478106.49908811564,735548.4601266931,676704.5833165577,-58843.876810135436,58843.876810135436,7.999999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10900781.71,439217.84375,191380324.29000002,124397210.79,362.8469,373335.17,65882.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.65353125,478106.49908811564,735548.4601266931,676704.5833165577,-58843.876810135436,58843.876810135436,7.999999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9152210.37,439217.84375,191380324.29000002,124397210.79,362.8469,373335.17,65882.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.65353125,478106.49908811564,735548.4601266931,676704.5833165577,-58843.876810135436,58843.876810135436,7.999999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25509707.39,314033.8025,162291370.91,105489391.09,363.5664,266928.73,47105.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.1014074999999,342516.417159708,526948.3340993513,484792.46737140324,-42155.86672794807,42155.86672794807,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,35624198.82,314033.8025,162291370.91,105489391.09,363.5664,266928.73,47105.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.1014074999999,342516.417159708,526948.3340993513,484792.46737140324,-42155.86672794807,42155.86672794807,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28620298.93,314033.8025,162291370.91,105489391.09,363.5664,266928.73,47105.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.1014074999999,342516.417159708,526948.3340993513,484792.46737140324,-42155.86672794807,42155.86672794807,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22650668.73,314033.8025,162291370.91,105489391.09,363.5664,266928.73,47105.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.1014074999999,342516.417159708,526948.3340993513,484792.46737140324,-42155.86672794807,42155.86672794807,7.999999999999993
2026-08-29,29,2026-08-01,True,VALLE,18674310.79,314033.8025,162291370.91,105489391.09,363.5664,266928.73,47105.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.1014074999999,342516.417159708,526948.3340993513,484792.46737140324,-42155.86672794807,42155.86672794807,7.999999999999993
2026-08-29,29,2026-08-01,True,SANTANDER,14302465.5,314033.8025,162291370.91,105489391.09,363.5664,266928.73,47105.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.1014074999999,342516.417159708,526948.3340993513,484792.46737140324,-42155.86672794807,42155.86672794807,7.999999999999993
