Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,101677500.0,86425875.04,15251625.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,102355350.0,87002047.52,15353302.480000002,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,103033200.0,87578220.0,15454980.0,85.0,15.0,109.22000000000001,32615.920000000002,168.01,154.57000000000002,-13.45,13.45
2024-04-01,HISTORICO,103711050.0,88154392.48,15556657.519999998,85.0,15.0,109.00999999999999,31570.53,167.71,154.30000000000004,-13.41,13.41
2024-05-01,HISTORICO,104388900.0,88730564.96,15658335.039999995,85.0,15.0,113.52000000000001,31631.269999999997,174.64,160.66,-13.969999999999999,13.969999999999999
2024-06-01,HISTORICO,105066750.0,89306737.52,15760012.480000002,85.0,15.0,119.14999999999999,33135.34,183.29999999999998,168.64,-14.67,14.67
2024-07-01,HISTORICO,105744600.0,89882910.0,15861690.0,85.0,15.0,120.53000000000002,35050.88,185.44000000000003,170.6,-14.829999999999998,14.829999999999998
2024-08-01,HISTORICO,106422450.0,90459082.48,15963367.519999998,85.0,15.0,116.39000000000001,35768.93000000001,179.03999999999996,164.70999999999998,-14.329999999999998,14.329999999999998
2024-09-01,HISTORICO,107100300.0,91035255.03999999,16065045.039999995,85.0,15.0,111.16000000000001,34997.79,171.01,157.33,-13.69,13.69
2024-10-01,HISTORICO,107778150.0,91611427.52,16166722.480000002,85.0,15.0,109.53999999999999,33813.36,168.52000000000004,155.04000000000002,-13.489999999999998,13.489999999999998
2024-11-01,HISTORICO,108456000.0,92187600.0,16268400.0,85.0,15.0,112.77000000000001,33474.86,173.48,159.62,-13.890000000000002,13.890000000000002
