Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30701827.68,442131.70625,192649980.93,125222487.6,362.8469,375811.95,66319.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.39511875,481278.3570135694,740428.2415859456,681193.9822590699,-59234.259326875675,59234.259326875675,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,42005724.05,442131.70625,192649980.93,125222487.6,362.8469,375811.95,66319.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.39511875,481278.3570135694,740428.2415859456,681193.9822590699,-59234.259326875675,59234.259326875675,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34038488.28,442131.70625,192649980.93,125222487.6,362.8469,375811.95,66319.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.39511875,481278.3570135694,740428.2415859456,681193.9822590699,-59234.259326875675,59234.259326875675,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26497825.08,442131.70625,192649980.93,125222487.6,362.8469,375811.95,66319.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.39511875,481278.3570135694,740428.2415859456,681193.9822590699,-59234.259326875675,59234.259326875675,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,22199477.54,442131.70625,192649980.93,125222487.6,362.8469,375811.95,66319.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.39511875,481278.3570135694,740428.2415859456,681193.9822590699,-59234.259326875675,59234.259326875675,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,17140223.88,442131.70625,192649980.93,125222487.6,362.8469,375811.95,66319.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.39511875,481278.3570135694,740428.2415859456,681193.9822590699,-59234.259326875675,59234.259326875675,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10977745.55,442131.70625,192649980.93,125222487.6,362.8469,375811.95,66319.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.39511875,481278.3570135694,740428.2415859456,681193.9822590699,-59234.259326875675,59234.259326875675,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,9088668.87,442131.70625,192649980.93,125222487.6,362.8469,375811.95,66319.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.39511875,481278.3570135694,740428.2415859456,681193.9822590699,-59234.259326875675,59234.259326875675,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25513993.07,312010.68875,161245834.15,104809792.2,363.5664,265209.09,46801.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.03206625,340309.808611074,523553.5516968564,481669.2675611079,-41884.284135748516,41884.284135748516,8.000000000000002
2026-08-29,29,2026-08-01,True,BOGOTA,35416948.24,312010.68875,161245834.15,104809792.2,363.5664,265209.09,46801.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.03206625,340309.808611074,523553.5516968564,481669.2675611079,-41884.284135748516,41884.284135748516,8.000000000000002
