Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,93195000.0,79215750.0,13979250.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,93816300.0,79743855.04,14072445.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,94437600.0,80271960.0,14165640.0,85.0,15.0,100.09000000000002,29894.92,154.01,141.69,-12.32,12.32
2024-04-01,HISTORICO,95058900.0,80800064.96,14258835.039999995,85.0,15.0,99.92,28936.76,153.72000000000003,141.42,-12.309999999999999,12.309999999999999
2024-05-01,HISTORICO,95680200.0,81328170.0,14352030.0,85.0,15.0,104.04999999999998,28992.4,160.07999999999998,147.27,-12.809999999999999,12.809999999999999
2024-06-01,HISTORICO,96301500.0,81856275.04,14445225.039999995,85.0,15.0,109.20000000000002,30371.010000000002,168.01,154.55,-13.45,13.45
2024-07-01,HISTORICO,96922800.0,82384380.0,14538420.0,85.0,15.0,110.47,32126.729999999996,169.95000000000002,156.35999999999999,-13.580000000000002,13.580000000000002
2024-08-01,HISTORICO,97544100.0,82912484.96,14631615.039999995,85.0,15.0,106.66000000000001,32784.880000000005,164.12,150.98,-13.129999999999999,13.129999999999999
2024-09-01,HISTORICO,98165400.0,83440590.0,14724810.0,85.0,15.0,101.89000000000001,32078.07,156.75,144.22,-12.540000000000001,12.540000000000001
2024-10-01,HISTORICO,98786700.0,83968695.04,14818005.039999995,85.0,15.0,100.41000000000001,30992.460000000003,154.45999999999998,142.09,-12.35,12.35
2024-11-01,HISTORICO,99408000.0,84496800.0,14911200.0,85.0,15.0,103.36,30682.199999999997,159.01000000000002,146.3,-12.719999999999999,12.719999999999999
2024-12-01,HISTORICO,100029300.0,85024904.96,15004395.039999995,85.0,15.0,108.47,31730.89,166.89000000000001,153.55,-13.36,13.36
2025-01-01,HISTORICO,100650600.0,85553010.0,15097590.0,85.0,15.0,111.10000000000001,33547.15,170.92,157.25,-13.69,13.69
2025-02-01,HISTORICO,101271900.0,86081115.04,15190785.039999995,85.0,15.0,108.60000000000001,34622.590000000004,167.07999999999998,153.72000000000003,-13.37,13.37
2025-03-01,HISTORICO,101893200.0,86609220.0,15283980.0,85.0,15.0,103.78999999999999,34235.5,159.67999999999998,146.9,-12.769999999999998,12.769999999999998
2025-04-01,HISTORICO,102514500.0,87137324.96,15377175.039999995,85.0,15.0,101.21,33119.75000000001,155.70000000000002,143.23,-12.450000000000001,12.450000000000001
2025-05-01,HISTORICO,103135800.0,87665430.0,15470370.0,85.0,15.0,102.91000000000001,32487.82,158.32,145.67,-12.68,12.68
2025-06-01,HISTORICO,103757100.0,88193535.04,15563565.039999995,85.0,15.0,107.63000000000001,33156.04,165.56000000000003,152.33,-13.24,13.24
2025-07-01,HISTORICO,104378400.0,88721640.0,15656760.0,85.0,15.0,111.24000000000001,34898.85,171.13000000000002,157.43999999999997,-13.69,13.69
2025-08-01,HISTORICO,104999700.0,89249744.96,15749955.039999995,85.0,15.0,110.17,36329.28,169.49,155.93,-13.559999999999999,13.559999999999999
2025-09-01,HISTORICO,105621000.0,89777850.0,15843150.0,85.0,15.0,105.71000000000001,36334.88,162.65999999999997,149.63,-13.02,13.02
2025-10-01,HISTORICO,106242300.0,90305955.03999999,15936345.039999995,85.0,15.0,102.29,35294.60999999999,157.37,144.79,-12.589999999999998,12.589999999999998
2025-11-01,HISTORICO,106863600.0,90834060.0,16029540.0,85.0,15.0,102.75,34405.189999999995,158.05999999999997,145.41,-12.649999999999999,12.649999999999999
2025-12-01,HISTORICO,107484900.0,91362164.96000001,16122735.039999995,85.0,15.0,106.75000000000001,34672.86,164.24,151.08999999999997,-13.129999999999999,13.129999999999999
2026-01-01,HISTORICO,108106200.0,91890270.0,16215930.0,85.0,15.0,110.94999999999999,36220.84,170.73000000000002,157.06,-13.67,13.67
2026-02-01,HISTORICO,108727500.0,92418375.03999999,16309125.039999995,85.0,15.0,111.32000000000001,37907.130000000005,171.26,157.56,-13.71,13.71
2026-03-01,HISTORICO,109348800.0,92946480.0,16402320.0,85.0,15.0,107.58,38346.18000000001,165.52,152.28,-13.24,13.24
2026-04-01,HISTORICO,109970100.0,93474584.96000001,16495515.039999995,85.0,15.0,103.6,37488.72,159.39,146.63,-12.749999999999998,12.749999999999998
2026-05-01,HISTORICO,110591400.0,94002690.0,16588710.0,85.0,15.0,102.88000000000002,36423.39,158.27,145.60999999999999,-12.68,12.68
2026-06-01,HISTORICO,111212700.0,94530795.03999999,16681905.039999995,85.0,15.0,105.96,36298.82,163.02,150.0,-13.04,13.04
2026-07-01,HISTORICO,111834000.0,95058900.0,16775100.0,85.0,15.0,110.38999999999999,37553.61,169.82999999999998,156.23000000000002,-13.580000000000002,13.580000000000002
2026-08-01,HISTORICO,124463195.36000001,105793716.0,18669479.359999992,85.0,15.0,36135.71,13148817.27,20168550.200000003,18555066.16,-1613484.02,1613484.02
2026-09-01,HISTORICO,210934213.76,179294081.68000004,31640132.080000006,85.0,15.0,293682.17000000004,107593849.24,165467251.42,152229871.31999996,-13237380.1,13237380.1
2026-10-01,HISTORICO,214999919.92000002,182749932.0,32249988.0,85.0,15.0,304011.17000000004,112838880.78000002,173537407.75000003,159654415.15,-13882992.610000003,13882992.610000003
2026-11-01,HISTORICO,212897690.0,180963036.48000002,31934653.520000003,85.0,15.0,295838.74,110428447.04,169830807.89000005,156244343.23999998,-13586464.629999999,13586464.629999999
2026-12-01,HISTORICO,219206370.72000003,186325415.12000003,32880955.680000007,85.0,15.0,312902.96,118692455.95000002,182545413.53,167941780.49,-14603633.05,14603633.05
2027-01-01,HISTORICO,218552300.96,185769455.84,32782845.120000005,85.0,15.0,309081.16000000003,119124693.07000001,183209027.88,168552305.66,-14656722.209999999,14656722.209999999
2027-02-01,HISTORICO,211244034.64000002,179557429.51999998,31686605.19999999,85.0,15.0,285295.10000000003,110428025.81,169826750.61,156240610.55,-13586140.049999999,13586140.049999999
