Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30112638.31,437098.40875,190456823.04999998,123796934.98,362.8469,371533.65,65564.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.29522625,475799.40782961115,731999.0889834147,673439.1618647416,-58559.927118673106,58559.927118673106,7.99999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,41481357.62,437098.40875,190456823.04999998,123796934.98,362.8469,371533.65,65564.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.29522625,475799.40782961115,731999.0889834147,673439.1618647416,-58559.927118673106,58559.927118673106,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33814364.46,437098.40875,190456823.04999998,123796934.98,362.8469,371533.65,65564.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.29522625,475799.40782961115,731999.0889834147,673439.1618647416,-58559.927118673106,58559.927118673106,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26664806.03,437098.40875,190456823.04999998,123796934.98,362.8469,371533.65,65564.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.29522625,475799.40782961115,731999.0889834147,673439.1618647416,-58559.927118673106,58559.927118673106,7.99999999999999
2026-08-28,28,2026-08-01,True,VALLE,21586853.93,437098.40875,190456823.04999998,123796934.98,362.8469,371533.65,65564.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.29522625,475799.40782961115,731999.0889834147,673439.1618647416,-58559.927118673106,58559.927118673106,7.99999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16793635.62,437098.40875,190456823.04999998,123796934.98,362.8469,371533.65,65564.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.29522625,475799.40782961115,731999.0889834147,673439.1618647416,-58559.927118673106,58559.927118673106,7.99999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10976537.32,437098.40875,190456823.04999998,123796934.98,362.8469,371533.65,65564.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.29522625,475799.40782961115,731999.0889834147,673439.1618647416,-58559.927118673106,58559.927118673106,7.99999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9026629.76,437098.40875,190456823.04999998,123796934.98,362.8469,371533.65,65564.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.29522625,475799.40782961115,731999.0889834147,673439.1618647416,-58559.927118673106,58559.927118673106,7.99999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25546065.7,311747.5825,161109861.58,104721410.03,363.5664,264985.45,46762.14,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.2427475000001,340022.838834684,523112.05973068194,481263.09495222743,-41848.96477845451,41848.96477845451,7.99999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35274384.27,311747.5825,161109861.58,104721410.03,363.5664,264985.45,46762.14,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.2427475000001,340022.838834684,523112.05973068194,481263.09495222743,-41848.96477845451,41848.96477845451,7.99999999999999
