Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,71010000.0,60358500.0,10651500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,71483400.0,60760890.0,10722510.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,71956800.0,61163280.0,10793520.0,85.0,15.0,76.27,22778.449999999997,117.33999999999999,107.96000000000001,-9.38,9.38
2024-04-01,HISTORICO,72430200.0,61565670.0,10864530.0,85.0,15.0,76.13,22048.379999999997,117.12,107.76999999999998,-9.370000000000001,9.370000000000001
2024-05-01,HISTORICO,72903600.0,61968060.0,10935540.0,85.0,15.0,79.27000000000001,22090.79,121.97,112.2,-9.74,9.74
2024-06-01,HISTORICO,73377000.0,62370450.0,11006550.0,85.0,15.0,83.19999999999999,23141.21,128.01999999999998,117.77000000000001,-10.23,10.23
2024-07-01,HISTORICO,73850400.0,62772840.0,11077560.0,85.0,15.0,84.18,24478.980000000003,129.51,119.14999999999999,-10.37,10.37
2024-08-01,HISTORICO,74323800.0,63175230.0,11148570.0,85.0,15.0,81.28999999999999,24980.47,125.03999999999999,115.02,-10.010000000000002,10.010000000000002
2024-09-01,HISTORICO,74797200.0,63577620.0,11219580.0,85.0,15.0,77.63,24441.92,119.43,109.88,-9.56,9.56
2024-10-01,HISTORICO,75270600.0,63980010.0,11290590.0,85.0,15.0,76.5,23614.74,117.70000000000002,108.28,-9.420000000000002,9.420000000000002
2024-11-01,HISTORICO,75744000.0,64382400.0,11361600.0,85.0,15.0,78.75,23378.33,121.16000000000001,111.46999999999998,-9.700000000000001,9.700000000000001
2024-12-01,HISTORICO,76217400.0,64784790.0,11432610.0,85.0,15.0,82.64999999999999,24177.38,127.16,116.99000000000001,-10.180000000000001,10.180000000000001
2025-01-01,HISTORICO,76690800.0,65187180.0,11503620.0,85.0,15.0,84.65,25561.29,130.24,119.82,-10.41,10.41
2025-02-01,HISTORICO,77164200.0,65589570.0,11574630.0,85.0,15.0,82.76,26380.71,127.29999999999998,117.12,-10.190000000000001,10.190000000000001
2025-03-01,HISTORICO,77637600.0,65991960.0,11645640.0,85.0,15.0,79.08,26085.760000000002,121.68,111.94,-9.74,9.74
2025-04-01,HISTORICO,78111000.0,66394350.0,11716650.0,85.0,15.0,77.11000000000001,25235.63,118.64,109.14,-9.51,9.51
2025-05-01,HISTORICO,78584400.0,66796740.0,11787660.0,85.0,15.0,78.42,24754.109999999997,120.63999999999999,110.99,-9.65,9.65
2025-06-01,HISTORICO,79057800.0,67199130.0,11858670.0,85.0,15.0,82.0,25263.260000000002,126.16,116.06,-10.090000000000002,10.090000000000002
2025-07-01,HISTORICO,79531200.0,67601520.0,11929680.0,85.0,15.0,84.75999999999999,26591.199999999997,130.4,119.96000000000001,-10.42,10.42
2025-08-01,HISTORICO,80004600.0,68003910.0,12000690.0,85.0,15.0,83.94,27681.129999999997,129.14999999999998,118.80999999999999,-10.33,10.33
2025-09-01,HISTORICO,80478000.0,68406300.0,12071700.0,85.0,15.0,80.56000000000002,27685.380000000005,123.93,114.00999999999999,-9.920000000000002,9.920000000000002
2025-10-01,HISTORICO,80951400.0,68808690.0,12142710.0,85.0,15.0,77.93999999999998,26892.76,119.9,110.31,-9.58,9.58
2025-11-01,HISTORICO,81424800.0,69211080.0,12213720.0,85.0,15.0,78.29,26215.049999999996,120.46000000000001,110.80000000000001,-9.64,9.64
2025-12-01,HISTORICO,81898200.0,69613470.0,12284730.0,85.0,15.0,81.33999999999999,26419.010000000002,125.13999999999999,115.13000000000002,-10.010000000000002,10.010000000000002
2026-01-01,HISTORICO,82371600.0,70015860.0,12355740.0,85.0,15.0,84.56,27598.5,130.07999999999998,119.68,-10.399999999999999,10.399999999999999
2026-02-01,HISTORICO,82845000.0,70418250.0,12426750.0,85.0,15.0,84.81,28883.38,130.49,120.04999999999998,-10.44,10.44
2026-03-01,HISTORICO,83318400.0,70820640.0,12497760.0,85.0,15.0,81.97,29217.89,126.11000000000001,116.03,-10.090000000000002,10.090000000000002
2026-04-01,HISTORICO,83791800.0,71223030.0,12568770.0,85.0,15.0,78.94,28564.569999999996,121.46000000000001,111.73000000000002,-9.72,9.72
2026-05-01,HISTORICO,84265200.0,71625420.0,12639780.0,85.0,15.0,78.38,27752.839999999997,120.58999999999999,110.94999999999999,-9.65,9.65
2026-06-01,HISTORICO,84738600.0,72027810.0,12710790.0,85.0,15.0,80.74,27657.91,124.20999999999998,114.28999999999999,-9.940000000000001,9.940000000000001
2026-07-01,HISTORICO,85212000.0,72430200.0,12781800.0,85.0,15.0,84.12,28614.0,129.41,119.04999999999998,-10.36,10.36
2026-08-01,HISTORICO,97737642.96000001,83076996.48000002,14660646.48,85.0,15.0,36242.08,13187867.13,20243004.92,18623564.580000002,-1619440.44,1619440.44
2026-09-01,HISTORICO,184050131.20000002,156442611.51999998,27607519.680000003,85.0,15.0,293757.27,107621129.24000002,165523919.63,152282006.08999997,-13241913.6,13241913.6
2026-10-01,HISTORICO,188010570.64000002,159808985.04,28201585.599999998,85.0,15.0,304215.19000000006,112917257.26,173672477.1,159778678.94,-13893798.18,13893798.18
2026-11-01,HISTORICO,185840945.35999998,157964803.51999998,27876141.840000004,85.0,15.0,296284.70999999996,110595861.17999999,170102439.42000002,156494244.27999997,-13608195.129999999,13608195.129999999
2026-12-01,HISTORICO,191837882.48000002,163062200.08,28775682.400000002,85.0,15.0,312856.92000000004,118675931.39999999,182533884.86,167931174.02000004,-14602710.759999998,14602710.759999998
2027-01-01,HISTORICO,191034107.27999997,162378991.20000002,28655116.080000006,85.0,15.0,309028.67000000004,119105634.33000001,183193925.64000005,168538411.59000003,-14655514.050000003,14655514.050000003
2027-02-01,HISTORICO,183508624.48000002,155982330.79999998,27526293.680000003,85.0,15.0,285034.06999999995,110327695.73000002,169687279.48999998,156112297.12,-13574982.38,13574982.38
