Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30253918.97,439497.06,191501986.98000002,124476291.54,362.8469,373572.5,65924.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.49118,478410.437340342,736016.0574289414,677134.772834626,-58881.28459431534,58881.28459431534,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,42030901.3,439497.06,191501986.98000002,124476291.54,362.8469,373572.5,65924.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.49118,478410.437340342,736016.0574289414,677134.772834626,-58881.28459431534,58881.28459431534,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34064064.84,439497.06,191501986.98000002,124476291.54,362.8469,373572.5,65924.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.49118,478410.437340342,736016.0574289414,677134.772834626,-58881.28459431534,58881.28459431534,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26432727.74,439497.06,191501986.98000002,124476291.54,362.8469,373572.5,65924.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.49118,478410.437340342,736016.0574289414,677134.772834626,-58881.28459431534,58881.28459431534,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,21937081.57,439497.06,191501986.98000002,124476291.54,362.8469,373572.5,65924.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.49118,478410.437340342,736016.0574289414,677134.772834626,-58881.28459431534,58881.28459431534,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,16818581.24,439497.06,191501986.98000002,124476291.54,362.8469,373572.5,65924.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.49118,478410.437340342,736016.0574289414,677134.772834626,-58881.28459431534,58881.28459431534,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10917132.52,439497.06,191501986.98000002,124476291.54,362.8469,373572.5,65924.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.49118,478410.437340342,736016.0574289414,677134.772834626,-58881.28459431534,58881.28459431534,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,9047578.8,439497.06,191501986.98000002,124476291.54,362.8469,373572.5,65924.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.49118,478410.437340342,736016.0574289414,677134.772834626,-58881.28459431534,58881.28459431534,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25493693.55,311308.03125,160882703.32000002,104573757.16,363.5664,264611.83,46696.2,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.92409375,339543.42063795,522374.49327916343,480584.5338168304,-41789.95946233306,41789.95946233306,7.999999999999997
2026-08-29,29,2026-08-01,True,BOGOTA,35320663.62,311308.03125,160882703.32000002,104573757.16,363.5664,264611.83,46696.2,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.92409375,339543.42063795,522374.49327916343,480584.5338168304,-41789.95946233306,41789.95946233306,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28248896.93,311308.03125,160882703.32000002,104573757.16,363.5664,264611.83,46696.2,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.92409375,339543.42063795,522374.49327916343,480584.5338168304,-41789.95946233306,41789.95946233306,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22502884.99,311308.03125,160882703.32000002,104573757.16,363.5664,264611.83,46696.2,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.92409375,339543.42063795,522374.49327916343,480584.5338168304,-41789.95946233306,41789.95946233306,7.999999999999997
2026-08-29,29,2026-08-01,True,VALLE,18520661.06,311308.03125,160882703.32000002,104573757.16,363.5664,264611.83,46696.2,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.92409375,339543.42063795,522374.49327916343,480584.5338168304,-41789.95946233306,41789.95946233306,7.999999999999997
2026-08-29,29,2026-08-01,True,SANTANDER,14158195.57,311308.03125,160882703.32000002,104573757.16,363.5664,264611.83,46696.2,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.92409375,339543.42063795,522374.49327916343,480584.5338168304,-41789.95946233306,41789.95946233306,7.999999999999997
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,8986553.83,311308.03125,160882703.32000002,104573757.16,363.5664,264611.83,46696.2,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.92409375,339543.42063795,522374.49327916343,480584.5338168304,-41789.95946233306,41789.95946233306,7.999999999999997
2026-08-29,29,2026-08-01,True,TOLIMA,7651153.77,311308.03125,160882703.32000002,104573757.16,363.5664,264611.83,46696.2,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.92409375,339543.42063795,522374.49327916343,480584.5338168304,-41789.95946233306,41789.95946233306,7.999999999999997
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25831908.5,314913.07875,162745776.95000002,105784755.02,364.2743,267676.12,47236.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),944.73923625,344144.22396750335,529452.6522451851,487096.4400655703,-42356.21217961481,42356.21217961481,8.000000000000002
2026-08-30,30,2026-08-01,True,BOGOTA,35963790.59,314913.07875,162745776.95000002,105784755.02,364.2743,267676.12,47236.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),944.73923625,344144.22396750335,529452.6522451851,487096.4400655703,-42356.21217961481,42356.21217961481,8.000000000000002
2026-08-30,30,2026-08-01,True,CARIBE_MAR,29025984.47,314913.07875,162745776.95000002,105784755.02,364.2743,267676.12,47236.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),944.73923625,344144.22396750335,529452.6522451851,487096.4400655703,-42356.21217961481,42356.21217961481,8.000000000000002
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22506681.5,314913.07875,162745776.95000002,105784755.02,364.2743,267676.12,47236.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),944.73923625,344144.22396750335,529452.6522451851,487096.4400655703,-42356.21217961481,42356.21217961481,8.000000000000002
2026-08-30,30,2026-08-01,True,VALLE,18319550.67,314913.07875,162745776.95000002,105784755.02,364.2743,267676.12,47236.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),944.73923625,344144.22396750335,529452.6522451851,487096.4400655703,-42356.21217961481,42356.21217961481,8.000000000000002
2026-08-30,30,2026-08-01,True,SANTANDER,14387772.1,314913.07875,162745776.95000002,105784755.02,364.2743,267676.12,47236.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),944.73923625,344144.22396750335,529452.6522451851,487096.4400655703,-42356.21217961481,42356.21217961481,8.000000000000002
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9126251.8,314913.07875,162745776.95000002,105784755.02,364.2743,267676.12,47236.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),944.73923625,344144.22396750335,529452.6522451851,487096.4400655703,-42356.21217961481,42356.21217961481,8.000000000000002
2026-08-30,30,2026-08-01,True,TOLIMA,7583837.32,314913.07875,162745776.95000002,105784755.02,364.2743,267676.12,47236.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),944.73923625,344144.22396750335,529452.6522451851,487096.4400655703,-42356.21217961481,42356.21217961481,8.000000000000002
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30059773.86,440812.1975,192075031.67,124848770.59,364.9592,374690.37,66121.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.4365925,482635.400849526,742516.0012802001,683114.7211777841,-59401.28010241594,59401.28010241594,7.999999999999992
2026-08-31,31,2026-08-01,True,BOGOTA,42365936.34,440812.1975,192075031.67,124848770.59,364.9592,374690.37,66121.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.4365925,482635.400849526,742516.0012802001,683114.7211777841,-59401.28010241594,59401.28010241594,7.999999999999992
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33738061.13,440812.1975,192075031.67,124848770.59,364.9592,374690.37,66121.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.4365925,482635.400849526,742516.0012802001,683114.7211777841,-59401.28010241594,59401.28010241594,7.999999999999992
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26923775.77,440812.1975,192075031.67,124848770.59,364.9592,374690.37,66121.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.4365925,482635.400849526,742516.0012802001,683114.7211777841,-59401.28010241594,59401.28010241594,7.999999999999992
