Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,DUCC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,DUCC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,DUCC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,DUCC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,DUCC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,DUCC,CNIOR,SANTANDER,ESSA - SANTANDER,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,DUCC,CNIOR,TOLIMA,ELET - TOLIMA,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,DUCC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,DUCC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,DUCC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,DUCC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,DUCC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,DUCC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,DUCC,CNIOR,SANTANDER,ESSA - SANTANDER,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,DUCC,CNIOR,TOLIMA,ELET - TOLIMA,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,DUCC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,14.5331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,DUCC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,17948350.0,15256097.5,2692252.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,14.5331,24.01,7169.32,36.93,33.98,-2.95,2.95,8.0
2024-03-01,HISTORICO,DUCC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,17948350.0,15256097.5,2692252.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,14.5331,33.61,10037.04,51.71,47.57,-4.14,4.14,8.0
2024-03-01,HISTORICO,DUCC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,17948350.0,15256097.5,2692252.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,14.5331,26.89,8029.63,41.37,38.06,-3.31,3.31,8.0
2024-03-01,HISTORICO,DUCC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,17948350.0,15256097.5,2692252.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,14.5331,21.13,6309.0,32.5,29.9,-2.6,2.6,8.0
2024-03-01,HISTORICO,DUCC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,17948350.0,15256097.5,2692252.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,9180000.0,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,14.5331,8.64,2580.95,13.3,12.23,-1.06,1.06,8.0
2024-03-01,HISTORICO,DUCC,CNIOR,SANTANDER,ESSA - SANTANDER,17948350.0,15256097.5,2692252.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,14280000.0,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,14.5331,13.44,4014.82,20.68,19.03,-1.65,1.65,8.0
2024-03-01,HISTORICO,DUCC,CNIOR,TOLIMA,ELET - TOLIMA,17948350.0,15256097.5,2692252.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,7650000.0,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,14.5331,7.2,2150.79,11.08,10.19,-0.89,0.89,8.0
2024-03-01,HISTORICO,DUCC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,17948350.0,15256097.5,2692252.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,18360000.0,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,14.5331,17.28,5161.91,26.59,24.46,-2.13,2.13,8.0
2024-04-01,HISTORICO,DUCC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,18066431.25,15356466.56,2709964.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,25750000.0,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,14.5331,23.96,6939.53,36.86,33.91,-2.95,2.95,8.0
2024-04-01,HISTORICO,DUCC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,18066431.25,15356466.56,2709964.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,36050000.0,35700000.0,3570000.0,298.6395,35350000.0,3605000.0,1.005e-05,0.0,355.11,355.11,326.7,14.5331,33.55,9715.34,51.61,47.48,-4.13,4.13,8.0
2024-04-01,HISTORICO,DUCC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,18066431.25,15356466.56,2709964.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,28840000.0,28560000.0,2856000.0,298.6395,28280000.0,2884000.0,1.005e-05,0.0,284.09,284.09,261.36,14.5331,26.84,7772.27,41.29,37.98,-3.3,3.3,8.0
2024-04-01,HISTORICO,DUCC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,18066431.25,15356466.56,2709964.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,22660000.0,22440000.0,2244000.0,298.6395,22220000.0,2266000.0,1.005e-05,0.0,223.21,223.21,205.36,14.5331,21.09,6106.79,32.44,29.84,-2.6,2.6,8.0
2024-04-01,HISTORICO,DUCC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,18066431.25,15356466.56,2709964.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,9270000.0,9180000.0,918000.0,298.6395,9090000.0,927000.0,1.005e-05,0.0,91.31,91.31,84.01,14.5331,8.63,2498.23,13.27,12.21,-1.06,1.06,8.0
2024-04-01,HISTORICO,DUCC,CNIOR,SANTANDER,ESSA - SANTANDER,18066431.25,15356466.56,2709964.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,14420000.0,14280000.0,1428000.0,298.6395,14140000.0,1442000.0,1.005e-05,0.0,142.04,142.04,130.68,14.5331,13.42,3886.14,20.64,18.99,-1.65,1.65,8.0
2024-04-01,HISTORICO,DUCC,CNIOR,TOLIMA,ELET - TOLIMA,18066431.25,15356466.56,2709964.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,7725000.0,7650000.0,765000.0,298.6395,7575000.0,772500.0,1.005e-05,0.0,76.1,76.1,70.01,14.5331,7.19,2081.86,11.06,10.17,-0.88,0.88,8.0
2024-04-01,HISTORICO,DUCC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,18066431.25,15356466.56,2709964.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,18540000.0,18360000.0,1836000.0,298.6395,18180000.0,1854000.0,1.005e-05,0.0,182.63,182.63,168.02,14.5331,17.25,4996.46,26.54,24.42,-2.12,2.12,8.0
2024-05-01,HISTORICO,DUCC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,18184512.5,15456835.62,2727676.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,26000000.0,25750000.0,2575000.0,289.6168,25500000.0,2600000.0,1.036e-05,0.0,264.14,264.14,243.01,14.5331,24.95,6952.88,38.39,35.32,-3.07,3.07,8.0
2024-05-01,HISTORICO,DUCC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,18184512.5,15456835.62,2727676.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,36400000.0,36050000.0,3605000.0,289.6168,35700000.0,3640000.0,1.036e-05,0.0,369.8,369.8,340.22,14.5331,34.93,9734.03,53.74,49.44,-4.3,4.3,8.0
2024-05-01,HISTORICO,DUCC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,18184512.5,15456835.62,2727676.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,29120000.0,28840000.0,2884000.0,289.6168,28560000.0,2912000.0,1.036e-05,0.0,295.84,295.84,272.17,14.5331,27.95,7787.22,42.99,39.55,-3.44,3.44,8.0
2024-05-01,HISTORICO,DUCC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,18184512.5,15456835.62,2727676.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,22880000.0,22660000.0,2266000.0,289.6168,22440000.0,2288000.0,1.036e-05,0.0,232.45,232.45,213.85,14.5331,21.96,6118.53,33.78,31.08,-2.7,2.7,8.0
2024-05-01,HISTORICO,DUCC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,18184512.5,15456835.62,2727676.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,9360000.0,9270000.0,927000.0,289.6168,9180000.0,936000.0,1.036e-05,0.0,95.09,95.09,87.48,14.5331,8.98,2503.04,13.82,12.71,-1.11,1.11,8.0
2024-05-01,HISTORICO,DUCC,CNIOR,SANTANDER,ESSA - SANTANDER,18184512.5,15456835.62,2727676.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,14560000.0,14420000.0,1442000.0,289.6168,14280000.0,1456000.0,1.036e-05,0.0,147.92,147.92,136.09,14.5331,13.97,3893.61,21.5,19.78,-1.72,1.72,8.0
2024-05-01,HISTORICO,DUCC,CNIOR,TOLIMA,ELET - TOLIMA,18184512.5,15456835.62,2727676.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,7800000.0,7725000.0,772500.0,289.6168,7650000.0,780000.0,1.036e-05,0.0,79.24,79.24,72.9,14.5331,7.49,2085.86,11.52,10.6,-0.92,0.92,8.0
2024-05-01,HISTORICO,DUCC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,18184512.5,15456835.62,2727676.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,18720000.0,18540000.0,1854000.0,289.6168,18360000.0,1872000.0,1.036e-05,0.0,190.18,190.18,174.97,14.5331,17.97,5006.07,27.64,25.43,-2.21,2.21,8.0
2024-06-01,HISTORICO,DUCC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,18302593.75,15557204.69,2745389.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,26250000.0,26000000.0,2600000.0,278.648,25750000.0,2625000.0,1.077e-05,0.0,277.23,277.23,255.05,14.5331,26.19,7283.49,40.29,37.07,-3.22,3.22,8.0
2024-06-01,HISTORICO,DUCC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,18302593.75,15557204.69,2745389.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,36750000.0,36400000.0,3640000.0,278.648,36050000.0,3675000.0,1.077e-05,0.0,388.12,388.12,357.07,14.5331,36.66,10196.89,56.41,51.89,-4.51,4.51,8.0
2024-06-01,HISTORICO,DUCC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,18302593.75,15557204.69,2745389.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,29400000.0,29120000.0,2912000.0,278.648,28840000.0,2940000.0,1.077e-05,0.0,310.5,310.5,285.66,14.5331,29.33,8157.51,45.13,41.52,-3.61,3.61,8.0
2024-06-01,HISTORICO,DUCC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,18302593.75,15557204.69,2745389.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,23100000.0,22880000.0,2288000.0,278.648,22660000.0,2310000.0,1.077e-05,0.0,243.96,243.96,224.45,14.5331,23.05,6409.47,35.46,32.62,-2.84,2.84,8.0
2024-06-01,HISTORICO,DUCC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,18302593.75,15557204.69,2745389.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,9450000.0,9360000.0,936000.0,278.648,9270000.0,945000.0,1.077e-05,0.0,99.8,99.8,91.82,14.5331,9.43,2622.06,14.5,13.34,-1.16,1.16,8.0
2024-06-01,HISTORICO,DUCC,CNIOR,SANTANDER,ESSA - SANTANDER,18302593.75,15557204.69,2745389.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,14700000.0,14560000.0,1456000.0,278.648,14420000.0,1470000.0,1.077e-05,0.0,155.25,155.25,142.83,14.5331,14.67,4078.76,22.56,20.76,-1.81,1.81,8.0
2024-06-01,HISTORICO,DUCC,CNIOR,TOLIMA,ELET - TOLIMA,18302593.75,15557204.69,2745389.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,7875000.0,7800000.0,780000.0,278.648,7725000.0,787500.0,1.077e-05,0.0,83.17,83.17,76.52,14.5331,7.86,2185.05,12.09,11.12,-0.97,0.97,8.0
2024-06-01,HISTORICO,DUCC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,18302593.75,15557204.69,2745389.06,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,18900000.0,18720000.0,1872000.0,278.648,18540000.0,1890000.0,1.077e-05,0.0,199.61,199.61,183.64,14.5331,18.86,5244.11,29.01,26.69,-2.32,2.32,8.0
