Código Agente,Nombre Comercializador,Rol Regulado PUI (CIOR/CNIOR),Código Mercado Comercialización,Mercado Comercialización,Período (Mes),Tipo de Registro,Es Pronóstico (Sí/No),Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos (Compras Contrato) [kWh],Exposición Energía en Bolsa Spot (Compras Bolsa) [kWh],Porcentaje Cobertura por Contratos [%],Porcentaje Exposición en Bolsa Spot [%],Estado Cobertura de Demanda Agente,Días Activos Mes,Promedio Diario Agente [kWh/día],Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Comercial Mercado Total (VR - DemaCome) [kWh],Demanda Total Sistema (Todos Agentes) [kWh],Demanda Total Sistema (CNIORs) [kWh],Participación Agente en Total Sistema [%],Participación Agente entre CNIORs [%],Ranking Demanda Agente en el Mes,Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales Rezago m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Unitario Transitorio (CRPUI) [COP/kWh],Cargo Unitario Fijo Competitivo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Ingresos PUI Facturados Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%],Código Comercializador CIOR,Nombre Comercializador CIOR,Demanda Acumulada CIOR [kWh],Total Giros Recibidos CIOR [COP],Parámetro Prima Riesgo Cartera (rcpui) [COP/kWh],Parámetro % Áreas Especiales [%],Parámetro Factor Recaudo CNIOR [%],Parámetro Cargo Competitivo (cfpui) [COP/kWh],Parámetro Esquema Competitivo [Sí/No]
DUCC,DUCC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-01-01,HISTORICO,False,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,590406.25,280.0,25000000.0,1500000000.0,975000000.0,9.4465,14.5331,12,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
DUCC,DUCC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-01-01,HISTORICO,False,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,590406.25,280.0,35000000.0,1500000000.0,975000000.0,9.4465,14.5331,12,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
DUCC,DUCC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-01-01,HISTORICO,False,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,590406.25,280.0,28000000.0,1500000000.0,975000000.0,9.4465,14.5331,12,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
DUCC,DUCC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-01-01,HISTORICO,False,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,590406.25,280.0,22000000.0,1500000000.0,975000000.0,9.4465,14.5331,12,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
DUCC,DUCC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-01-01,HISTORICO,False,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,590406.25,280.0,9000000.0,1500000000.0,975000000.0,9.4465,14.5331,12,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
DUCC,DUCC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-01-01,HISTORICO,False,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,590406.25,280.0,14000000.0,1500000000.0,975000000.0,9.4465,14.5331,12,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
DUCC,DUCC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-01-01,HISTORICO,False,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,590406.25,280.0,7500000.0,1500000000.0,975000000.0,9.4465,14.5331,12,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
DUCC,DUCC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-01-01,HISTORICO,False,17712187.5,15055359.38,2656828.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,590406.25,280.0,18000000.0,1500000000.0,975000000.0,9.4465,14.5331,12,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
DUCC,DUCC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-02-01,HISTORICO,False,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,594342.29,295.1221,25250000.0,1510000000.0,981500000.0,9.4465,14.5331,12,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
DUCC,DUCC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-02-01,HISTORICO,False,17830268.75,15155728.44,2674540.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,594342.29,295.1221,35350000.0,1510000000.0,981500000.0,9.4465,14.5331,12,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
