Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,141697500.0,120442875.03999999,21254625.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,142642150.0,121245827.52,21396322.48,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,143586800.0,122048780.0,21538020.0,85.0,15.0,152.2,45453.46000000001,234.16000000000003,215.42,-18.73,18.73
2024-04-01,HISTORICO,144531450.0,122851732.48,21679717.52,85.0,15.0,151.93,43996.62,233.71,215.0,-18.69,18.69
2024-05-01,HISTORICO,145476100.0,123654684.96000001,21821415.039999995,85.0,15.0,158.20000000000002,44081.24,243.38,223.91,-19.47,19.47
2024-06-01,HISTORICO,146420750.0,124457637.52,21963112.48,85.0,15.0,166.05,46177.340000000004,255.45,235.01000000000002,-20.439999999999998,20.439999999999998
2024-07-01,HISTORICO,147365400.0,125260590.0,22104810.0,85.0,15.0,167.96999999999997,48846.8,258.41999999999996,237.75,-20.680000000000003,20.680000000000003
2024-08-01,HISTORICO,148310050.0,126063542.48,22246507.52,85.0,15.0,162.18,49847.47,249.53,229.55,-19.96,19.96
2024-09-01,HISTORICO,149254700.0,126866495.03999999,22388205.039999995,85.0,15.0,154.91000000000003,48772.810000000005,238.32999999999998,219.26,-19.07,19.07
2024-10-01,HISTORICO,150199350.0,127669447.52,22529902.479999997,85.0,15.0,152.66,47122.23,234.85000000000002,216.06,-18.79,18.79
2024-11-01,HISTORICO,151144000.0,128472400.0,22671600.0,85.0,15.0,157.15,46650.50000000001,241.79,222.43999999999997,-19.349999999999998,19.349999999999998
2024-12-01,HISTORICO,152088650.0,129275352.48,22813297.520000003,85.0,15.0,164.94,48244.94999999999,253.74999999999997,233.45000000000002,-20.3,20.3
2025-01-01,HISTORICO,153033300.0,130078304.96000001,22954995.039999995,85.0,15.0,168.91000000000003,51006.450000000004,259.88,239.10000000000002,-20.79,20.79
2025-02-01,HISTORICO,153977950.0,130881257.52,23096692.479999997,85.0,15.0,165.11,52641.600000000006,254.04,233.71,-20.33,20.33
2025-03-01,HISTORICO,154922600.0,131684210.0,23238390.0,85.0,15.0,157.81,52053.060000000005,242.78,223.35999999999999,-19.430000000000003,19.430000000000003
2025-04-01,HISTORICO,155867250.0,132487162.48,23380087.520000003,85.0,15.0,153.87,50356.659999999996,236.73,217.79,-18.949999999999996,18.949999999999996
2025-05-01,HISTORICO,156811900.0,133290115.03999999,23521785.039999995,85.0,15.0,156.46,49395.810000000005,240.73,221.47000000000003,-19.25,19.25
2025-06-01,HISTORICO,157756550.0,134093067.52,23663482.479999997,85.0,15.0,163.62,50411.81,251.74,231.60000000000002,-20.150000000000002,20.150000000000002
2025-07-01,HISTORICO,158701200.0,134896020.0,23805180.0,85.0,15.0,169.14000000000001,53061.62,260.2,239.39000000000001,-20.81,20.81
2025-08-01,HISTORICO,159645850.0,135698972.48,23946877.520000003,85.0,15.0,167.51000000000002,55236.55,257.71,237.09,-20.61,20.61
2025-09-01,HISTORICO,160590500.0,136501924.96,24088575.039999995,85.0,15.0,160.74,55245.030000000006,247.27999999999997,227.51999999999998,-19.790000000000003,19.790000000000003
2025-10-01,HISTORICO,161535150.0,137304877.52,24230272.479999997,85.0,15.0,155.52,53663.37,239.26,220.13,-19.15,19.15
2025-11-01,HISTORICO,162479800.0,138107830.0,24371970.0,85.0,15.0,156.22000000000003,52311.07000000001,240.34,221.09000000000003,-19.23,19.23
2025-12-01,HISTORICO,163424450.0,138910782.48,24513667.520000003,85.0,15.0,162.31000000000003,52718.03,249.71999999999997,229.72,-19.97,19.97
2026-01-01,HISTORICO,164369100.0,139713735.04,24655365.039999995,85.0,15.0,168.70999999999998,55071.65000000001,259.57,238.81000000000003,-20.77,20.77
2026-02-01,HISTORICO,165313750.0,140516687.52,24797062.479999997,85.0,15.0,169.25999999999996,57635.57,260.39,239.57,-20.84,20.84
2026-03-01,HISTORICO,166258400.0,141319640.0,24938760.0,85.0,15.0,163.57999999999998,58303.1,251.65999999999997,231.51999999999998,-20.14,20.14
2026-04-01,HISTORICO,167203050.0,142122592.48,25080457.520000003,85.0,15.0,157.51,56999.4,242.34,222.96,-19.38,19.38
2026-05-01,HISTORICO,168147700.0,142925544.96,25222155.039999995,85.0,15.0,156.41,55379.630000000005,240.63,221.39,-19.25,19.25
2026-06-01,HISTORICO,169092350.0,143728497.52,25363852.479999997,85.0,15.0,161.11,55190.22,247.88,228.05,-19.830000000000002,19.830000000000002
2026-07-01,HISTORICO,170037000.0,144531450.0,25505550.0,85.0,15.0,167.84,57098.04,258.23,237.56,-20.66,20.66
2026-08-01,HISTORICO,183014791.44000006,155562572.64000002,27452218.72,85.0,15.0,36269.770000000004,13196803.5,20210940.850000005,18594065.57,-1616875.28,1616875.28
2026-09-01,HISTORICO,269940892.48,229449758.63999993,40491133.919999994,85.0,15.0,294209.91,107786937.64,165732174.59,152473600.59999996,-13258573.979999999,13258573.979999999
2026-10-01,HISTORICO,274154643.92,233031447.35999995,41123196.56,85.0,15.0,304010.9,112841138.33999999,173509201.57999995,159628465.43,-13880736.140000002,13880736.140000002
2026-11-01,HISTORICO,272440323.35999995,231574274.88000005,40866048.480000004,85.0,15.0,296031.22,110502058.17,169913292.26999998,156320228.87,-13593063.409999998,13593063.409999998
2026-12-01,HISTORICO,279019545.92,237166614.0,41852931.919999994,85.0,15.0,312938.11,118704911.88,182534201.01,167931464.89000002,-14602736.110000003,14602736.110000003
2027-01-01,HISTORICO,278840300.32,237014255.27999997,41826045.120000005,85.0,15.0,309572.93999999994,119313558.39999998,183468503.48999998,168791023.20999998,-14677480.270000003,14677480.270000003
2027-02-01,HISTORICO,271539192.96,230808314.0,40730878.879999995,85.0,15.0,284839.72000000003,110251473.80999999,169522594.3,155960786.82,-13561807.570000002,13561807.570000002
