Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30136444.58,438706.71,191157607.93,124252445.15,362.8469,372900.7,65806.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.12013,477550.109198097,734692.4757159881,675917.077658709,-58775.39805727906,58775.39805727906,8.000000000000002
2026-08-28,28,2026-08-01,True,BOGOTA,41836158.96,438706.71,191157607.93,124252445.15,362.8469,372900.7,65806.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.12013,477550.109198097,734692.4757159881,675917.077658709,-58775.39805727906,58775.39805727906,8.000000000000002
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33861014.36,438706.71,191157607.93,124252445.15,362.8469,372900.7,65806.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.12013,477550.109198097,734692.4757159881,675917.077658709,-58775.39805727906,58775.39805727906,8.000000000000002
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26426469.56,438706.71,191157607.93,124252445.15,362.8469,372900.7,65806.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.12013,477550.109198097,734692.4757159881,675917.077658709,-58775.39805727906,58775.39805727906,8.000000000000002
2026-08-28,28,2026-08-01,True,VALLE,21829221.48,438706.71,191157607.93,124252445.15,362.8469,372900.7,65806.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.12013,477550.109198097,734692.4757159881,675917.077658709,-58775.39805727906,58775.39805727906,8.000000000000002
2026-08-28,28,2026-08-01,True,SANTANDER,17027683.18,438706.71,191157607.93,124252445.15,362.8469,372900.7,65806.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.12013,477550.109198097,734692.4757159881,675917.077658709,-58775.39805727906,58775.39805727906,8.000000000000002
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10965269.92,438706.71,191157607.93,124252445.15,362.8469,372900.7,65806.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.12013,477550.109198097,734692.4757159881,675917.077658709,-58775.39805727906,58775.39805727906,8.000000000000002
2026-08-28,28,2026-08-01,True,TOLIMA,9075345.89,438706.71,191157607.93,124252445.15,362.8469,372900.7,65806.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.12013,477550.109198097,734692.4757159881,675917.077658709,-58775.39805727906,58775.39805727906,8.000000000000002
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25573718.16,313512.64875,162022040.66,105314326.43,363.5664,266485.75,47026.9,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.53794625,341947.995181506,526073.8387357831,483987.9316369205,-42085.90709886263,42085.90709886263,7.999999999999997
2026-08-29,29,2026-08-01,True,BOGOTA,35621122.77,313512.64875,162022040.66,105314326.43,363.5664,266485.75,47026.9,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.53794625,341947.995181506,526073.8387357831,483987.9316369205,-42085.90709886263,42085.90709886263,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28778979.54,313512.64875,162022040.66,105314326.43,363.5664,266485.75,47026.9,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.53794625,341947.995181506,526073.8387357831,483987.9316369205,-42085.90709886263,42085.90709886263,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22418358.67,313512.64875,162022040.66,105314326.43,363.5664,266485.75,47026.9,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.53794625,341947.995181506,526073.8387357831,483987.9316369205,-42085.90709886263,42085.90709886263,7.999999999999997
2026-08-29,29,2026-08-01,True,VALLE,18548558.66,313512.64875,162022040.66,105314326.43,363.5664,266485.75,47026.9,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.53794625,341947.995181506,526073.8387357831,483987.9316369205,-42085.90709886263,42085.90709886263,7.999999999999997
2026-08-29,29,2026-08-01,True,SANTANDER,14190699.84,313512.64875,162022040.66,105314326.43,363.5664,266485.75,47026.9,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.53794625,341947.995181506,526073.8387357831,483987.9316369205,-42085.90709886263,42085.90709886263,7.999999999999997
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9213458.61,313512.64875,162022040.66,105314326.43,363.5664,266485.75,47026.9,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.53794625,341947.995181506,526073.8387357831,483987.9316369205,-42085.90709886263,42085.90709886263,7.999999999999997
2026-08-29,29,2026-08-01,True,TOLIMA,7677144.41,313512.64875,162022040.66,105314326.43,363.5664,266485.75,47026.9,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.53794625,341947.995181506,526073.8387357831,483987.9316369205,-42085.90709886263,42085.90709886263,7.999999999999997
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25862370.92,313645.15,162090517.04,105358836.08,364.2743,266598.38,47046.77,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.9354500000001,342758.602393935,527320.92673988,485135.2526006896,-42185.67413919041,42185.67413919041,8.000000000000002
2026-08-30,30,2026-08-01,True,BOGOTA,35434565.33,313645.15,162090517.04,105358836.08,364.2743,266598.38,47046.77,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.9354500000001,342758.602393935,527320.92673988,485135.2526006896,-42185.67413919041,42185.67413919041,8.000000000000002
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28768012.08,313645.15,162090517.04,105358836.08,364.2743,266598.38,47046.77,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.9354500000001,342758.602393935,527320.92673988,485135.2526006896,-42185.67413919041,42185.67413919041,8.000000000000002
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22641083.44,313645.15,162090517.04,105358836.08,364.2743,266598.38,47046.77,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.9354500000001,342758.602393935,527320.92673988,485135.2526006896,-42185.67413919041,42185.67413919041,8.000000000000002
2026-08-30,30,2026-08-01,True,VALLE,18339607.19,313645.15,162090517.04,105358836.08,364.2743,266598.38,47046.77,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.9354500000001,342758.602393935,527320.92673988,485135.2526006896,-42185.67413919041,42185.67413919041,8.000000000000002
2026-08-30,30,2026-08-01,True,SANTANDER,14251762.32,313645.15,162090517.04,105358836.08,364.2743,266598.38,47046.77,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.9354500000001,342758.602393935,527320.92673988,485135.2526006896,-42185.67413919041,42185.67413919041,8.000000000000002
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9115153.47,313645.15,162090517.04,105358836.08,364.2743,266598.38,47046.77,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.9354500000001,342758.602393935,527320.92673988,485135.2526006896,-42185.67413919041,42185.67413919041,8.000000000000002
2026-08-30,30,2026-08-01,True,TOLIMA,7677962.29,313645.15,162090517.04,105358836.08,364.2743,266598.38,47046.77,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.9354500000001,342758.602393935,527320.92673988,485135.2526006896,-42185.67413919041,42185.67413919041,8.000000000000002
2026-08-31,31,2026-08-01,True,ANTIOQUIA,29850838.83,438278.16625,190970878.38,124131070.95,364.9592,372536.44,65741.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.83449875,479860.946796201,738247.610437852,679187.8016028239,-59059.80883502809,59059.80883502809,7.99999999999999
2026-08-31,31,2026-08-01,True,BOGOTA,42106806.89,438278.16625,190970878.38,124131070.95,364.9592,372536.44,65741.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.83449875,479860.946796201,738247.610437852,679187.8016028239,-59059.80883502809,59059.80883502809,7.99999999999999
2026-08-31,31,2026-08-01,True,CARIBE_MAR,34062677.15,438278.16625,190970878.38,124131070.95,364.9592,372536.44,65741.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.83449875,479860.946796201,738247.610437852,679187.8016028239,-59059.80883502809,59059.80883502809,7.99999999999999
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26721796.37,438278.16625,190970878.38,124131070.95,364.9592,372536.44,65741.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.83449875,479860.946796201,738247.610437852,679187.8016028239,-59059.80883502809,59059.80883502809,7.99999999999999
2026-08-31,31,2026-08-01,True,VALLE,21510725.48,438278.16625,190970878.38,124131070.95,364.9592,372536.44,65741.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.83449875,479860.946796201,738247.610437852,679187.8016028239,-59059.80883502809,59059.80883502809,7.99999999999999
2026-08-31,31,2026-08-01,True,SANTANDER,16784795.62,438278.16625,190970878.38,124131070.95,364.9592,372536.44,65741.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.83449875,479860.946796201,738247.610437852,679187.8016028239,-59059.80883502809,59059.80883502809,7.99999999999999
2026-08-31,31,2026-08-01,True,CUNDINAMARCA,10913130.17,438278.16625,190970878.38,124131070.95,364.9592,372536.44,65741.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.83449875,479860.946796201,738247.610437852,679187.8016028239,-59059.80883502809,59059.80883502809,7.99999999999999
2026-08-31,31,2026-08-01,True,TOLIMA,9020107.87,438278.16625,190970878.38,124131070.95,364.9592,372536.44,65741.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.83449875,479860.946796201,738247.610437852,679187.8016028239,-59059.80883502809,59059.80883502809,7.99999999999999
2026-09-01,1,2026-09-01,True,ANTIOQUIA,30650144.98,441310.1375,192291998.7,124989799.16,365.6102,375113.62,66196.52,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.9304125,484042.46290020755,744680.7121243759,685106.2551544259,-59574.45696995,59574.45696995,7.99999999999999
2026-09-01,1,2026-09-01,True,BOGOTA,42686619.3,441310.1375,192291998.7,124989799.16,365.6102,375113.62,66196.52,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.9304125,484042.46290020755,744680.7121243759,685106.2551544259,-59574.45696995,59574.45696995,7.99999999999999
