Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,EFEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2432812.5,2067890.62,364921.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,EFEC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2432812.5,2067890.62,364921.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,EFEC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2432812.5,2067890.62,364921.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,EFEC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2432812.5,2067890.62,364921.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,EFEC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2432812.5,2067890.62,364921.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,EFEC,CNIOR,SANTANDER,ESSA - SANTANDER,2432812.5,2067890.62,364921.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,EFEC,CNIOR,TOLIMA,ELET - TOLIMA,2432812.5,2067890.62,364921.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,EFEC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2432812.5,2067890.62,364921.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,EFEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2449031.25,2081676.56,367354.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,EFEC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2449031.25,2081676.56,367354.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,EFEC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2449031.25,2081676.56,367354.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,EFEC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2449031.25,2081676.56,367354.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,EFEC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2449031.25,2081676.56,367354.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,EFEC,CNIOR,SANTANDER,ESSA - SANTANDER,2449031.25,2081676.56,367354.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,EFEC,CNIOR,TOLIMA,ELET - TOLIMA,2449031.25,2081676.56,367354.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,EFEC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2449031.25,2081676.56,367354.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,EFEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2465250.0,2095462.5,369787.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,1.9962,3.3,984.72,5.07,4.67,-0.41,0.41,8.0
2024-03-01,HISTORICO,EFEC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2465250.0,2095462.5,369787.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,1.9962,4.62,1378.61,7.1,6.53,-0.57,0.57,8.0
2024-03-01,HISTORICO,EFEC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2465250.0,2095462.5,369787.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,1.9962,3.69,1102.89,5.68,5.23,-0.45,0.45,8.0
2024-03-01,HISTORICO,EFEC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2465250.0,2095462.5,369787.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,1.9962,2.9,866.56,4.46,4.11,-0.36,0.36,8.0
2024-03-01,HISTORICO,EFEC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2465250.0,2095462.5,369787.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,9180000.0,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,1.9962,1.19,354.5,1.83,1.68,-0.15,0.15,8.0
2024-03-01,HISTORICO,EFEC,CNIOR,SANTANDER,ESSA - SANTANDER,2465250.0,2095462.5,369787.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,14280000.0,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,1.9962,1.85,551.44,2.84,2.61,-0.23,0.23,8.0
2024-03-01,HISTORICO,EFEC,CNIOR,TOLIMA,ELET - TOLIMA,2465250.0,2095462.5,369787.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,7650000.0,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,1.9962,0.99,295.42,1.52,1.4,-0.12,0.12,8.0
2024-03-01,HISTORICO,EFEC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2465250.0,2095462.5,369787.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,18360000.0,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,1.9962,2.37,709.0,3.65,3.36,-0.29,0.29,8.0
2024-04-01,HISTORICO,EFEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2481468.75,2109248.44,372220.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,25750000.0,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,1.9962,3.29,953.16,5.06,4.66,-0.41,0.41,8.0
