Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,19462500.0,16543124.960000005,2919375.0399999996,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,19592250.0,16653412.480000002,2938837.52,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,19722000.0,16763700.0,2958300.0,85.0,15.0,20.91,6243.140000000001,32.15,29.589999999999996,-2.58,2.58
2024-04-01,HISTORICO,19851750.0,16873987.52,2977762.48,85.0,15.0,20.87,6043.049999999999,32.11,29.54,-2.58,2.58
2024-05-01,HISTORICO,19981500.0,16984275.039999995,2997225.0399999996,85.0,15.0,21.740000000000002,6054.67,33.42999999999999,30.759999999999998,-2.67,2.67
2024-06-01,HISTORICO,20111250.0,17094562.48,3016687.52,85.0,15.0,22.81,6342.58,35.08,32.28,-2.81,2.81
2024-07-01,HISTORICO,20241000.0,17204850.0,3036150.0,85.0,15.0,23.07,6709.2300000000005,35.51,32.65,-2.83,2.83
2024-08-01,HISTORICO,20370750.0,17315137.52,3055612.48,85.0,15.0,22.27,6846.679999999999,34.28,31.519999999999996,-2.7399999999999998,2.7399999999999998
2024-09-01,HISTORICO,20500500.0,17425424.960000005,3075075.0399999996,85.0,15.0,21.29,6699.070000000001,32.730000000000004,30.119999999999997,-2.61,2.61
2024-10-01,HISTORICO,20630250.0,17535712.48,3094537.52,85.0,15.0,20.959999999999997,6472.3600000000015,32.260000000000005,29.67,-2.59,2.59
2024-11-01,HISTORICO,20760000.0,17646000.0,3114000.0,85.0,15.0,21.59,6407.570000000001,33.21,30.56,-2.6599999999999997,2.6599999999999997
2024-12-01,HISTORICO,20889750.0,17756287.52,3133462.48,85.0,15.0,22.64,6626.5599999999995,34.87,32.059999999999995,-2.8,2.8
2025-01-01,HISTORICO,21019500.0,17866575.039999995,3152925.0399999996,85.0,15.0,23.200000000000003,7005.87,35.69,32.83,-2.85,2.85
2025-02-01,HISTORICO,21149250.0,17976862.48,3172387.52,85.0,15.0,22.689999999999998,7230.450000000001,34.87,32.11,-2.8,2.8
2025-03-01,HISTORICO,21279000.0,18087150.0,3191850.0,85.0,15.0,21.680000000000003,7149.610000000001,33.35,30.669999999999998,-2.67,2.67
