Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30385296.73,439750.74,191612523.12,124548140.03,362.8469,373788.13,65962.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.25222,478686.57834511803,736440.8897498943,677525.6185699027,-58915.27117999154,58915.27117999154,8.0
2026-08-28,28,2026-08-01,True,BOGOTA,42552375.01,439750.74,191612523.12,124548140.03,362.8469,373788.13,65962.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.25222,478686.57834511803,736440.8897498943,677525.6185699027,-58915.27117999154,58915.27117999154,8.0
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33383547.03,439750.74,191612523.12,124548140.03,362.8469,373788.13,65962.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.25222,478686.57834511803,736440.8897498943,677525.6185699027,-58915.27117999154,58915.27117999154,8.0
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26536790.8,439750.74,191612523.12,124548140.03,362.8469,373788.13,65962.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.25222,478686.57834511803,736440.8897498943,677525.6185699027,-58915.27117999154,58915.27117999154,8.0
2026-08-28,28,2026-08-01,True,VALLE,21763260.78,439750.74,191612523.12,124548140.03,362.8469,373788.13,65962.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.25222,478686.57834511803,736440.8897498943,677525.6185699027,-58915.27117999154,58915.27117999154,8.0
2026-08-28,28,2026-08-01,True,SANTANDER,17045680.57,439750.74,191612523.12,124548140.03,362.8469,373788.13,65962.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.25222,478686.57834511803,736440.8897498943,677525.6185699027,-58915.27117999154,58915.27117999154,8.0
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10815875.4,439750.74,191612523.12,124548140.03,362.8469,373788.13,65962.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.25222,478686.57834511803,736440.8897498943,677525.6185699027,-58915.27117999154,58915.27117999154,8.0
2026-08-28,28,2026-08-01,True,TOLIMA,9129696.8,439750.74,191612523.12,124548140.03,362.8469,373788.13,65962.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.25222,478686.57834511803,736440.8897498943,677525.6185699027,-58915.27117999154,58915.27117999154,8.0
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25376387.75,313230.47625,161876214.89000002,105219539.68,363.5664,266245.9,46984.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.69142875,341640.229861494,525600.3536255747,483552.32533552876,-42048.02829004597,42048.02829004597,7.999999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35768322.59,313230.47625,161876214.89000002,105219539.68,363.5664,266245.9,46984.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.69142875,341640.229861494,525600.3536255747,483552.32533552876,-42048.02829004597,42048.02829004597,7.999999999999999
