Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,112117500.0,95299875.03999999,16817625.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,112864950.0,95935207.52,16929742.48,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,113612400.0,96570540.0,17041860.0,85.0,15.0,120.44,35964.86,185.28,170.46999999999997,-14.82,14.82
2024-04-01,HISTORICO,114359850.0,97205872.48,17153977.52,85.0,15.0,120.2,34812.13,184.92000000000002,170.12,-14.789999999999997,14.789999999999997
2024-05-01,HISTORICO,115107300.0,97841204.96000001,17266095.039999995,85.0,15.0,125.17,34879.08,192.56,177.16,-15.4,15.4
2024-06-01,HISTORICO,115854750.0,98476537.52,17378212.48,85.0,15.0,131.37999999999997,36537.61,202.10999999999999,185.95000000000005,-16.18,16.18
2024-07-01,HISTORICO,116602200.0,99111870.0,17490330.0,85.0,15.0,132.91,38649.82,204.47,188.11,-16.349999999999998,16.349999999999998
2024-08-01,HISTORICO,117349650.0,99747202.48,17602447.52,85.0,15.0,128.32,39441.59,197.43,181.63,-15.8,15.8
2024-09-01,HISTORICO,118097100.0,100382535.03999999,17714565.039999995,85.0,15.0,122.57,38591.25,188.57,173.48,-15.079999999999998,15.079999999999998
2024-10-01,HISTORICO,118844550.0,101017867.52,17826682.48,85.0,15.0,120.8,37285.25,185.81,170.97000000000003,-14.85,14.85
2024-11-01,HISTORICO,119592000.0,101653200.0,17938800.0,85.0,15.0,124.34,36911.98,191.3,176.00000000000006,-15.29,15.29
2024-12-01,HISTORICO,120339450.0,102288532.48,18050917.52,85.0,15.0,130.51,38173.59,200.78,184.73,-16.06,16.06
2025-01-01,HISTORICO,121086900.0,102923864.96000001,18163035.039999995,85.0,15.0,133.65,40358.619999999995,205.63,189.17,-16.439999999999998,16.439999999999998
2025-02-01,HISTORICO,121834350.0,103559197.52,18275152.48,85.0,15.0,130.65,41652.43,201.0,184.92000000000002,-16.08,16.08
2025-03-01,HISTORICO,122581800.0,104194530.0,18387270.0,85.0,15.0,124.86000000000001,41186.740000000005,192.1,176.70999999999998,-15.359999999999998,15.359999999999998
2025-04-01,HISTORICO,123329250.0,104829862.48,18499387.52,85.0,15.0,121.75,39844.44999999999,187.31000000000003,172.32,-14.98,14.98
2025-05-01,HISTORICO,124076700.0,105465195.03999999,18611505.039999995,85.0,15.0,123.81000000000002,39084.200000000004,190.46999999999997,175.23999999999998,-15.24,15.24
2025-06-01,HISTORICO,124824150.0,106100527.52,18723622.48,85.0,15.0,129.47,39888.10999999999,199.20000000000002,183.26,-15.93,15.93
2025-07-01,HISTORICO,125571600.0,106735860.0,18835740.0,85.0,15.0,133.82,41984.770000000004,205.88,189.41999999999996,-16.48,16.48
2025-08-01,HISTORICO,126319050.0,107371192.48,18947857.52,85.0,15.0,132.55,43705.66,203.91000000000003,187.6,-16.3,16.3
2025-09-01,HISTORICO,127066500.0,108006524.96000001,19059975.039999995,85.0,15.0,127.16999999999999,43712.38,195.66999999999996,180.01000000000002,-15.66,15.66
2025-10-01,HISTORICO,127813950.0,108641857.52,19172092.48,85.0,15.0,123.04999999999998,42460.9,189.32,174.17,-15.15,15.15
2025-11-01,HISTORICO,128561400.0,109277190.0,19284210.0,85.0,15.0,123.61999999999998,41390.880000000005,190.16000000000003,174.94,-15.209999999999999,15.209999999999999
