Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,29760626.29,436745.45375,190303030.13,123696969.58,362.8469,371233.64,65511.82,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.23636125,475415.20194684266,731408.0030217506,672895.3627800106,-58512.64024174004,58512.64024174004,7.999999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,41789328.81,436745.45375,190303030.13,123696969.58,362.8469,371233.64,65511.82,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.23636125,475415.20194684266,731408.0030217506,672895.3627800106,-58512.64024174004,58512.64024174004,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33849732.72,436745.45375,190303030.13,123696969.58,362.8469,371233.64,65511.82,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.23636125,475415.20194684266,731408.0030217506,672895.3627800106,-58512.64024174004,58512.64024174004,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26487589.16,436745.45375,190303030.13,123696969.58,362.8469,371233.64,65511.82,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.23636125,475415.20194684266,731408.0030217506,672895.3627800106,-58512.64024174004,58512.64024174004,7.999999999999999
2026-08-28,28,2026-08-01,True,VALLE,21523620.28,436745.45375,190303030.13,123696969.58,362.8469,371233.64,65511.82,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.23636125,475415.20194684266,731408.0030217506,672895.3627800106,-58512.64024174004,58512.64024174004,7.999999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16927205.84,436745.45375,190303030.13,123696969.58,362.8469,371233.64,65511.82,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.23636125,475415.20194684266,731408.0030217506,672895.3627800106,-58512.64024174004,58512.64024174004,7.999999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10784408.3,436745.45375,190303030.13,123696969.58,362.8469,371233.64,65511.82,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.23636125,475415.20194684266,731408.0030217506,672895.3627800106,-58512.64024174004,58512.64024174004,7.999999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9180518.73,436745.45375,190303030.13,123696969.58,362.8469,371233.64,65511.82,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.23636125,475415.20194684266,731408.0030217506,672895.3627800106,-58512.64024174004,58512.64024174004,7.999999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25474258.15,311998.74125,161239659.77,104805778.85,363.5664,265198.93,46799.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9962237500001,340296.777482382,523533.50382154697,481650.8235158232,-41882.68030572374,41882.68030572374,7.999999999999997
2026-08-29,29,2026-08-01,True,BOGOTA,35541572.06,311998.74125,161239659.77,104805778.85,363.5664,265198.93,46799.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9962237500001,340296.777482382,523533.50382154697,481650.8235158232,-41882.68030572374,41882.68030572374,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28319905.42,311998.74125,161239659.77,104805778.85,363.5664,265198.93,46799.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9962237500001,340296.777482382,523533.50382154697,481650.8235158232,-41882.68030572374,41882.68030572374,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22242041.87,311998.74125,161239659.77,104805778.85,363.5664,265198.93,46799.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9962237500001,340296.777482382,523533.50382154697,481650.8235158232,-41882.68030572374,41882.68030572374,7.999999999999997
2026-08-29,29,2026-08-01,True,VALLE,18351646.57,311998.74125,161239659.77,104805778.85,363.5664,265198.93,46799.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9962237500001,340296.777482382,523533.50382154697,481650.8235158232,-41882.68030572374,41882.68030572374,7.999999999999997
2026-08-29,29,2026-08-01,True,SANTANDER,14411191.83,311998.74125,161239659.77,104805778.85,363.5664,265198.93,46799.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9962237500001,340296.777482382,523533.50382154697,481650.8235158232,-41882.68030572374,41882.68030572374,7.999999999999997
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9212083.66,311998.74125,161239659.77,104805778.85,363.5664,265198.93,46799.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9962237500001,340296.777482382,523533.50382154697,481650.8235158232,-41882.68030572374,41882.68030572374,7.999999999999997
2026-08-29,29,2026-08-01,True,TOLIMA,7686960.21,311998.74125,161239659.77,104805778.85,363.5664,265198.93,46799.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9962237500001,340296.777482382,523533.50382154697,481650.8235158232,-41882.68030572374,41882.68030572374,7.999999999999997
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25285253.2,312359.9525,161426331.73999998,104927115.63,364.2743,265505.96,46853.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.0798575000001,341354.10913491226,525160.1679048699,483147.3544724803,-42012.81343238958,42012.81343238958,7.999999999999997
2026-08-30,30,2026-08-01,True,BOGOTA,35484206.46,312359.9525,161426331.73999998,104927115.63,364.2743,265505.96,46853.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.0798575000001,341354.10913491226,525160.1679048699,483147.3544724803,-42012.81343238958,42012.81343238958,7.999999999999997
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28291917.63,312359.9525,161426331.73999998,104927115.63,364.2743,265505.96,46853.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.0798575000001,341354.10913491226,525160.1679048699,483147.3544724803,-42012.81343238958,42012.81343238958,7.999999999999997
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22222955.94,312359.9525,161426331.73999998,104927115.63,364.2743,265505.96,46853.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.0798575000001,341354.10913491226,525160.1679048699,483147.3544724803,-42012.81343238958,42012.81343238958,7.999999999999997
2026-08-30,30,2026-08-01,True,VALLE,18651539.92,312359.9525,161426331.73999998,104927115.63,364.2743,265505.96,46853.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.0798575000001,341354.10913491226,525160.1679048699,483147.3544724803,-42012.81343238958,42012.81343238958,7.999999999999997
