Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,213037500.0,181081875.04,31955625.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,214457750.0,182289087.52,32168662.479999997,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,215878000.0,183496300.0,32381700.0,85.0,15.0,228.82000000000005,68337.78,352.05000000000007,323.9,-28.169999999999998,28.169999999999998
2024-04-01,HISTORICO,217298250.0,184703512.48,32594737.520000003,85.0,15.0,228.39,66147.47,351.37,323.27000000000004,-28.110000000000003,28.110000000000003
2024-05-01,HISTORICO,218718500.0,185910724.96,32807775.039999995,85.0,15.0,237.83999999999997,66274.69,365.90999999999997,336.65000000000003,-29.27,29.27
2024-06-01,HISTORICO,220138750.0,187117937.52,33020812.479999997,85.0,15.0,249.62,69426.1,384.05,353.31999999999994,-30.71,30.71
2024-07-01,HISTORICO,221559000.0,188325150.0,33233850.0,85.0,15.0,252.53,73439.57,388.51,357.43000000000006,-31.07,31.07
2024-08-01,HISTORICO,222979250.0,189532362.48,33446887.520000003,85.0,15.0,243.83999999999997,74944.04000000001,375.13,345.12,-30.009999999999994,30.009999999999994
2024-09-01,HISTORICO,224399500.0,190739575.04,33659925.04,85.0,15.0,232.89999999999998,73328.29999999999,358.31999999999994,329.67,-28.67,28.67
2024-10-01,HISTORICO,225819750.0,191946787.52,33872962.48,85.0,15.0,229.51,70846.7,353.09999999999997,324.85,-28.26,28.26
2024-11-01,HISTORICO,227240000.0,193154000.0,34086000.0,85.0,15.0,236.29000000000002,70137.47,363.52,334.43000000000006,-29.089999999999996,29.089999999999996
2024-12-01,HISTORICO,228660250.0,194361212.48,34299037.52,85.0,15.0,247.97000000000003,72534.71,381.52000000000004,350.99,-30.52,30.52
