Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,29724379.54,436895.61,190368457.76999998,123739497.55,362.8469,371361.27,65534.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.6868299999999,475578.65313632693,731659.4663665364,673126.7090572135,-58532.757309322944,58532.757309322944,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,42343063.17,436895.61,190368457.76999998,123739497.55,362.8469,371361.27,65534.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.6868299999999,475578.65313632693,731659.4663665364,673126.7090572135,-58532.757309322944,58532.757309322944,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33372789.7,436895.61,190368457.76999998,123739497.55,362.8469,371361.27,65534.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.6868299999999,475578.65313632693,731659.4663665364,673126.7090572135,-58532.757309322944,58532.757309322944,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26197063.94,436895.61,190368457.76999998,123739497.55,362.8469,371361.27,65534.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.6868299999999,475578.65313632693,731659.4663665364,673126.7090572135,-58532.757309322944,58532.757309322944,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,21980164.12,436895.61,190368457.76999998,123739497.55,362.8469,371361.27,65534.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.6868299999999,475578.65313632693,731659.4663665364,673126.7090572135,-58532.757309322944,58532.757309322944,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,16957588.03,436895.61,190368457.76999998,123739497.55,362.8469,371361.27,65534.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.6868299999999,475578.65313632693,731659.4663665364,673126.7090572135,-58532.757309322944,58532.757309322944,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10784846.17,436895.61,190368457.76999998,123739497.55,362.8469,371361.27,65534.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.6868299999999,475578.65313632693,731659.4663665364,673126.7090572135,-58532.757309322944,58532.757309322944,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,9008563.1,436895.61,190368457.76999998,123739497.55,362.8469,371361.27,65534.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.6868299999999,475578.65313632693,731659.4663665364,673126.7090572135,-58532.757309322944,58532.757309322944,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25620346.49,312385.7525,161439665.64000002,104935782.67,363.5664,265527.89,46857.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.1572575,340718.89034314797,524182.90820024663,482248.2755442269,-41934.632656019705,41934.632656019705,7.999999999999995
2026-08-29,29,2026-08-01,True,BOGOTA,35574481.21,312385.7525,161439665.64000002,104935782.67,363.5664,265527.89,46857.86,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.1572575,340718.89034314797,524182.90820024663,482248.2755442269,-41934.632656019705,41934.632656019705,7.999999999999995
