Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,14025000.0,11921250.0,2103750.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,14118500.0,12000724.96,2117775.0399999996,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,14212000.0,12080200.0,2131800.0,85.0,15.0,15.07,4498.91,23.19,21.32,-1.86,1.86
2024-04-01,HISTORICO,14305500.0,12159675.04,2145825.0399999996,85.0,15.0,15.04,4354.71,23.129999999999995,21.29,-1.86,1.86
2024-05-01,HISTORICO,14399000.0,12239150.0,2159850.0,85.0,15.0,15.66,4363.1,24.1,22.180000000000003,-1.9300000000000002,1.9300000000000002
2024-06-01,HISTORICO,14492500.0,12318624.96,2173875.0399999996,85.0,15.0,16.429999999999996,4570.5599999999995,25.29,23.26,-2.0300000000000002,2.0300000000000002
2024-07-01,HISTORICO,14586000.0,12398100.0,2187900.0,85.0,15.0,16.630000000000003,4834.780000000001,25.57,23.54,-2.04,2.04
2024-08-01,HISTORICO,14679500.0,12477575.04,2201925.0399999996,85.0,15.0,16.05,4933.83,24.69,22.72,-1.9600000000000002,1.9600000000000002
2024-09-01,HISTORICO,14773000.0,12557050.0,2215950.0,85.0,15.0,15.339999999999998,4827.459999999999,23.59,21.690000000000005,-1.8900000000000001,1.8900000000000001
2024-10-01,HISTORICO,14866500.0,12636524.96,2229975.0399999996,85.0,15.0,15.110000000000001,4664.09,23.250000000000004,21.380000000000003,-1.86,1.86
2024-11-01,HISTORICO,14960000.0,12716000.0,2244000.0,85.0,15.0,15.550000000000002,4617.4,23.919999999999998,22.01,-1.9200000000000002,1.9200000000000002
2024-12-01,HISTORICO,15053500.0,12795475.04,2258025.0399999996,85.0,15.0,16.33,4775.2300000000005,25.13,23.09,-2.0100000000000002,2.0100000000000002
2025-01-01,HISTORICO,15147000.0,12874950.0,2272050.0,85.0,15.0,16.72,5048.550000000001,25.72,23.660000000000004,-2.0500000000000003,2.0500000000000003
2025-02-01,HISTORICO,15240500.0,12954424.96,2286075.0399999996,85.0,15.0,16.349999999999998,5210.400000000001,25.150000000000002,23.129999999999995,-2.0200000000000005,2.0200000000000005
2025-03-01,HISTORICO,15334000.0,13033900.0,2300100.0,85.0,15.0,15.62,5152.13,24.03,22.120000000000005,-1.9200000000000002,1.9200000000000002
2025-04-01,HISTORICO,15427500.0,13113375.04,2314125.0399999996,85.0,15.0,15.219999999999999,4984.24,23.430000000000003,21.549999999999997,-1.8800000000000001,1.8800000000000001
2025-05-01,HISTORICO,15521000.0,13192850.0,2328150.0,85.0,15.0,15.49,4889.130000000001,23.830000000000002,21.92,-1.9100000000000001,1.9100000000000001
2025-06-01,HISTORICO,15614500.0,13272324.96,2342175.0399999996,85.0,15.0,16.2,4989.68,24.909999999999997,22.910000000000004,-1.9900000000000002,1.9900000000000002
2025-07-01,HISTORICO,15708000.0,13351800.0,2356200.0,85.0,15.0,16.74,5251.969999999999,25.740000000000002,23.700000000000003,-2.0500000000000003,2.0500000000000003
2025-08-01,HISTORICO,15801500.0,13431275.039999995,2370225.0399999996,85.0,15.0,16.57,5467.22,25.509999999999998,23.47,-2.04,2.04
2025-09-01,HISTORICO,15895000.0,13510750.0,2384250.0,85.0,15.0,15.91,5468.0599999999995,24.470000000000002,22.529999999999998,-1.95,1.95
2025-10-01,HISTORICO,15988500.0,13590224.960000005,2398275.0399999996,85.0,15.0,15.4,5311.5199999999995,23.680000000000003,21.78,-1.9000000000000001,1.9000000000000001
2025-11-01,HISTORICO,16082000.0,13669700.0,2412300.0,85.0,15.0,15.47,5177.67,23.78,21.89,-1.9100000000000001,1.9100000000000001
2025-12-01,HISTORICO,16175500.0,13749175.039999995,2426325.0399999996,85.0,15.0,16.06,5217.95,24.719999999999995,22.749999999999993,-1.9600000000000002,1.9600000000000002
2026-01-01,HISTORICO,16269000.0,13828650.0,2440350.0,85.0,15.0,16.709999999999997,5450.910000000001,25.699999999999996,23.64,-2.0500000000000003,2.0500000000000003
