Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30050483.73,441764.79375,192490106.34,125118569.12,362.8469,375500.07,66264.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.29438125,480878.95782398066,739813.7812735754,680628.6787716894,-59185.102501885965,59185.102501885965,7.999999999999992
2026-08-28,28,2026-08-01,True,BOGOTA,42542544.74,441764.79375,192490106.34,125118569.12,362.8469,375500.07,66264.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.29438125,480878.95782398066,739813.7812735754,680628.6787716894,-59185.102501885965,59185.102501885965,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34244103.19,441764.79375,192490106.34,125118569.12,362.8469,375500.07,66264.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.29438125,480878.95782398066,739813.7812735754,680628.6787716894,-59185.102501885965,59185.102501885965,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26668076.68,441764.79375,192490106.34,125118569.12,362.8469,375500.07,66264.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.29438125,480878.95782398066,739813.7812735754,680628.6787716894,-59185.102501885965,59185.102501885965,7.999999999999992
2026-08-28,28,2026-08-01,True,VALLE,21916884.4,441764.79375,192490106.34,125118569.12,362.8469,375500.07,66264.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.29438125,480878.95782398066,739813.7812735754,680628.6787716894,-59185.102501885965,59185.102501885965,7.999999999999992
2026-08-28,28,2026-08-01,True,SANTANDER,17007402.19,441764.79375,192490106.34,125118569.12,362.8469,375500.07,66264.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.29438125,480878.95782398066,739813.7812735754,680628.6787716894,-59185.102501885965,59185.102501885965,7.999999999999992
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10915575.44,441764.79375,192490106.34,125118569.12,362.8469,375500.07,66264.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.29438125,480878.95782398066,739813.7812735754,680628.6787716894,-59185.102501885965,59185.102501885965,7.999999999999992
2026-08-28,28,2026-08-01,True,TOLIMA,9145035.97,441764.79375,192490106.34,125118569.12,362.8469,375500.07,66264.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.29438125,480878.95782398066,739813.7812735754,680628.6787716894,-59185.102501885965,59185.102501885965,7.999999999999992
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25340603.37,311115.225,160783062.29999998,104508990.49,363.5664,264447.94,46667.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.3456749999999,339333.12701531994,522050.9646639302,480286.8874908158,-41764.077173114405,41764.077173114405,7.999999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35513733.79,311115.225,160783062.29999998,104508990.49,363.5664,264447.94,46667.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),933.3456749999999,339333.12701531994,522050.9646639302,480286.8874908158,-41764.077173114405,41764.077173114405,7.999999999999999
