Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,148875000.0,126543750.0,22331250.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,149867500.0,127387375.03999999,22480125.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,150860000.0,128231000.0,22629000.0,85.0,15.0,159.91,47755.85,246.01999999999998,226.32999999999998,-19.689999999999998,19.689999999999998
2024-04-01,HISTORICO,151852500.0,129074624.96000001,22777875.039999995,85.0,15.0,159.6,46225.21000000001,245.54999999999995,225.91,-19.66,19.66
2024-05-01,HISTORICO,152845000.0,129918250.0,22926750.0,85.0,15.0,166.21,46314.119999999995,255.71,235.26,-20.459999999999997,20.459999999999997
2024-06-01,HISTORICO,153837500.0,130761875.03999999,23075625.039999995,85.0,15.0,174.45000000000002,48516.40000000001,268.38,246.90000000000003,-21.48,21.48
2024-07-01,HISTORICO,154830000.0,131605500.0,23224500.0,85.0,15.0,176.49,51321.07,271.49,249.79000000000002,-21.729999999999997,21.729999999999997
2024-08-01,HISTORICO,155822500.0,132449124.96000001,23373375.039999995,85.0,15.0,170.40000000000003,52372.44,262.15999999999997,241.18,-20.959999999999997,20.959999999999997
2024-09-01,HISTORICO,156815000.0,133292750.0,23522250.0,85.0,15.0,162.74999999999997,51243.32000000001,250.40999999999997,230.38000000000002,-20.03,20.03
2024-10-01,HISTORICO,157807500.0,134136375.03999999,23671125.039999995,85.0,15.0,160.39000000000001,49509.13,246.76000000000002,227.01000000000002,-19.729999999999997,19.729999999999997
2024-11-01,HISTORICO,158800000.0,134980000.0,23820000.0,85.0,15.0,165.11,49013.509999999995,254.02999999999997,233.71,-20.33,20.33
2024-12-01,HISTORICO,159792500.0,135823624.96,23968875.039999995,85.0,15.0,173.29,50688.74999999999,266.62,245.30000000000007,-21.32,21.32
2025-01-01,HISTORICO,160785000.0,136667250.0,24117750.0,85.0,15.0,177.48000000000002,53590.11000000001,273.05,251.21,-21.84,21.84
2025-02-01,HISTORICO,161777500.0,137510875.04,24266625.039999995,85.0,15.0,173.48,55308.08,266.92,245.54999999999995,-21.35,21.35
2025-03-01,HISTORICO,162770000.0,138354500.0,24415500.0,85.0,15.0,165.79000000000002,54689.72999999999,255.07,234.65999999999997,-20.41,20.41
2025-04-01,HISTORICO,163762500.0,139198124.96,24564375.039999995,85.0,15.0,161.67000000000002,52907.39,248.72000000000003,228.82000000000005,-19.9,19.9
2025-05-01,HISTORICO,164755000.0,140041750.0,24713250.0,85.0,15.0,164.39,51897.89,252.92000000000004,232.69000000000003,-20.240000000000002,20.240000000000002
2025-06-01,HISTORICO,165747500.0,140885375.04,24862125.039999995,85.0,15.0,171.92,52965.35999999999,264.5,243.32999999999998,-21.159999999999997,21.159999999999997
2025-07-01,HISTORICO,166740000.0,141729000.0,25011000.0,85.0,15.0,177.7,55749.390000000014,273.39000000000004,251.51000000000002,-21.86,21.86
2025-08-01,HISTORICO,167732500.0,142572624.96,25159875.039999995,85.0,15.0,176.00000000000006,58034.47,270.76,249.10999999999996,-21.66,21.66
2025-09-01,HISTORICO,168725000.0,143416250.0,25308750.0,85.0,15.0,168.88,58043.39000000001,259.81,239.03,-20.79,20.79
2025-10-01,HISTORICO,169717500.0,144259875.04,25457625.039999995,85.0,15.0,163.4,56381.62,251.38,231.26999999999998,-20.1,20.1
2025-11-01,HISTORICO,170710000.0,145103500.0,25606500.0,85.0,15.0,164.13,54960.810000000005,252.52,232.3,-20.2,20.2
2025-12-01,HISTORICO,171702500.0,145947124.96,25755375.039999995,85.0,15.0,170.53,55388.39,262.34,241.36999999999998,-20.969999999999995,20.969999999999995
2026-01-01,HISTORICO,172695000.0,146790750.0,25904250.0,85.0,15.0,177.26,57861.23,272.71000000000004,250.88,-21.82,21.82
2026-02-01,HISTORICO,173687500.0,147634375.04,26053125.039999995,85.0,15.0,177.84,60555.03,273.59,251.69,-21.89,21.89
2026-03-01,HISTORICO,174680000.0,148478000.0,26202000.0,85.0,15.0,171.86,61256.38999999999,264.39,243.24,-21.159999999999997,21.159999999999997
2026-04-01,HISTORICO,175672500.0,149321624.96,26350875.039999995,85.0,15.0,165.51000000000002,59886.63,254.63,234.24,-20.37,20.37
2026-05-01,HISTORICO,176665000.0,150165250.0,26499750.0,85.0,15.0,164.34,58184.79,252.82,232.58999999999997,-20.240000000000002,20.240000000000002
2026-06-01,HISTORICO,177657500.0,151008875.04,26648625.039999995,85.0,15.0,169.26999999999998,57985.82,260.44,239.59999999999997,-20.84,20.84
2026-07-01,HISTORICO,178650000.0,151852500.0,26797500.0,85.0,15.0,176.35000000000002,59990.29000000001,271.31,249.60999999999999,-21.690000000000005,21.690000000000005
2026-08-01,HISTORICO,191684865.03999996,162932135.28,28752729.840000004,85.0,15.0,36306.08,13209938.880000003,20226497.34,18608377.539999995,-1618119.78,1618119.78
2026-09-01,HISTORICO,278647365.76,236850260.88000005,41797104.879999995,85.0,15.0,294211.69,107788124.63999999,165729245.29,152470905.63999996,-13258339.649999999,13258339.649999999
