Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30590079.1,439689.36,191585777.69000006,124530755.5,362.8469,373735.96,65953.4,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.06808,478619.763716952,736338.0980172108,677431.050175834,-58907.04784137686,58907.04784137686,7.999999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,42726346.83,439689.36,191585777.69000006,124530755.5,362.8469,373735.96,65953.4,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.06808,478619.763716952,736338.0980172108,677431.050175834,-58907.04784137686,58907.04784137686,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33618311.18,439689.36,191585777.69000006,124530755.5,362.8469,373735.96,65953.4,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.06808,478619.763716952,736338.0980172108,677431.050175834,-58907.04784137686,58907.04784137686,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26317248.97,439689.36,191585777.69000006,124530755.5,362.8469,373735.96,65953.4,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.06808,478619.763716952,736338.0980172108,677431.050175834,-58907.04784137686,58907.04784137686,7.999999999999999
2026-08-28,28,2026-08-01,True,VALLE,21664119.08,439689.36,191585777.69000006,124530755.5,362.8469,373735.96,65953.4,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.06808,478619.763716952,736338.0980172108,677431.050175834,-58907.04784137686,58907.04784137686,7.999999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16962625.61,439689.36,191585777.69000006,124530755.5,362.8469,373735.96,65953.4,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.06808,478619.763716952,736338.0980172108,677431.050175834,-58907.04784137686,58907.04784137686,7.999999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10763700.58,439689.36,191585777.69000006,124530755.5,362.8469,373735.96,65953.4,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.06808,478619.763716952,736338.0980172108,677431.050175834,-58907.04784137686,58907.04784137686,7.999999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,8943346.34,439689.36,191585777.69000006,124530755.5,362.8469,373735.96,65953.4,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.06808,478619.763716952,736338.0980172108,677431.050175834,-58907.04784137686,58907.04784137686,7.999999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25368521.97,311931.395,161204855.33,104783155.96,363.5664,265141.69,46789.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7941850000001,340223.322981384,523420.4969169157,481546.85716356244,-41873.63975335326,41873.63975335326,8.0
2026-08-29,29,2026-08-01,True,BOGOTA,35863836.82,311931.395,161204855.33,104783155.96,363.5664,265141.69,46789.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7941850000001,340223.322981384,523420.4969169157,481546.85716356244,-41873.63975335326,41873.63975335326,8.0
