Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,66225000.0,56291250.0,9933750.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,66666500.0,56666524.95999999,9999975.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,67108000.0,57041800.0,10066200.0,85.0,15.0,71.14,21243.519999999997,109.44,100.67000000000002,-8.75,8.75
2024-04-01,HISTORICO,67549500.0,57417075.04000001,10132425.04,85.0,15.0,70.99000000000001,20562.66,109.23000000000002,100.49999999999999,-8.73,8.73
2024-05-01,HISTORICO,67991000.0,57792350.0,10198650.0,85.0,15.0,73.94,20602.2,113.74999999999999,104.64999999999999,-9.1,9.1
2024-06-01,HISTORICO,68432500.0,58167624.95999999,10264875.04,85.0,15.0,77.6,21581.86,119.39,109.83,-9.55,9.55
2024-07-01,HISTORICO,68874000.0,58542900.0,10331100.0,85.0,15.0,78.50999999999999,22829.469999999998,120.78,111.12000000000002,-9.66,9.66
2024-08-01,HISTORICO,69315500.0,58918175.04000001,10397325.04,85.0,15.0,75.81,23297.16,116.61,107.28,-9.32,9.32
2024-09-01,HISTORICO,69757000.0,59293450.0,10463550.0,85.0,15.0,72.41,22794.889999999996,111.39,102.47,-8.92,8.92
2024-10-01,HISTORICO,70198500.0,59668724.95999999,10529775.04,85.0,15.0,71.33,22023.45,109.77,100.99000000000001,-8.8,8.8
2024-11-01,HISTORICO,70640000.0,60044000.0,10596000.0,85.0,15.0,73.47,21802.99,112.99,103.97000000000001,-9.049999999999999,9.049999999999999
2024-12-01,HISTORICO,71081500.0,60419275.04000001,10662225.04,85.0,15.0,77.09,22548.21,118.60000000000001,109.1,-9.51,9.51
2025-01-01,HISTORICO,71523000.0,60794550.0,10728450.0,85.0,15.0,78.94999999999999,23838.84,121.47,111.76,-9.72,9.72
2025-02-01,HISTORICO,71964500.0,61169824.95999999,10794675.04,85.0,15.0,77.16000000000001,24603.050000000003,118.73,109.23000000000002,-9.51,9.51
2025-03-01,HISTORICO,72406000.0,61545100.0,10860900.0,85.0,15.0,73.75999999999999,24327.98,113.47,104.38999999999999,-9.069999999999999,9.069999999999999
2025-04-01,HISTORICO,72847500.0,61920375.04000001,10927125.04,85.0,15.0,71.9,23535.140000000007,110.63999999999999,101.79999999999998,-8.850000000000001,8.850000000000001
2025-05-01,HISTORICO,73289000.0,62295650.0,10993350.0,85.0,15.0,73.13,23086.050000000003,112.52000000000001,103.52,-9.01,9.01
2025-06-01,HISTORICO,73730500.0,62670924.95999999,11059575.04,85.0,15.0,76.49000000000001,23560.899999999998,117.64999999999999,108.23000000000002,-9.41,9.41
2025-07-01,HISTORICO,74172000.0,63046200.0,11125800.0,85.0,15.0,79.04,24799.36,121.6,111.88,-9.72,9.72
2025-08-01,HISTORICO,74613500.0,63421475.04000001,11192025.04,85.0,15.0,78.3,25815.84,120.46000000000001,110.81,-9.64,9.64
2025-09-01,HISTORICO,75055000.0,63796750.0,11258250.0,85.0,15.0,75.13,25819.8,115.58000000000001,106.33000000000001,-9.250000000000002,9.250000000000002
2025-10-01,HISTORICO,75496500.0,64172024.95999999,11324475.04,85.0,15.0,72.68,25080.59,111.82,102.88000000000002,-8.95,8.95
2025-11-01,HISTORICO,75938000.0,64547300.0,11390700.0,85.0,15.0,73.00999999999999,24448.559999999998,112.32000000000001,103.35000000000001,-8.99,8.99
2025-12-01,HISTORICO,76379500.0,64922575.04000001,11456925.04,85.0,15.0,75.85000000000001,24638.76,116.71,107.36,-9.33,9.33
2026-01-01,HISTORICO,76821000.0,65297850.0,11523150.0,85.0,15.0,78.84,25738.77,121.32,111.61,-9.700000000000001,9.700000000000001
2026-02-01,HISTORICO,77262500.0,65673124.95999999,11589375.04,85.0,15.0,79.10000000000001,26937.069999999996,121.69999999999999,111.96999999999998,-9.74,9.74
2026-03-01,HISTORICO,77704000.0,66048400.0,11655600.0,85.0,15.0,76.44999999999999,27249.06,117.62000000000002,108.20000000000002,-9.41,9.41
2026-04-01,HISTORICO,78145500.0,66423675.04000001,11721825.04,85.0,15.0,73.62,26639.739999999998,113.25999999999999,104.2,-9.059999999999999,9.059999999999999
2026-05-01,HISTORICO,78587000.0,66798950.0,11788050.0,85.0,15.0,73.1,25882.710000000003,112.46,103.48,-9.0,9.0
2026-06-01,HISTORICO,79028500.0,67174224.96,11854275.04,85.0,15.0,75.3,25794.190000000002,115.85,106.57,-9.280000000000001,9.280000000000001
2026-07-01,HISTORICO,79470000.0,67549500.0,11920500.0,85.0,15.0,78.43999999999998,26685.84,120.68999999999997,111.02,-9.66,9.66
2026-08-01,HISTORICO,91957697.27999997,78164042.72,13793654.639999993,85.0,15.0,36218.17,13179211.059999997,20232789.05,18614165.96,-1618623.1600000001,1618623.1600000001
2026-09-01,HISTORICO,178149145.68000004,151426773.84,26722371.840000004,85.0,15.0,293466.06,107514449.15,165362966.73999998,152133929.44,-13229037.32,13229037.32
2026-10-01,HISTORICO,182193914.0,154864826.88000003,27329087.120000005,85.0,15.0,304272.9199999999,112937596.15000002,173706893.06,159810341.60999998,-13896551.419999998,13896551.419999998
2026-11-01,HISTORICO,179945639.35999998,152953793.44000003,26991845.919999994,85.0,15.0,296202.2900000001,110565184.35000002,170058279.18,156453616.86000004,-13604662.33,13604662.33
2026-12-01,HISTORICO,185908245.76,158022008.95999998,27886236.88,85.0,15.0,312767.1,118641266.14,182483550.38,167884866.36,-14598684.01,14598684.01
2027-01-01,HISTORICO,185226933.04,157442893.12,27784039.919999994,85.0,15.0,309401.66000000003,119249608.14000002,183418490.51,168745011.31,-14673479.259999998,14673479.259999998
2027-02-01,HISTORICO,177563004.55999997,150928553.83999997,26634450.72,85.0,15.0,285087.33,110348917.22000001,169723137.89,156145286.87,-13577851.03,13577851.03
