Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30227156.82,439428.90625,191472290.11999997,124456988.58,362.8469,373514.57,65914.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.28671875,478336.2492096094,735901.9218491117,677029.7681011828,-58872.15374792891,58872.15374792891,7.999999999999997
2026-08-28,28,2026-08-01,True,BOGOTA,42828050.32,439428.90625,191472290.11999997,124456988.58,362.8469,373514.57,65914.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.28671875,478336.2492096094,735901.9218491117,677029.7681011828,-58872.15374792891,58872.15374792891,7.999999999999997
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33427732.53,439428.90625,191472290.11999997,124456988.58,362.8469,373514.57,65914.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.28671875,478336.2492096094,735901.9218491117,677029.7681011828,-58872.15374792891,58872.15374792891,7.999999999999997
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26996431.94,439428.90625,191472290.11999997,124456988.58,362.8469,373514.57,65914.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.28671875,478336.2492096094,735901.9218491117,677029.7681011828,-58872.15374792891,58872.15374792891,7.999999999999997
2026-08-28,28,2026-08-01,True,VALLE,21480649.08,439428.90625,191472290.11999997,124456988.58,362.8469,373514.57,65914.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.28671875,478336.2492096094,735901.9218491117,677029.7681011828,-58872.15374792891,58872.15374792891,7.999999999999997
2026-08-28,28,2026-08-01,True,SANTANDER,16636765.42,439428.90625,191472290.11999997,124456988.58,362.8469,373514.57,65914.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.28671875,478336.2492096094,735901.9218491117,677029.7681011828,-58872.15374792891,58872.15374792891,7.999999999999997
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10852837.0,439428.90625,191472290.11999997,124456988.58,362.8469,373514.57,65914.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.28671875,478336.2492096094,735901.9218491117,677029.7681011828,-58872.15374792891,58872.15374792891,7.999999999999997
2026-08-28,28,2026-08-01,True,TOLIMA,9022667.01,439428.90625,191472290.11999997,124456988.58,362.8469,373514.57,65914.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.28671875,478336.2492096094,735901.9218491117,677029.7681011828,-58872.15374792891,58872.15374792891,7.999999999999997
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25173633.84,313013.69875,161764185.47,105146720.56,363.5664,266061.64,46952.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04109625,341403.79081566597,525236.6012323919,483217.67313380056,-42018.928098591336,42018.928098591336,7.999999999999997
2026-08-29,29,2026-08-01,True,BOGOTA,35931663.05,313013.69875,161764185.47,105146720.56,363.5664,266061.64,46952.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04109625,341403.79081566597,525236.6012323919,483217.67313380056,-42018.928098591336,42018.928098591336,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28563625.61,313013.69875,161764185.47,105146720.56,363.5664,266061.64,46952.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04109625,341403.79081566597,525236.6012323919,483217.67313380056,-42018.928098591336,42018.928098591336,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22549503.43,313013.69875,161764185.47,105146720.56,363.5664,266061.64,46952.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.04109625,341403.79081566597,525236.6012323919,483217.67313380056,-42018.928098591336,42018.928098591336,7.999999999999997
