Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,195855000.0,166476750.0,29378250.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,197160700.0,167586595.04,29574105.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,198466400.0,168696440.0,29769960.0,85.0,15.0,210.35999999999996,62826.0,323.65999999999997,297.77,-25.89,25.89
2024-04-01,HISTORICO,199772100.0,169806284.96,29965815.039999995,85.0,15.0,209.98,60812.36,323.04,297.2,-25.849999999999998,25.849999999999998
2024-05-01,HISTORICO,201077800.0,170916130.0,30161670.0,85.0,15.0,218.65999999999997,60929.31999999999,336.39,309.48999999999995,-26.91,26.91
2024-06-01,HISTORICO,202383500.0,172025975.04,30357525.039999995,85.0,15.0,229.49,63826.55,353.09,324.82,-28.250000000000004,28.250000000000004
2024-07-01,HISTORICO,203689200.0,173135820.0,30553380.0,85.0,15.0,232.18,67516.31,357.17999999999995,328.61,-28.580000000000002,28.580000000000002
2024-08-01,HISTORICO,204994900.0,174245664.96,30749235.039999995,85.0,15.0,224.17,68899.44,344.88,317.28999999999996,-27.59,27.59
2024-09-01,HISTORICO,206300600.0,175355510.0,30945090.0,85.0,15.0,214.12,67414.03000000001,329.41999999999996,303.07,-26.370000000000005,26.370000000000005
2024-10-01,HISTORICO,207606300.0,176465355.04,31140945.039999995,85.0,15.0,210.99,65132.58,324.62000000000006,298.66,-25.959999999999997,25.959999999999997
2024-11-01,HISTORICO,208912000.0,177575200.0,31336800.0,85.0,15.0,217.22000000000003,64480.53,334.2,307.46000000000004,-26.74,26.74
2024-12-01,HISTORICO,210217700.0,178685044.96,31532655.039999995,85.0,15.0,227.98000000000002,66684.44,350.74000000000007,322.67999999999995,-28.070000000000004,28.070000000000004
2025-01-01,HISTORICO,211523400.0,179794890.0,31728510.0,85.0,15.0,233.5,70501.38,359.22,330.46000000000004,-28.739999999999995,28.739999999999995
2025-02-01,HISTORICO,212829100.0,180904735.04,31924365.039999995,85.0,15.0,228.24,72761.49,351.13000000000005,323.04,-28.09,28.09
2025-03-01,HISTORICO,214134800.0,182014580.0,32120220.0,85.0,15.0,218.11,71948.0,335.57,308.72,-26.84,26.84
2025-04-01,HISTORICO,215440500.0,183124424.96,32316075.039999995,85.0,15.0,212.69000000000003,69603.2,327.21000000000004,301.02,-26.169999999999995,26.169999999999995
2025-05-01,HISTORICO,216746200.0,184234270.0,32511930.0,85.0,15.0,216.27,68275.12000000001,332.72,306.12,-26.610000000000007,26.610000000000007
2025-06-01,HISTORICO,218051900.0,185344115.04,32707785.039999995,85.0,15.0,226.16999999999996,69679.44,347.96,320.12,-27.84,27.84
2025-07-01,HISTORICO,219357600.0,186453960.0,32903640.0,85.0,15.0,233.77000000000004,73342.04999999999,359.65,330.89,-28.759999999999998,28.759999999999998
2025-08-01,HISTORICO,220663300.0,187563804.96,33099495.039999995,85.0,15.0,231.54,76348.22,356.21,327.73,-28.500000000000007,28.500000000000007
2025-09-01,HISTORICO,221969000.0,188673650.0,33295350.0,85.0,15.0,222.17,76359.97,341.8,314.46999999999997,-27.35,27.35
2025-10-01,HISTORICO,223274700.0,189783495.04,33491205.039999995,85.0,15.0,214.97,74173.8,330.71,304.26,-26.44,26.44
2025-11-01,HISTORICO,224580400.0,190893340.0,33687060.0,85.0,15.0,215.92000000000002,72304.6,332.18000000000006,305.59999999999997,-26.580000000000005,26.580000000000005
2025-12-01,HISTORICO,225886100.0,192003184.96,33882915.04,85.0,15.0,224.35,72867.13,345.15,317.52,-27.630000000000003,27.630000000000003
2026-01-01,HISTORICO,227191800.0,193113030.0,34078770.0,85.0,15.0,233.20000000000002,76120.32,358.77000000000004,330.06,-28.71,28.71
2026-02-01,HISTORICO,228497500.0,194222875.04,34274625.04,85.0,15.0,233.93999999999997,79664.19,359.9200000000001,331.13000000000005,-28.79,28.79
2026-03-01,HISTORICO,229803200.0,195332720.0,34470480.0,85.0,15.0,226.1,80586.85999999999,347.83,320.0,-27.830000000000002,27.830000000000002
2026-04-01,HISTORICO,231108900.0,196442564.96,34666335.04,85.0,15.0,217.71999999999997,78784.86000000002,334.96000000000004,308.17,-26.8,26.8
2026-05-01,HISTORICO,232414600.0,197552410.0,34862190.0,85.0,15.0,216.2,76545.99,332.61999999999995,306.0,-26.610000000000007,26.610000000000007
2026-06-01,HISTORICO,233720300.0,198662255.04,35058045.04,85.0,15.0,222.70999999999998,76284.2,342.61,315.20000000000005,-27.400000000000002,27.400000000000002
2026-07-01,HISTORICO,235026000.0,199772100.0,35253900.0,85.0,15.0,231.98999999999998,78921.21,356.92999999999995,328.37,-28.54,28.54
2026-08-01,HISTORICO,248338668.40000004,211087868.07999998,37250800.31999999,85.0,15.0,36256.33,13191155.910000002,20167152.93,18553780.66,-1613372.2600000002,1613372.2600000002
2026-09-01,HISTORICO,335532099.68,285202284.71999997,50329814.96,85.0,15.0,293913.74000000005,107678460.94,165529404.85,152287052.42000002,-13242352.35,13242352.35
2026-10-01,HISTORICO,340327797.59999996,289278628.0,51049169.68000001,85.0,15.0,304374.92000000004,112975192.63000001,173680066.01000005,159785660.75,-13894405.259999998,13894405.259999998
2026-11-01,HISTORICO,338853464.0,288025444.40000004,50828019.60000001,85.0,15.0,296031.08999999997,110501215.86,169877645.98,156287434.32,-13590211.669999998,13590211.669999998
2026-12-01,HISTORICO,345808335.68,293937085.28,51871250.400000006,85.0,15.0,312982.93000000005,118720457.53999999,182524200.48,167922264.42999998,-14601936.049999999,14601936.049999999
2027-01-01,HISTORICO,345982368.55999994,294085013.28000003,51897355.27999999,85.0,15.0,309596.87999999995,119322514.08,183447570.88000003,168771765.17,-14675805.63,14675805.63
2027-02-01,HISTORICO,339196543.36,288317061.92,50879481.52000001,85.0,15.0,285327.94,110438226.19,169773574.07000002,156191688.15,-13581885.92,13581885.92
