Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30135067.3,436673.5125,190271683.10000002,123676594.02,362.8469,371172.49,65501.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.0205375,475336.8909682088,731287.5245369107,672784.5225739579,-58503.00196295278,58503.00196295278,7.99999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,41869751.32,436673.5125,190271683.10000002,123676594.02,362.8469,371172.49,65501.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.0205375,475336.8909682088,731287.5245369107,672784.5225739579,-58503.00196295278,58503.00196295278,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33638904.89,436673.5125,190271683.10000002,123676594.02,362.8469,371172.49,65501.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.0205375,475336.8909682088,731287.5245369107,672784.5225739579,-58503.00196295278,58503.00196295278,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26400986.96,436673.5125,190271683.10000002,123676594.02,362.8469,371172.49,65501.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.0205375,475336.8909682088,731287.5245369107,672784.5225739579,-58503.00196295278,58503.00196295278,7.99999999999999
2026-08-28,28,2026-08-01,True,VALLE,21571646.27,436673.5125,190271683.10000002,123676594.02,362.8469,371172.49,65501.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.0205375,475336.8909682088,731287.5245369107,672784.5225739579,-58503.00196295278,58503.00196295278,7.99999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16718473.08,436673.5125,190271683.10000002,123676594.02,362.8469,371172.49,65501.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.0205375,475336.8909682088,731287.5245369107,672784.5225739579,-58503.00196295278,58503.00196295278,7.99999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10825551.47,436673.5125,190271683.10000002,123676594.02,362.8469,371172.49,65501.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.0205375,475336.8909682088,731287.5245369107,672784.5225739579,-58503.00196295278,58503.00196295278,7.99999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9111301.81,436673.5125,190271683.10000002,123676594.02,362.8469,371172.49,65501.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1310.0205375,475336.8909682088,731287.5245369107,672784.5225739579,-58503.00196295278,58503.00196295278,7.99999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25464416.25,312486.675,161491821.72,104969684.12,363.5664,265613.67,46873.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.460025,340828.96643316,524352.2560410248,482404.07555774285,-41948.18048328196,41948.18048328196,7.9999999999999964
2026-08-29,29,2026-08-01,True,BOGOTA,35564563.08,312486.675,161491821.72,104969684.12,363.5664,265613.67,46873.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.460025,340828.96643316,524352.2560410248,482404.07555774285,-41948.18048328196,41948.18048328196,7.9999999999999964
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28673815.3,312486.675,161491821.72,104969684.12,363.5664,265613.67,46873.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.460025,340828.96643316,524352.2560410248,482404.07555774285,-41948.18048328196,41948.18048328196,7.9999999999999964
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22578548.52,312486.675,161491821.72,104969684.12,363.5664,265613.67,46873.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.460025,340828.96643316,524352.2560410248,482404.07555774285,-41948.18048328196,41948.18048328196,7.9999999999999964
2026-08-29,29,2026-08-01,True,VALLE,18213861.6,312486.675,161491821.72,104969684.12,363.5664,265613.67,46873.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.460025,340828.96643316,524352.2560410248,482404.07555774285,-41948.18048328196,41948.18048328196,7.9999999999999964
2026-08-29,29,2026-08-01,True,SANTANDER,14226902.91,312486.675,161491821.72,104969684.12,363.5664,265613.67,46873.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.460025,340828.96643316,524352.2560410248,482404.07555774285,-41948.18048328196,41948.18048328196,7.9999999999999964
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9175734.16,312486.675,161491821.72,104969684.12,363.5664,265613.67,46873.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.460025,340828.96643316,524352.2560410248,482404.07555774285,-41948.18048328196,41948.18048328196,7.9999999999999964
2026-08-29,29,2026-08-01,True,TOLIMA,7593979.9,312486.675,161491821.72,104969684.12,363.5664,265613.67,46873.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.460025,340828.96643316,524352.2560410248,482404.07555774285,-41948.18048328196,41948.18048328196,7.9999999999999964
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25628973.22,314156.4375,162354748.20000002,105530586.33,364.2743,267032.97,47123.47,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.4693125,343317.3490824187,528180.537049875,485926.09408588504,-42254.442963989975,42254.442963989975,7.999999999999995
