Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,23812500.0,20240624.960000005,3571875.0399999996,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,23971250.0,20375562.48,3595687.52,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,24130000.0,20510500.0,3619500.0,85.0,15.0,25.57,7638.53,39.349999999999994,36.199999999999996,-3.17,3.17
2024-04-01,HISTORICO,24288750.0,20645437.52,3643312.48,85.0,15.0,25.529999999999998,7393.7,39.27,36.13,-3.16,3.16
2024-05-01,HISTORICO,24447500.0,20780375.039999995,3667125.0399999996,85.0,15.0,26.590000000000007,7407.929999999999,40.9,37.629999999999995,-3.27,3.27
2024-06-01,HISTORICO,24606250.0,20915312.48,3690937.52,85.0,15.0,27.89,7760.16,42.93,39.5,-3.4400000000000004,3.4400000000000004
2024-07-01,HISTORICO,24765000.0,21050250.0,3714750.0,85.0,15.0,28.23,8208.79,43.43,39.96,-3.4700000000000006,3.4700000000000006
2024-08-01,HISTORICO,24923750.0,21185187.52,3738562.48,85.0,15.0,27.26,8376.960000000001,41.919999999999995,38.57,-3.36,3.36
2024-09-01,HISTORICO,25082500.0,21320124.960000005,3762375.0399999996,85.0,15.0,26.040000000000003,8196.36,40.059999999999995,36.83,-3.2,3.2
2024-10-01,HISTORICO,25241250.0,21455062.48,3786187.52,85.0,15.0,25.650000000000002,7918.97,39.480000000000004,36.309999999999995,-3.17,3.17
2024-11-01,HISTORICO,25400000.0,21590000.0,3810000.0,85.0,15.0,26.42,7839.68,40.63,37.38,-3.24,3.24
2024-12-01,HISTORICO,25558750.0,21724937.52,3833812.48,85.0,15.0,27.72,8107.64,42.650000000000006,39.25,-3.4000000000000004,3.4000000000000004
2025-01-01,HISTORICO,25717500.0,21859875.039999995,3857625.0399999996,85.0,15.0,28.38,8571.720000000001,43.68,40.18,-3.5,3.5
2025-02-01,HISTORICO,25876250.0,21994812.48,3881437.52,85.0,15.0,27.75,8846.52,42.690000000000005,39.27,-3.4000000000000004,3.4000000000000004
2025-03-01,HISTORICO,26035000.0,22129750.0,3905250.0,85.0,15.0,26.509999999999998,8747.61,40.800000000000004,37.54,-3.2600000000000002,3.2600000000000002
2025-04-01,HISTORICO,26193750.0,22264687.52,3929062.48,85.0,15.0,25.86,8462.509999999998,39.769999999999996,36.599999999999994,-3.17,3.17
2025-05-01,HISTORICO,26352500.0,22399624.960000005,3952875.0399999996,85.0,15.0,26.299999999999997,8301.05,40.45,37.22,-3.2300000000000004,3.2300000000000004
2025-06-01,HISTORICO,26511250.0,22534562.479999997,3976687.52,85.0,15.0,27.5,8471.78,42.28999999999999,38.92,-3.3799999999999994,3.3799999999999994
2025-07-01,HISTORICO,26670000.0,22669500.0,4000500.0,85.0,15.0,28.42,8917.08,43.73,40.22,-3.51,3.51
2025-08-01,HISTORICO,26828750.0,22804437.520000003,4024312.48,85.0,15.0,28.16,9282.59,43.309999999999995,39.84,-3.4700000000000006,3.4700000000000006
2025-09-01,HISTORICO,26987500.0,22939375.039999995,4048125.0399999996,85.0,15.0,27.01,9284.03,41.559999999999995,38.230000000000004,-3.32,3.32
2025-10-01,HISTORICO,27146250.0,23074312.479999997,4071937.52,85.0,15.0,26.139999999999997,9018.21,40.199999999999996,36.980000000000004,-3.22,3.22
2025-11-01,HISTORICO,27305000.0,23209250.0,4095750.0,85.0,15.0,26.249999999999996,8790.97,40.389999999999986,37.15,-3.2300000000000004,3.2300000000000004
2025-12-01,HISTORICO,27463750.0,23344187.520000003,4119562.48,85.0,15.0,27.28,8859.34,41.97,38.6,-3.36,3.36
2026-01-01,HISTORICO,27622500.0,23479124.960000005,4143375.0399999996,85.0,15.0,28.349999999999998,9254.890000000001,43.61000000000001,40.13,-3.5,3.5
2026-02-01,HISTORICO,27781250.0,23614062.479999997,4167187.52,85.0,15.0,28.45,9685.75,43.75,40.269999999999996,-3.51,3.51
2026-03-01,HISTORICO,27940000.0,23749000.0,4191000.0,85.0,15.0,27.5,9797.940000000002,42.28999999999999,38.910000000000004,-3.3799999999999994,3.3799999999999994
2026-04-01,HISTORICO,28098750.0,23883937.520000003,4214812.48,85.0,15.0,26.479999999999997,9578.849999999999,40.72,37.47,-3.2600000000000002,3.2600000000000002
2026-05-01,HISTORICO,28257500.0,24018875.039999995,4238625.04,85.0,15.0,26.279999999999994,9306.63,40.42999999999999,37.209999999999994,-3.2300000000000004,3.2300000000000004
2026-06-01,HISTORICO,28416250.0,24153812.479999997,4262437.52,85.0,15.0,27.07,9274.82,41.66,38.32,-3.34,3.34
2026-07-01,HISTORICO,28575000.0,24288750.0,4286250.0,85.0,15.0,28.2,9595.420000000002,43.379999999999995,39.93,-3.4700000000000006,3.4700000000000006
2026-08-01,HISTORICO,40817533.519999996,34694903.52,6122630.000000001,85.0,15.0,36279.979999999996,13202403.080000002,20295956.51,18672279.96,-1623676.4899999998,1623676.4899999998
2026-09-01,HISTORICO,126872319.51999998,107841471.52000001,19030848.0,85.0,15.0,293967.37,107698128.39999999,165673651.04000002,152419758.95999998,-13253892.080000002,13253892.080000002
