Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30103403.65,439781.6825,191626005.27,124556903.43,362.8469,373814.43,65967.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.3450475,478720.26051572774,736492.708459127,677573.2917823968,-58919.41667673015,58919.41667673015,7.999999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,42419216.49,439781.6825,191626005.27,124556903.43,362.8469,373814.43,65967.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.3450475,478720.26051572774,736492.708459127,677573.2917823968,-58919.41667673015,58919.41667673015,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33802291.64,439781.6825,191626005.27,124556903.43,362.8469,373814.43,65967.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.3450475,478720.26051572774,736492.708459127,677573.2917823968,-58919.41667673015,58919.41667673015,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26596782.53,439781.6825,191626005.27,124556903.43,362.8469,373814.43,65967.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.3450475,478720.26051572774,736492.708459127,677573.2917823968,-58919.41667673015,58919.41667673015,7.999999999999999
2026-08-28,28,2026-08-01,True,VALLE,22002581.53,439781.6825,191626005.27,124556903.43,362.8469,373814.43,65967.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.3450475,478720.26051572774,736492.708459127,677573.2917823968,-58919.41667673015,58919.41667673015,7.999999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16926796.89,439781.6825,191626005.27,124556903.43,362.8469,373814.43,65967.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.3450475,478720.26051572774,736492.708459127,677573.2917823968,-58919.41667673015,58919.41667673015,7.999999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10711411.0,439781.6825,191626005.27,124556903.43,362.8469,373814.43,65967.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.3450475,478720.26051572774,736492.708459127,677573.2917823968,-58919.41667673015,58919.41667673015,7.999999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9063521.54,439781.6825,191626005.27,124556903.43,362.8469,373814.43,65967.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.3450475,478720.26051572774,736492.708459127,677573.2917823968,-58919.41667673015,58919.41667673015,7.999999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25351430.81,313080.9325,161798931.57,105169305.52,363.5664,266118.79,46962.14,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.2427975,341477.122613004,525349.4194071192,483321.46585454966,-42027.953552569496,42027.953552569496,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,35694924.63,313080.9325,161798931.57,105169305.52,363.5664,266118.79,46962.14,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.2427975,341477.122613004,525349.4194071192,483321.46585454966,-42027.953552569496,42027.953552569496,7.999999999999993
