Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,219345000.0,186443250.0,32901750.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,220807300.0,187686204.96,33121095.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,222269600.0,188929160.0,33340440.0,85.0,15.0,235.60999999999999,70361.09,362.4599999999999,333.47999999999996,-28.979999999999997,28.979999999999997
2024-04-01,HISTORICO,223731900.0,190172115.04,33559785.04,85.0,15.0,235.16,68105.93,361.78999999999996,332.85,-28.95,28.95
2024-05-01,HISTORICO,225194200.0,191415070.0,33779130.0,85.0,15.0,244.9,68236.91,376.74,346.61,-30.130000000000003,30.130000000000003
2024-06-01,HISTORICO,226656500.0,192658024.96,33998475.04,85.0,15.0,257.01,71481.62,395.41999999999996,363.77000000000004,-31.64,31.64
2024-07-01,HISTORICO,228118800.0,193900980.0,34217820.0,85.0,15.0,260.01,75613.91999999998,400.01,368.02,-32.00000000000001,32.00000000000001
2024-08-01,HISTORICO,229581100.0,195143935.04,34437165.04,85.0,15.0,251.06999999999996,77162.92,386.24,355.34,-30.89,30.89
2024-09-01,HISTORICO,231043400.0,196386890.0,34656510.0,85.0,15.0,239.79,75499.37,368.9399999999999,339.42,-29.53,29.53
2024-10-01,HISTORICO,232505700.0,197629844.96,34875855.04,85.0,15.0,236.31,72944.3,363.54,334.47,-29.089999999999996,29.089999999999996
2024-11-01,HISTORICO,233968000.0,198872800.0,35095200.0,85.0,15.0,243.28,72214.05,374.27,344.31000000000006,-29.939999999999998,29.939999999999998
2024-12-01,HISTORICO,235430300.0,200115755.04,35314545.04,85.0,15.0,255.32000000000002,74682.26,392.80999999999995,361.38000000000005,-31.43,31.43
2025-01-01,HISTORICO,236892600.0,201358710.0,35533890.0,85.0,15.0,261.49,78957.01,402.28999999999996,370.11,-32.19,32.19
2025-02-01,HISTORICO,238354900.0,202601664.96,35753235.04,85.0,15.0,255.59999999999997,81488.19,393.25,361.78999999999996,-31.47,31.47
2025-03-01,HISTORICO,239817200.0,203844620.0,35972580.0,85.0,15.0,244.28000000000003,80577.13999999998,375.8099999999999,345.74,-30.06,30.06
2025-04-01,HISTORICO,241279500.0,205087575.04,36191925.04,85.0,15.0,238.20000000000002,77951.11,366.46,337.15,-29.310000000000002,29.310000000000002
2025-05-01,HISTORICO,242741800.0,206330530.0,36411270.0,85.0,15.0,242.21,76463.76000000001,372.64000000000004,342.82,-29.810000000000002,29.810000000000002
2025-06-01,HISTORICO,244204100.0,207573484.96,36630615.04,85.0,15.0,253.3,78036.51,389.7,358.51,-31.18,31.18
2025-07-01,HISTORICO,245666400.0,208816440.0,36849960.0,85.0,15.0,261.8,82138.38,402.78,370.55,-32.22,32.22
2025-08-01,HISTORICO,247128700.0,210059395.04,37069305.04,85.0,15.0,259.3,85505.1,398.91999999999996,367.02000000000004,-31.91,31.91
2025-09-01,HISTORICO,248591000.0,211302350.0,37288650.0,85.0,15.0,248.82999999999998,85518.23000000001,382.7900000000001,352.17,-30.619999999999997,30.619999999999997
2025-10-01,HISTORICO,250053300.0,212545304.96,37507995.04,85.0,15.0,240.73999999999998,83069.85,370.39000000000004,340.76,-29.61,29.61
2025-11-01,HISTORICO,251515600.0,213788260.0,37727340.0,85.0,15.0,241.80999999999997,80976.51999999999,372.02000000000004,342.26,-29.76,29.76
2025-12-01,HISTORICO,252977900.0,215031215.04,37946685.04,85.0,15.0,251.24000000000004,81606.49,386.53,355.61,-30.92,30.92
2026-01-01,HISTORICO,254440200.0,216274170.0,38166030.0,85.0,15.0,261.17,85249.87,401.81,369.66,-32.15,32.15
2026-02-01,HISTORICO,255902500.0,217517124.96,38385375.04,85.0,15.0,262.03000000000003,89218.76000000002,403.09000000000003,370.85,-32.260000000000005,32.260000000000005
2026-03-01,HISTORICO,257364800.0,218760080.0,38604720.0,85.0,15.0,253.21999999999997,90252.1,389.55,358.39000000000004,-31.169999999999998,31.169999999999998
2026-04-01,HISTORICO,258827100.0,220003035.04,38824065.04,85.0,15.0,243.85999999999996,88233.96999999999,375.14,345.12,-30.009999999999994,30.009999999999994
2026-05-01,HISTORICO,260289400.0,221245990.0,39043410.0,85.0,15.0,242.14000000000001,85726.58,372.47999999999996,342.7,-29.79,29.79
2026-06-01,HISTORICO,261751700.0,222488944.96,39262755.04,85.0,15.0,249.4,85433.41,383.71000000000004,353.0,-30.689999999999998,30.689999999999998
2026-07-01,HISTORICO,263214000.0,223731900.0,39482100.0,85.0,15.0,259.81,88386.68,399.73,367.73999999999995,-31.970000000000002,31.970000000000002
2026-08-01,HISTORICO,276722937.11999995,235214496.63999993,41508440.64,85.0,15.0,36403.590000000004,13244398.02,20233839.889999997,18615132.71,-1618707.18,1618707.18
2026-09-01,HISTORICO,364013674.64,309411623.44,54602051.199999996,85.0,15.0,293882.41000000003,107667555.74999999,165497064.01,152257298.93,-13239765.099999998,13239765.099999998
