Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30737760.28,439904.62375,191679574.47,124591723.41,362.8469,373918.93,65985.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.71387125,478854.08707006165,736698.5954657944,677762.7078285309,-58935.88763726351,58935.88763726351,7.999999999999995
2026-08-28,28,2026-08-01,True,BOGOTA,41776728.05,439904.62375,191679574.47,124591723.41,362.8469,373918.93,65985.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.71387125,478854.08707006165,736698.5954657944,677762.7078285309,-58935.88763726351,58935.88763726351,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33425290.13,439904.62375,191679574.47,124591723.41,362.8469,373918.93,65985.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.71387125,478854.08707006165,736698.5954657944,677762.7078285309,-58935.88763726351,58935.88763726351,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26769176.74,439904.62375,191679574.47,124591723.41,362.8469,373918.93,65985.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.71387125,478854.08707006165,736698.5954657944,677762.7078285309,-58935.88763726351,58935.88763726351,7.999999999999995
2026-08-28,28,2026-08-01,True,VALLE,21968462.78,439904.62375,191679574.47,124591723.41,362.8469,373918.93,65985.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.71387125,478854.08707006165,736698.5954657944,677762.7078285309,-58935.88763726351,58935.88763726351,7.999999999999995
2026-08-28,28,2026-08-01,True,SANTANDER,17021027.95,439904.62375,191679574.47,124591723.41,362.8469,373918.93,65985.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.71387125,478854.08707006165,736698.5954657944,677762.7078285309,-58935.88763726351,58935.88763726351,7.999999999999995
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10863118.99,439904.62375,191679574.47,124591723.41,362.8469,373918.93,65985.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.71387125,478854.08707006165,736698.5954657944,677762.7078285309,-58935.88763726351,58935.88763726351,7.999999999999995
2026-08-28,28,2026-08-01,True,TOLIMA,9118009.55,439904.62375,191679574.47,124591723.41,362.8469,373918.93,65985.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.71387125,478854.08707006165,736698.5954657944,677762.7078285309,-58935.88763726351,58935.88763726351,7.999999999999995
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25151662.26,311996.76,161238635.41,104805113.02,363.5664,265197.25,46799.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9902800000001,340294.616534592,523530.1792665043,481647.76492518396,-41882.41434132034,41882.41434132034,8.0
2026-08-29,29,2026-08-01,True,BOGOTA,35649495.11,311996.76,161238635.41,104805113.02,363.5664,265197.25,46799.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9902800000001,340294.616534592,523530.1792665043,481647.76492518396,-41882.41434132034,41882.41434132034,8.0
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28603976.22,311996.76,161238635.41,104805113.02,363.5664,265197.25,46799.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9902800000001,340294.616534592,523530.1792665043,481647.76492518396,-41882.41434132034,41882.41434132034,8.0
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22218180.0,311996.76,161238635.41,104805113.02,363.5664,265197.25,46799.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9902800000001,340294.616534592,523530.1792665043,481647.76492518396,-41882.41434132034,41882.41434132034,8.0
2026-08-29,29,2026-08-01,True,VALLE,18394879.15,311996.76,161238635.41,104805113.02,363.5664,265197.25,46799.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9902800000001,340294.616534592,523530.1792665043,481647.76492518396,-41882.41434132034,41882.41434132034,8.0
2026-08-29,29,2026-08-01,True,SANTANDER,14423389.82,311996.76,161238635.41,104805113.02,363.5664,265197.25,46799.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9902800000001,340294.616534592,523530.1792665043,481647.76492518396,-41882.41434132034,41882.41434132034,8.0
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9193870.95,311996.76,161238635.41,104805113.02,363.5664,265197.25,46799.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9902800000001,340294.616534592,523530.1792665043,481647.76492518396,-41882.41434132034,41882.41434132034,8.0
2026-08-29,29,2026-08-01,True,TOLIMA,7603181.9,311996.76,161238635.41,104805113.02,363.5664,265197.25,46799.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.9902800000001,340294.616534592,523530.1792665043,481647.76492518396,-41882.41434132034,41882.41434132034,8.0
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25309250.19,312128.0575,161306489.52,104849218.19,364.2743,265308.85,46819.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.3841725,341100.6889685167,524770.2907107851,482788.6674539223,-41981.623256862804,41981.623256862804,8.0
2026-08-30,30,2026-08-01,True,BOGOTA,35548119.42,312128.0575,161306489.52,104849218.19,364.2743,265308.85,46819.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.3841725,341100.6889685167,524770.2907107851,482788.6674539223,-41981.623256862804,41981.623256862804,8.0
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28731718.86,312128.0575,161306489.52,104849218.19,364.2743,265308.85,46819.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.3841725,341100.6889685167,524770.2907107851,482788.6674539223,-41981.623256862804,41981.623256862804,8.0
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22429522.59,312128.0575,161306489.52,104849218.19,364.2743,265308.85,46819.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.3841725,341100.6889685167,524770.2907107851,482788.6674539223,-41981.623256862804,41981.623256862804,8.0
2026-08-30,30,2026-08-01,True,VALLE,18420069.08,312128.0575,161306489.52,104849218.19,364.2743,265308.85,46819.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.3841725,341100.6889685167,524770.2907107851,482788.6674539223,-41981.623256862804,41981.623256862804,8.0
2026-08-30,30,2026-08-01,True,SANTANDER,14102184.41,312128.0575,161306489.52,104849218.19,364.2743,265308.85,46819.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.3841725,341100.6889685167,524770.2907107851,482788.6674539223,-41981.623256862804,41981.623256862804,8.0
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9256304.48,312128.0575,161306489.52,104849218.19,364.2743,265308.85,46819.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.3841725,341100.6889685167,524770.2907107851,482788.6674539223,-41981.623256862804,41981.623256862804,8.0
2026-08-30,30,2026-08-01,True,TOLIMA,7509320.49,312128.0575,161306489.52,104849218.19,364.2743,265308.85,46819.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.3841725,341100.6889685167,524770.2907107851,482788.6674539223,-41981.623256862804,41981.623256862804,8.0
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30496284.86,441800.2,192505533.96000004,125128597.07,364.9592,375530.17,66270.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.4006000000002,483717.14265552006,744180.2194938202,684645.8019343147,-59534.41755950556,59534.41755950556,7.999999999999992
2026-08-31,31,2026-08-01,True,BOGOTA,42497131.84,441800.2,192505533.96000004,125128597.07,364.9592,375530.17,66270.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.4006000000002,483717.14265552006,744180.2194938202,684645.8019343147,-59534.41755950556,59534.41755950556,7.999999999999992
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33892351.14,441800.2,192505533.96000004,125128597.07,364.9592,375530.17,66270.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.4006000000002,483717.14265552006,744180.2194938202,684645.8019343147,-59534.41755950556,59534.41755950556,7.999999999999992
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26732675.66,441800.2,192505533.96000004,125128597.07,364.9592,375530.17,66270.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.4006000000002,483717.14265552006,744180.2194938202,684645.8019343147,-59534.41755950556,59534.41755950556,7.999999999999992
2026-08-31,31,2026-08-01,True,VALLE,21889303.42,441800.2,192505533.96000004,125128597.07,364.9592,375530.17,66270.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.4006000000002,483717.14265552006,744180.2194938202,684645.8019343147,-59534.41755950556,59534.41755950556,7.999999999999992
2026-08-31,31,2026-08-01,True,SANTANDER,16893158.5,441800.2,192505533.96000004,125128597.07,364.9592,375530.17,66270.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.4006000000002,483717.14265552006,744180.2194938202,684645.8019343147,-59534.41755950556,59534.41755950556,7.999999999999992
2026-08-31,31,2026-08-01,True,CUNDINAMARCA,10966319.52,441800.2,192505533.96000004,125128597.07,364.9592,375530.17,66270.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.4006000000002,483717.14265552006,744180.2194938202,684645.8019343147,-59534.41755950556,59534.41755950556,7.999999999999992
2026-08-31,31,2026-08-01,True,TOLIMA,9138309.02,441800.2,192505533.96000004,125128597.07,364.9592,375530.17,66270.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.4006000000002,483717.14265552006,744180.2194938202,684645.8019343147,-59534.41755950556,59534.41755950556,7.999999999999992
2026-09-01,1,2026-09-01,True,ANTIOQUIA,30332234.69,440537.8075,191955471.75,124771056.64,365.6102,374457.14,66080.67,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.6134225,483195.34772290953,743377.4580203505,683907.2613787225,-59470.19664162805,59470.19664162805,8.0
