Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,111247500.0,94560375.03999999,16687125.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,111989150.0,95190777.52,16798372.48,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,112730800.0,95821180.0,16909620.0,85.0,15.0,119.5,35685.770000000004,183.85999999999999,169.14000000000001,-14.72,14.72
2024-04-01,HISTORICO,113472450.0,96451582.48,17020867.52,85.0,15.0,119.25,34542.0,183.49,168.82,-14.680000000000001,14.680000000000001
2024-05-01,HISTORICO,114214100.0,97081984.96000001,17132115.039999995,85.0,15.0,124.19999999999997,34608.42,191.07999999999998,175.79,-15.29,15.29
2024-06-01,HISTORICO,114955750.0,97712387.52,17243362.48,85.0,15.0,130.35000000000002,36254.07000000001,200.55,184.5,-16.04,16.04
2024-07-01,HISTORICO,115697400.0,98342790.0,17354610.0,85.0,15.0,131.88,38349.89,202.88,186.66,-16.220000000000002,16.220000000000002
2024-08-01,HISTORICO,116439050.0,98973192.48,17465857.52,85.0,15.0,127.33000000000001,39135.53999999999,195.90000000000003,180.23,-15.669999999999998,15.669999999999998
2024-09-01,HISTORICO,117180700.0,99603595.03999999,17577105.039999995,85.0,15.0,121.63,38291.81,187.1,172.14000000000001,-14.969999999999999,14.969999999999999
2024-10-01,HISTORICO,117922350.0,100233997.52,17688352.48,85.0,15.0,119.86,36995.93,184.38,169.64,-14.77,14.77
2024-11-01,HISTORICO,118664000.0,100864400.0,17799600.0,85.0,15.0,123.40000000000002,36625.54,189.83,174.64,-15.18,15.18
2024-12-01,HISTORICO,119405650.0,101494802.48,17910847.52,85.0,15.0,129.51,37877.39,199.21,183.27999999999997,-15.93,15.93
2025-01-01,HISTORICO,120147300.0,102125204.96000001,18022095.039999995,85.0,15.0,132.63,40045.47,204.01999999999998,187.70999999999998,-16.31,16.31
2025-02-01,HISTORICO,120888950.0,102755607.52,18133342.48,85.0,15.0,129.63,41329.22,199.44,183.49,-15.950000000000001,15.950000000000001
2025-03-01,HISTORICO,121630600.0,103386010.0,18244590.0,85.0,15.0,123.88999999999999,40867.13999999999,190.61,175.36,-15.26,15.26
2025-04-01,HISTORICO,122372250.0,104016412.48,18355837.52,85.0,15.0,120.82,39535.29,185.86,170.99,-14.86,14.86
2025-05-01,HISTORICO,123113900.0,104646815.03999999,18467085.039999995,85.0,15.0,122.85,38780.909999999996,188.98,173.88999999999996,-15.13,15.13
2025-06-01,HISTORICO,123855550.0,105277217.52,18578332.48,85.0,15.0,128.46,39578.58,197.64,181.82,-15.81,15.81
2025-07-01,HISTORICO,124597200.0,105907620.0,18689580.0,85.0,15.0,132.78000000000003,41658.99,204.27999999999997,187.92999999999998,-16.349999999999998,16.349999999999998
2025-08-01,HISTORICO,125338850.0,106538022.48,18800827.52,85.0,15.0,131.51000000000002,43366.51,202.32000000000002,186.14,-16.189999999999998,16.189999999999998
2025-09-01,HISTORICO,126080500.0,107168424.96000001,18912075.039999995,85.0,15.0,126.2,43373.17999999999,194.15,178.59999999999997,-15.520000000000001,15.520000000000001
2025-10-01,HISTORICO,126822150.0,107798827.52,19023322.48,85.0,15.0,122.10999999999999,42131.409999999996,187.83999999999997,172.83,-15.030000000000001,15.030000000000001
2025-11-01,HISTORICO,127563800.0,108429230.0,19134570.0,85.0,15.0,122.63,41069.71,188.69000000000005,173.58,-15.09,15.09
2025-12-01,HISTORICO,128305450.0,109059632.48,19245817.52,85.0,15.0,127.44,41389.23,196.04,180.35,-15.68,15.68
2026-01-01,HISTORICO,129047100.0,109690035.03999999,19357065.039999995,85.0,15.0,132.45999999999998,43237.07,203.77999999999997,187.48000000000002,-16.3,16.3
2026-02-01,HISTORICO,129788750.0,110320437.52,19468312.48,85.0,15.0,132.89,45250.02,204.45,188.09000000000003,-16.349999999999998,16.349999999999998
2026-03-01,HISTORICO,130530400.0,110950840.0,19579560.0,85.0,15.0,128.42000000000002,45774.11,197.57,181.76,-15.8,15.8
2026-04-01,HISTORICO,131272050.0,111581242.48,19690807.52,85.0,15.0,123.66999999999999,44750.54,190.26,175.04,-15.209999999999999,15.209999999999999
2026-05-01,HISTORICO,132013700.0,112211644.96000001,19802055.039999995,85.0,15.0,122.8,43478.850000000006,188.91999999999996,173.79000000000002,-15.120000000000001,15.120000000000001
2026-06-01,HISTORICO,132755350.0,112842047.52,19913302.48,85.0,15.0,126.5,43330.149999999994,194.61,179.03999999999996,-15.58,15.58
2026-07-01,HISTORICO,133497000.0,113472450.0,20024550.0,85.0,15.0,131.79000000000002,44827.99999999999,202.73,186.52,-16.220000000000002,16.220000000000002
2026-08-01,HISTORICO,146279925.84,124337936.88,21941988.880000003,85.0,15.0,36257.56,13192859.669999998,20224607.9,18606639.29,-1617968.61,1617968.61
2026-09-01,HISTORICO,232963842.40000004,198019266.07999995,34944576.39999999,85.0,15.0,294081.08999999997,107740386.33999997,165680732.22,152426273.67999998,-13254458.620000001,13254458.620000001
2026-10-01,HISTORICO,237048243.44000003,201491006.96,35557236.48,85.0,15.0,304104.32999999996,112876011.59,173582741.16,159696121.86999997,-13886619.28,13886619.28
2026-11-01,HISTORICO,235117105.44000003,199849539.68000004,35267565.84,85.0,15.0,296083.77999999997,110520461.62000002,169960918.66000003,156364045.17999995,-13596873.490000006,13596873.490000006
2026-12-01,HISTORICO,241436619.44000003,205221126.48000002,36215492.96,85.0,15.0,312819.8500000001,118661355.60000001,182486261.26,167887360.34,-14598900.919999998,14598900.919999998
2027-01-01,HISTORICO,240999388.64000005,204849480.31999996,36149908.31999999,85.0,15.0,309288.30999999994,119204571.86000001,183320348.07000002,168654720.2,-14665627.870000003,14665627.870000003
2027-02-01,HISTORICO,233569977.92000002,198534481.28,35035496.63999999,85.0,15.0,284778.37,110228368.83999999,169507475.52999997,155946877.51000002,-13560598.01,13560598.01
