Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30787453.42,439243.30375,191391417.76999998,124404421.55,362.8469,373356.81,65886.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.72991125,478134.21333433763,735591.0974403989,676743.809645167,-58847.28779523191,58847.28779523191,8.0
2026-08-28,28,2026-08-01,True,BOGOTA,42029834.46,439243.30375,191391417.76999998,124404421.55,362.8469,373356.81,65886.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.72991125,478134.21333433763,735591.0974403989,676743.809645167,-58847.28779523191,58847.28779523191,8.0
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33561890.6,439243.30375,191391417.76999998,124404421.55,362.8469,373356.81,65886.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.72991125,478134.21333433763,735591.0974403989,676743.809645167,-58847.28779523191,58847.28779523191,8.0
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26478658.75,439243.30375,191391417.76999998,124404421.55,362.8469,373356.81,65886.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.72991125,478134.21333433763,735591.0974403989,676743.809645167,-58847.28779523191,58847.28779523191,8.0
2026-08-28,28,2026-08-01,True,VALLE,21589754.62,439243.30375,191391417.76999998,124404421.55,362.8469,373356.81,65886.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.72991125,478134.21333433763,735591.0974403989,676743.809645167,-58847.28779523191,58847.28779523191,8.0
2026-08-28,28,2026-08-01,True,SANTANDER,16823587.57,439243.30375,191391417.76999998,124404421.55,362.8469,373356.81,65886.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.72991125,478134.21333433763,735591.0974403989,676743.809645167,-58847.28779523191,58847.28779523191,8.0
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10942745.19,439243.30375,191391417.76999998,124404421.55,362.8469,373356.81,65886.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.72991125,478134.21333433763,735591.0974403989,676743.809645167,-58847.28779523191,58847.28779523191,8.0
2026-08-28,28,2026-08-01,True,TOLIMA,9177493.16,439243.30375,191391417.76999998,124404421.55,362.8469,373356.81,65886.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.72991125,478134.21333433763,735591.0974403989,676743.809645167,-58847.28779523191,58847.28779523191,8.0
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25630045.4,312537.835,161518261.01,104986869.66,363.5664,265657.16,46880.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.613505,340884.766604232,524438.1024505659,482483.0542545206,-41955.048196045274,41955.048196045274,8.0
2026-08-29,29,2026-08-01,True,BOGOTA,35838686.4,312537.835,161518261.01,104986869.66,363.5664,265657.16,46880.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.613505,340884.766604232,524438.1024505659,482483.0542545206,-41955.048196045274,41955.048196045274,8.0
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28369131.97,312537.835,161518261.01,104986869.66,363.5664,265657.16,46880.68,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.613505,340884.766604232,524438.1024505659,482483.0542545206,-41955.048196045274,41955.048196045274,8.0
