Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,62310000.0,52963500.0,9346500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,62725400.0,53316590.0,9408810.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,63140800.0,53669680.0,9471120.0,85.0,15.0,66.92999999999999,19987.690000000002,102.96000000000001,94.73000000000002,-8.25,8.25
2024-04-01,HISTORICO,63556200.0,54022770.0,9533430.0,85.0,15.0,66.8,19347.07,102.77000000000001,94.53999999999999,-8.23,8.23
2024-05-01,HISTORICO,63971600.0,54375860.0,9595740.0,85.0,15.0,69.56,19384.27,107.02000000000001,98.46000000000001,-8.57,8.57
2024-06-01,HISTORICO,64387000.0,54728950.0,9658050.0,85.0,15.0,73.00999999999999,20306.0,112.33,103.35000000000001,-8.99,8.99
2024-07-01,HISTORICO,64802400.0,55082040.0,9720360.0,85.0,15.0,73.86,21479.87,113.62,104.55000000000001,-9.09,9.09
2024-08-01,HISTORICO,65217800.0,55435130.0,9782670.0,85.0,15.0,71.32,21919.910000000003,109.72,100.94,-8.79,8.79
2024-09-01,HISTORICO,65633200.0,55788220.0,9844980.0,85.0,15.0,68.11999999999999,21447.33,104.80000000000001,96.41,-8.38,8.38
2024-10-01,HISTORICO,66048600.0,56141310.0,9907290.0,85.0,15.0,67.13,20721.51,103.27,95.02000000000001,-8.26,8.26
2024-11-01,HISTORICO,66464000.0,56494400.0,9969600.0,85.0,15.0,69.10000000000001,20514.08,106.32000000000002,97.82,-8.5,8.5
2024-12-01,HISTORICO,66879400.0,56847490.0,10031910.0,85.0,15.0,72.54,21215.219999999998,111.59,102.67,-8.93,8.93
2025-01-01,HISTORICO,67294800.0,57200580.0,10094220.0,85.0,15.0,74.28,22429.569999999996,114.28999999999999,105.13,-9.149999999999999,9.149999999999999
2025-02-01,HISTORICO,67710200.0,57553670.0,10156530.0,85.0,15.0,72.61,23148.590000000004,111.72000000000003,102.77000000000001,-8.93,8.93
2025-03-01,HISTORICO,68125600.0,57906760.0,10218840.0,85.0,15.0,69.39,22889.790000000005,106.75000000000001,98.22,-8.540000000000001,8.540000000000001
