Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,29758242.85,439166.405,191357910.85000002,124382642.05,362.8469,373291.44,65874.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.499215,478050.5059151835,735462.3168073725,676625.3314627827,-58836.985344589804,58836.985344589804,8.0
2026-08-28,28,2026-08-01,True,BOGOTA,42564888.22,439166.405,191357910.85000002,124382642.05,362.8469,373291.44,65874.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.499215,478050.5059151835,735462.3168073725,676625.3314627827,-58836.985344589804,58836.985344589804,8.0
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33591304.31,439166.405,191357910.85000002,124382642.05,362.8469,373291.44,65874.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.499215,478050.5059151835,735462.3168073725,676625.3314627827,-58836.985344589804,58836.985344589804,8.0
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26356104.82,439166.405,191357910.85000002,124382642.05,362.8469,373291.44,65874.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.499215,478050.5059151835,735462.3168073725,676625.3314627827,-58836.985344589804,58836.985344589804,8.0
2026-08-28,28,2026-08-01,True,VALLE,21856610.87,439166.405,191357910.85000002,124382642.05,362.8469,373291.44,65874.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.499215,478050.5059151835,735462.3168073725,676625.3314627827,-58836.985344589804,58836.985344589804,8.0
2026-08-28,28,2026-08-01,True,SANTANDER,16937454.92,439166.405,191357910.85000002,124382642.05,362.8469,373291.44,65874.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.499215,478050.5059151835,735462.3168073725,676625.3314627827,-58836.985344589804,58836.985344589804,8.0
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,11046402.84,439166.405,191357910.85000002,124382642.05,362.8469,373291.44,65874.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.499215,478050.5059151835,735462.3168073725,676625.3314627827,-58836.985344589804,58836.985344589804,8.0
2026-08-28,28,2026-08-01,True,TOLIMA,9246902.02,439166.405,191357910.85000002,124382642.05,362.8469,373291.44,65874.96,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.499215,478050.5059151835,735462.3168073725,676625.3314627827,-58836.985344589804,58836.985344589804,8.0
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25160572.16,312130.03375,161307510.68999997,104849881.95,363.5664,265310.53,46819.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.39010125,340439.978107098,523753.81246496545,481853.5074677682,-41900.304997197236,41900.304997197236,8.0
2026-08-29,29,2026-08-01,True,BOGOTA,35691463.83,312130.03375,161307510.68999997,104849881.95,363.5664,265310.53,46819.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.39010125,340439.978107098,523753.81246496545,481853.5074677682,-41900.304997197236,41900.304997197236,8.0
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28616962.46,312130.03375,161307510.68999997,104849881.95,363.5664,265310.53,46819.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.39010125,340439.978107098,523753.81246496545,481853.5074677682,-41900.304997197236,41900.304997197236,8.0
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22343748.59,312130.03375,161307510.68999997,104849881.95,363.5664,265310.53,46819.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.39010125,340439.978107098,523753.81246496545,481853.5074677682,-41900.304997197236,41900.304997197236,8.0
2026-08-29,29,2026-08-01,True,VALLE,18451082.76,312130.03375,161307510.68999997,104849881.95,363.5664,265310.53,46819.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.39010125,340439.978107098,523753.81246496545,481853.5074677682,-41900.304997197236,41900.304997197236,8.0
2026-08-29,29,2026-08-01,True,SANTANDER,14314573.93,312130.03375,161307510.68999997,104849881.95,363.5664,265310.53,46819.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.39010125,340439.978107098,523753.81246496545,481853.5074677682,-41900.304997197236,41900.304997197236,8.0
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9175575.73,312130.03375,161307510.68999997,104849881.95,363.5664,265310.53,46819.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.39010125,340439.978107098,523753.81246496545,481853.5074677682,-41900.304997197236,41900.304997197236,8.0
2026-08-29,29,2026-08-01,True,TOLIMA,7553531.23,312130.03375,161307510.68999997,104849881.95,363.5664,265310.53,46819.51,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.39010125,340439.978107098,523753.81246496545,481853.5074677682,-41900.304997197236,41900.304997197236,8.0
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25342956.65,312127.39625,161306147.92000002,104848996.15,364.2743,265308.29,46819.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.38218875,341099.9663393741,524769.1789736424,482787.64465575106,-41981.534317891346,41981.534317891346,7.99999999999999
2026-08-30,30,2026-08-01,True,BOGOTA,35705933.52,312127.39625,161306147.92000002,104848996.15,364.2743,265308.29,46819.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.38218875,341099.9663393741,524769.1789736424,482787.64465575106,-41981.534317891346,41981.534317891346,7.99999999999999
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28804354.63,312127.39625,161306147.92000002,104848996.15,364.2743,265308.29,46819.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.38218875,341099.9663393741,524769.1789736424,482787.64465575106,-41981.534317891346,41981.534317891346,7.99999999999999
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22053069.53,312127.39625,161306147.92000002,104848996.15,364.2743,265308.29,46819.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.38218875,341099.9663393741,524769.1789736424,482787.64465575106,-41981.534317891346,41981.534317891346,7.99999999999999
2026-08-30,30,2026-08-01,True,VALLE,18438351.89,312127.39625,161306147.92000002,104848996.15,364.2743,265308.29,46819.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.38218875,341099.9663393741,524769.1789736424,482787.64465575106,-41981.534317891346,41981.534317891346,7.99999999999999
2026-08-30,30,2026-08-01,True,SANTANDER,14241830.71,312127.39625,161306147.92000002,104848996.15,364.2743,265308.29,46819.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.38218875,341099.9663393741,524769.1789736424,482787.64465575106,-41981.534317891346,41981.534317891346,7.99999999999999
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9127310.15,312127.39625,161306147.92000002,104848996.15,364.2743,265308.29,46819.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.38218875,341099.9663393741,524769.1789736424,482787.64465575106,-41981.534317891346,41981.534317891346,7.99999999999999
2026-08-30,30,2026-08-01,True,TOLIMA,7592340.84,312127.39625,161306147.92000002,104848996.15,364.2743,265308.29,46819.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.38218875,341099.9663393741,524769.1789736424,482787.64465575106,-41981.534317891346,41981.534317891346,7.99999999999999
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30158375.5,441906.2525,192551744.26,125158633.77,364.9592,375620.31,66285.94,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1325.7187575,483833.257162194,744358.8571666589,684810.1485933262,-59548.70857333264,59548.70857333264,7.99999999999999
