Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,70140000.0,59619000.0,10521000.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,70607600.0,60016460.0,10591140.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,71075200.0,60413920.0,10661280.0,85.0,15.0,75.34,22499.38,115.9,106.64,-9.280000000000001,9.280000000000001
2024-04-01,HISTORICO,71542800.0,60811380.0,10731420.0,85.0,15.0,75.19,21778.25,115.7,106.43000000000002,-9.250000000000002,9.250000000000002
2024-05-01,HISTORICO,72010400.0,61208840.0,10801560.0,85.0,15.0,78.30999999999999,21820.14,120.46000000000001,110.82000000000001,-9.64,9.64
2024-06-01,HISTORICO,72478000.0,61606300.0,10871700.0,85.0,15.0,82.19,22857.690000000002,126.44000000000001,116.33000000000001,-10.110000000000001,10.110000000000001
2024-07-01,HISTORICO,72945600.0,62003760.0,10941840.0,85.0,15.0,83.13,24179.079999999994,127.92,117.67,-10.22,10.22
2024-08-01,HISTORICO,73413200.0,62401220.0,11011980.0,85.0,15.0,80.28,24674.41,123.5,113.62,-9.879999999999999,9.879999999999999
2024-09-01,HISTORICO,73880800.0,62798680.0,11082120.0,85.0,15.0,76.66999999999999,24142.45,117.97000000000001,108.54,-9.440000000000001,9.440000000000001
2024-10-01,HISTORICO,74348400.0,63196140.0,11152260.0,85.0,15.0,75.57000000000001,23325.420000000002,116.26,106.96000000000002,-9.3,9.3
2024-11-01,HISTORICO,74816000.0,63593600.0,11222400.0,85.0,15.0,77.79,23091.910000000003,119.68,110.1,-9.57,9.57
2024-12-01,HISTORICO,75283600.0,63991060.0,11292540.0,85.0,15.0,81.64,23881.18,125.58999999999999,115.56,-10.05,10.05
2025-01-01,HISTORICO,75751200.0,64388520.0,11362680.0,85.0,15.0,83.63,25248.11,128.65,118.34999999999998,-10.29,10.29
2025-02-01,HISTORICO,76218800.0,64785980.0,11432820.0,85.0,15.0,81.73,26057.500000000004,125.74000000000001,115.7,-10.070000000000002,10.070000000000002
2025-03-01,HISTORICO,76686400.0,65183440.0,11502960.0,85.0,15.0,78.12000000000002,25766.170000000006,120.17,110.57000000000001,-9.61,9.61
2025-04-01,HISTORICO,77154000.0,65580900.0,11573100.0,85.0,15.0,76.17,24926.43,117.18,107.78999999999999,-9.370000000000001,9.370000000000001
2025-05-01,HISTORICO,77621600.0,65978360.0,11643240.0,85.0,15.0,77.46,24450.84,119.16,109.63000000000001,-9.52,9.52
