Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30162670.86,440360.085,191878032.84000003,124720721.35,362.8469,374306.07,66054.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.080255,479349.87517795956,737461.3464039786,678464.4386916604,-58996.907712318236,58996.907712318236,7.999999999999992
2026-08-28,28,2026-08-01,True,BOGOTA,42814260.3,440360.085,191878032.84000003,124720721.35,362.8469,374306.07,66054.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.080255,479349.87517795956,737461.3464039786,678464.4386916604,-58996.907712318236,58996.907712318236,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33999884.5,440360.085,191878032.84000003,124720721.35,362.8469,374306.07,66054.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.080255,479349.87517795956,737461.3464039786,678464.4386916604,-58996.907712318236,58996.907712318236,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26536203.4,440360.085,191878032.84000003,124720721.35,362.8469,374306.07,66054.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.080255,479349.87517795956,737461.3464039786,678464.4386916604,-58996.907712318236,58996.907712318236,7.999999999999992
2026-08-28,28,2026-08-01,True,VALLE,21760409.99,440360.085,191878032.84000003,124720721.35,362.8469,374306.07,66054.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.080255,479349.87517795956,737461.3464039786,678464.4386916604,-58996.907712318236,58996.907712318236,7.999999999999992
2026-08-28,28,2026-08-01,True,SANTANDER,16751377.75,440360.085,191878032.84000003,124720721.35,362.8469,374306.07,66054.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.080255,479349.87517795956,737461.3464039786,678464.4386916604,-58996.907712318236,58996.907712318236,7.999999999999992
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10821634.4,440360.085,191878032.84000003,124720721.35,362.8469,374306.07,66054.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.080255,479349.87517795956,737461.3464039786,678464.4386916604,-58996.907712318236,58996.907712318236,7.999999999999992
2026-08-28,28,2026-08-01,True,TOLIMA,9031591.64,440360.085,191878032.84000003,124720721.35,362.8469,374306.07,66054.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.080255,479349.87517795956,737461.3464039786,678464.4386916604,-58996.907712318236,58996.907712318236,7.999999999999992
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25277751.4,312746.4925,161626094.28,105056961.28,363.5664,265834.52,46911.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.2394775,341112.349172556,524788.2295062304,482805.17114573205,-41983.0583604984,41983.0583604984,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,35557056.26,312746.4925,161626094.28,105056961.28,363.5664,265834.52,46911.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.2394775,341112.349172556,524788.2295062304,482805.17114573205,-41983.0583604984,41983.0583604984,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28476989.44,312746.4925,161626094.28,105056961.28,363.5664,265834.52,46911.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.2394775,341112.349172556,524788.2295062304,482805.17114573205,-41983.0583604984,41983.0583604984,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22611468.73,312746.4925,161626094.28,105056961.28,363.5664,265834.52,46911.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.2394775,341112.349172556,524788.2295062304,482805.17114573205,-41983.0583604984,41983.0583604984,7.999999999999993
2026-08-29,29,2026-08-01,True,VALLE,18459035.74,312746.4925,161626094.28,105056961.28,363.5664,265834.52,46911.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.2394775,341112.349172556,524788.2295062304,482805.17114573205,-41983.0583604984,41983.0583604984,7.999999999999993
2026-08-29,29,2026-08-01,True,SANTANDER,14387844.43,312746.4925,161626094.28,105056961.28,363.5664,265834.52,46911.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.2394775,341112.349172556,524788.2295062304,482805.17114573205,-41983.0583604984,41983.0583604984,7.999999999999993
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9143447.47,312746.4925,161626094.28,105056961.28,363.5664,265834.52,46911.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.2394775,341112.349172556,524788.2295062304,482805.17114573205,-41983.0583604984,41983.0583604984,7.999999999999993
2026-08-29,29,2026-08-01,True,TOLIMA,7712500.81,312746.4925,161626094.28,105056961.28,363.5664,265834.52,46911.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.2394775,341112.349172556,524788.2295062304,482805.17114573205,-41983.0583604984,41983.0583604984,7.999999999999993
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25581310.89,314004.7375,162276350.03,105479627.52,364.2743,266904.03,47100.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0142125,343151.56784848875,527925.4889951725,485691.4498755588,-42234.039119613764,42234.039119613764,7.999999999999992
2026-08-30,30,2026-08-01,True,BOGOTA,35863919.45,314004.7375,162276350.03,105479627.52,364.2743,266904.03,47100.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0142125,343151.56784848875,527925.4889951725,485691.4498755588,-42234.039119613764,42234.039119613764,7.999999999999992
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28701017.54,314004.7375,162276350.03,105479627.52,364.2743,266904.03,47100.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0142125,343151.56784848875,527925.4889951725,485691.4498755588,-42234.039119613764,42234.039119613764,7.999999999999992
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22291478.79,314004.7375,162276350.03,105479627.52,364.2743,266904.03,47100.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0142125,343151.56784848875,527925.4889951725,485691.4498755588,-42234.039119613764,42234.039119613764,7.999999999999992
2026-08-30,30,2026-08-01,True,VALLE,18728634.27,314004.7375,162276350.03,105479627.52,364.2743,266904.03,47100.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0142125,343151.56784848875,527925.4889951725,485691.4498755588,-42234.039119613764,42234.039119613764,7.999999999999992
2026-08-30,30,2026-08-01,True,SANTANDER,14197780.91,314004.7375,162276350.03,105479627.52,364.2743,266904.03,47100.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0142125,343151.56784848875,527925.4889951725,485691.4498755588,-42234.039119613764,42234.039119613764,7.999999999999992
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9281269.97,314004.7375,162276350.03,105479627.52,364.2743,266904.03,47100.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0142125,343151.56784848875,527925.4889951725,485691.4498755588,-42234.039119613764,42234.039119613764,7.999999999999992
2026-08-30,30,2026-08-01,True,TOLIMA,7630938.21,314004.7375,162276350.03,105479627.52,364.2743,266904.03,47100.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.0142125,343151.56784848875,527925.4889951725,485691.4498755588,-42234.039119613764,42234.039119613764,7.999999999999992
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30406740.74,440958.88,192138945.45999998,124890314.55,364.9592,374815.05,66143.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.87664,482796.000233088,742763.0772757266,683342.0310936685,-59421.04618205805,59421.04618205805,7.99999999999999
2026-08-31,31,2026-08-01,True,BOGOTA,42428473.76,440958.88,192138945.45999998,124890314.55,364.9592,374815.05,66143.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.87664,482796.000233088,742763.0772757266,683342.0310936685,-59421.04618205805,59421.04618205805,7.99999999999999
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33672361.66,440958.88,192138945.45999998,124890314.55,364.9592,374815.05,66143.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.87664,482796.000233088,742763.0772757266,683342.0310936685,-59421.04618205805,59421.04618205805,7.99999999999999
2026-08-31,31,2026-08-01,True,CARIBE_SOL,27062113.8,440958.88,192138945.45999998,124890314.55,364.9592,374815.05,66143.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.87664,482796.000233088,742763.0772757266,683342.0310936685,-59421.04618205805,59421.04618205805,7.99999999999999
2026-08-31,31,2026-08-01,True,VALLE,21786498.85,440958.88,192138945.45999998,124890314.55,364.9592,374815.05,66143.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.87664,482796.000233088,742763.0772757266,683342.0310936685,-59421.04618205805,59421.04618205805,7.99999999999999
2026-08-31,31,2026-08-01,True,SANTANDER,16823943.35,440958.88,192138945.45999998,124890314.55,364.9592,374815.05,66143.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.87664,482796.000233088,742763.0772757266,683342.0310936685,-59421.04618205805,59421.04618205805,7.99999999999999
