Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,FREC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,11214375.0,9532218.75,1682156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,FREC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,11214375.0,9532218.75,1682156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,FREC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,11214375.0,9532218.75,1682156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,FREC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,11214375.0,9532218.75,1682156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,FREC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,11214375.0,9532218.75,1682156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,FREC,CNIOR,SANTANDER,ESSA - SANTANDER,11214375.0,9532218.75,1682156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,FREC,CNIOR,TOLIMA,ELET - TOLIMA,11214375.0,9532218.75,1682156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,FREC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,11214375.0,9532218.75,1682156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,FREC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,11289137.5,9595766.88,1693370.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,FREC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,11289137.5,9595766.88,1693370.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,FREC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,11289137.5,9595766.88,1693370.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,FREC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,11289137.5,9595766.88,1693370.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,FREC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,11289137.5,9595766.88,1693370.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,FREC,CNIOR,SANTANDER,ESSA - SANTANDER,11289137.5,9595766.88,1693370.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,FREC,CNIOR,TOLIMA,ELET - TOLIMA,11289137.5,9595766.88,1693370.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,FREC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,11289137.5,9595766.88,1693370.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,9.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,FREC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,11363900.0,9659315.0,1704585.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,9.2015,15.2,4539.21,23.38,21.51,-1.87,1.87,8.0
2024-03-01,HISTORICO,FREC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,11363900.0,9659315.0,1704585.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,9.2015,21.28,6354.9,32.74,30.12,-2.62,2.62,8.0
2024-03-01,HISTORICO,FREC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,11363900.0,9659315.0,1704585.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,9.2015,17.02,5083.92,26.19,24.09,-2.1,2.1,8.0
2024-03-01,HISTORICO,FREC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,11363900.0,9659315.0,1704585.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,9.2015,13.38,3994.51,20.58,18.93,-1.65,1.65,8.0
2024-03-01,HISTORICO,FREC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,11363900.0,9659315.0,1704585.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,9180000.0,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,9.2015,5.47,1634.12,8.42,7.74,-0.67,0.67,8.0
2024-03-01,HISTORICO,FREC,CNIOR,SANTANDER,ESSA - SANTANDER,11363900.0,9659315.0,1704585.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,14280000.0,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,9.2015,8.51,2541.96,13.1,12.05,-1.05,1.05,8.0
