Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,89715000.0,76257750.0,13457250.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,90313100.0,76766135.04,13546965.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,90911200.0,77274520.0,13636680.0,85.0,15.0,96.36,28778.609999999997,148.27,136.38,-11.870000000000001,11.870000000000001
2024-04-01,HISTORICO,91509300.0,77782904.96,13726395.039999995,85.0,15.0,96.17999999999998,27856.230000000003,147.97,136.13,-11.830000000000002,11.830000000000002
2024-05-01,HISTORICO,92107400.0,78291290.0,13816110.0,85.0,15.0,100.16,27909.809999999998,154.1,141.77,-12.32,12.32
2024-06-01,HISTORICO,92705500.0,78799675.04,13905825.039999995,85.0,15.0,105.12,29236.909999999996,161.73,148.8,-12.940000000000001,12.940000000000001
2024-07-01,HISTORICO,93303600.0,79308060.0,13995540.0,85.0,15.0,106.34,30927.090000000004,163.61,150.52,-13.09,13.09
2024-08-01,HISTORICO,93901700.0,79816444.96,14085255.039999995,85.0,15.0,102.67999999999999,31560.66,157.98,145.33,-12.64,12.64
2024-09-01,HISTORICO,94499800.0,80324830.0,14174970.0,85.0,15.0,98.07999999999998,30880.230000000003,150.89999999999998,138.83,-12.080000000000002,12.080000000000002
2024-10-01,HISTORICO,95097900.0,80833215.04,14264685.039999995,85.0,15.0,96.65999999999998,29835.17,148.7,136.81,-11.9,11.9
2024-11-01,HISTORICO,95696000.0,81341600.0,14354400.0,85.0,15.0,99.5,29536.490000000005,153.07,140.82999999999998,-12.24,12.24
2024-12-01,HISTORICO,96294100.0,81849984.96,14444115.039999995,85.0,15.0,104.42999999999999,30546.050000000003,160.66,147.81,-12.86,12.86
2025-01-01,HISTORICO,96892200.0,82358370.0,14533830.0,85.0,15.0,106.96000000000002,32294.460000000006,164.54,151.38,-13.17,13.17
2025-02-01,HISTORICO,97490300.0,82866755.04,14623545.039999995,85.0,15.0,104.55000000000001,33329.74,160.84000000000003,147.97,-12.870000000000001,12.870000000000001
2025-03-01,HISTORICO,98088400.0,83375140.0,14713260.0,85.0,15.0,99.92,32957.1,153.71,141.42,-12.309999999999999,12.309999999999999
2025-04-01,HISTORICO,98686500.0,83883524.96,14802975.039999995,85.0,15.0,97.42,31883.040000000005,149.88,137.9,-11.99,11.99
2025-05-01,HISTORICO,99284600.0,84391910.0,14892690.0,85.0,15.0,99.07999999999998,31274.69,152.42000000000002,140.22,-12.18,12.18
2025-06-01,HISTORICO,99882700.0,84900295.04,14982405.039999995,85.0,15.0,103.6,31917.950000000004,159.39,146.63,-12.749999999999998,12.749999999999998
2025-07-01,HISTORICO,100480800.0,85408680.0,15072120.0,85.0,15.0,107.08999999999997,33595.659999999996,164.74000000000004,151.57,-13.18,13.18
2025-08-01,HISTORICO,101078900.0,85917064.96,15161835.039999995,85.0,15.0,106.06,34972.72,163.17000000000002,150.12,-13.05,13.05
2025-09-01,HISTORICO,101677000.0,86425450.0,15251550.0,85.0,15.0,101.78,34978.090000000004,156.57,144.05,-12.53,12.53
2025-10-01,HISTORICO,102275100.0,86933835.04,15341265.039999995,85.0,15.0,98.47,33976.68,151.48,139.36,-12.120000000000001,12.120000000000001
