Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30168235.24,443075.91875,193061402.52,125489911.64,362.8469,376614.53,66461.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1329.22775625,482306.17074926815,742009.4934485867,682648.7339726997,-59360.75947588694,59360.75947588694,8.0
2026-08-28,28,2026-08-01,True,BOGOTA,42748823.32,443075.91875,193061402.52,125489911.64,362.8469,376614.53,66461.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1329.22775625,482306.17074926815,742009.4934485867,682648.7339726997,-59360.75947588694,59360.75947588694,8.0
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34311854.9,443075.91875,193061402.52,125489911.64,362.8469,376614.53,66461.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1329.22775625,482306.17074926815,742009.4934485867,682648.7339726997,-59360.75947588694,59360.75947588694,8.0
2026-08-28,28,2026-08-01,True,CARIBE_SOL,27027590.35,443075.91875,193061402.52,125489911.64,362.8469,376614.53,66461.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1329.22775625,482306.17074926815,742009.4934485867,682648.7339726997,-59360.75947588694,59360.75947588694,8.0
2026-08-28,28,2026-08-01,True,VALLE,21941114.57,443075.91875,193061402.52,125489911.64,362.8469,376614.53,66461.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1329.22775625,482306.17074926815,742009.4934485867,682648.7339726997,-59360.75947588694,59360.75947588694,8.0
2026-08-28,28,2026-08-01,True,SANTANDER,17057191.91,443075.91875,193061402.52,125489911.64,362.8469,376614.53,66461.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1329.22775625,482306.17074926815,742009.4934485867,682648.7339726997,-59360.75947588694,59360.75947588694,8.0
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10805190.89,443075.91875,193061402.52,125489911.64,362.8469,376614.53,66461.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1329.22775625,482306.17074926815,742009.4934485867,682648.7339726997,-59360.75947588694,59360.75947588694,8.0
2026-08-28,28,2026-08-01,True,TOLIMA,9001401.34,443075.91875,193061402.52,125489911.64,362.8469,376614.53,66461.39,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1329.22775625,482306.17074926815,742009.4934485867,682648.7339726997,-59360.75947588694,59360.75947588694,8.0
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25561088.05,312799.7875,161653636.8,105074863.92,363.5664,265879.82,46919.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.3993624999999,341170.47798642,524877.6584406461,482887.4457653945,-41990.21267525165,41990.21267525165,7.999999999999992
2026-08-29,29,2026-08-01,True,BOGOTA,35738432.74,312799.7875,161653636.8,105074863.92,363.5664,265879.82,46919.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.3993624999999,341170.47798642,524877.6584406461,482887.4457653945,-41990.21267525165,41990.21267525165,7.999999999999992
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28528142.66,312799.7875,161653636.8,105074863.92,363.5664,265879.82,46919.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.3993624999999,341170.47798642,524877.6584406461,482887.4457653945,-41990.21267525165,41990.21267525165,7.999999999999992
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22421963.03,312799.7875,161653636.8,105074863.92,363.5664,265879.82,46919.97,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.3993624999999,341170.47798642,524877.6584406461,482887.4457653945,-41990.21267525165,41990.21267525165,7.999999999999992
