Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,45127500.0,38358375.04,6769125.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,45428350.0,38614097.52,6814252.480000002,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,45729200.0,38869820.0,6859380.0,85.0,15.0,48.46,14475.920000000002,74.57000000000001,68.61,-5.97,5.97
2024-04-01,HISTORICO,46030050.0,39125542.48,6904507.519999998,85.0,15.0,48.379999999999995,14011.96,74.43,68.48,-5.96,5.96
2024-05-01,HISTORICO,46330900.0,39381264.96,6949635.04,85.0,15.0,50.38000000000001,14038.9,77.52,71.32,-6.2,6.2
2024-06-01,HISTORICO,46631750.0,39636987.52,6994762.480000002,85.0,15.0,52.88,14706.45,81.34999999999998,74.85000000000001,-6.51,6.51
2024-07-01,HISTORICO,46932600.0,39892710.0,7039890.0,85.0,15.0,53.50999999999999,15556.630000000001,82.28999999999999,75.71999999999998,-6.57,6.57
2024-08-01,HISTORICO,47233450.0,40148432.48,7085017.519999998,85.0,15.0,51.65,15875.310000000001,79.46,73.1,-6.34,6.34
2024-09-01,HISTORICO,47534300.0,40404155.04,7130145.04,85.0,15.0,49.33,15533.050000000001,75.9,69.82999999999998,-6.07,6.07
2024-10-01,HISTORICO,47835150.0,40659877.52,7175272.480000002,85.0,15.0,48.61999999999999,15007.369999999997,74.8,68.81999999999998,-5.9799999999999995,5.9799999999999995
2024-11-01,HISTORICO,48136000.0,40915600.0,7220400.0,85.0,15.0,50.040000000000006,14857.150000000001,76.99,70.83,-6.16,6.16
2024-12-01,HISTORICO,48436850.0,41171322.48,7265527.519999998,85.0,15.0,52.54,15364.949999999999,80.82999999999998,74.35,-6.470000000000001,6.470000000000001
2025-01-01,HISTORICO,48737700.0,41427044.96,7310655.04,85.0,15.0,53.8,16244.43,82.77000000000001,76.14,-6.609999999999999,6.609999999999999
2025-02-01,HISTORICO,49038550.0,41682767.52,7355782.480000002,85.0,15.0,52.58,16765.18,80.91000000000001,74.43,-6.48,6.48
2025-03-01,HISTORICO,49339400.0,41938490.0,7400910.0,85.0,15.0,50.27,16577.75,77.32,71.14,-6.19,6.19
