Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30222334.98,440562.33625,191966159.61,124778003.75,362.8469,374477.99,66084.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.68700875,479570.03389521036,737800.0521257825,678776.0479557199,-59024.0041700626,59024.0041700626,8.0
2026-08-28,28,2026-08-01,True,BOGOTA,42626357.8,440562.33625,191966159.61,124778003.75,362.8469,374477.99,66084.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.68700875,479570.03389521036,737800.0521257825,678776.0479557199,-59024.0041700626,59024.0041700626,8.0
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33816443.61,440562.33625,191966159.61,124778003.75,362.8469,374477.99,66084.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.68700875,479570.03389521036,737800.0521257825,678776.0479557199,-59024.0041700626,59024.0041700626,8.0
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26762583.56,440562.33625,191966159.61,124778003.75,362.8469,374477.99,66084.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.68700875,479570.03389521036,737800.0521257825,678776.0479557199,-59024.0041700626,59024.0041700626,8.0
2026-08-28,28,2026-08-01,True,VALLE,21835973.41,440562.33625,191966159.61,124778003.75,362.8469,374477.99,66084.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.68700875,479570.03389521036,737800.0521257825,678776.0479557199,-59024.0041700626,59024.0041700626,8.0
2026-08-28,28,2026-08-01,True,SANTANDER,16770076.37,440562.33625,191966159.61,124778003.75,362.8469,374477.99,66084.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.68700875,479570.03389521036,737800.0521257825,678776.0479557199,-59024.0041700626,59024.0041700626,8.0
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10943290.92,440562.33625,191966159.61,124778003.75,362.8469,374477.99,66084.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.68700875,479570.03389521036,737800.0521257825,678776.0479557199,-59024.0041700626,59024.0041700626,8.0
2026-08-28,28,2026-08-01,True,TOLIMA,8989098.96,440562.33625,191966159.61,124778003.75,362.8469,374477.99,66084.35,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.68700875,479570.03389521036,737800.0521257825,678776.0479557199,-59024.0041700626,59024.0041700626,8.0
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25548991.52,314469.4175,162516494.53,105635721.44,363.5664,267299.0,47170.41,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.4082525,342991.54209171596,527679.2955481956,485464.95190433995,-42214.34364385565,42214.34364385565,8.000000000000002
2026-08-29,29,2026-08-01,True,BOGOTA,36433271.87,314469.4175,162516494.53,105635721.44,363.5664,267299.0,47170.41,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.4082525,342991.54209171596,527679.2955481956,485464.95190433995,-42214.34364385565,42214.34364385565,8.000000000000002
