Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,64702500.0,54997124.95999999,9705375.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,65133850.0,55363772.480000004,9770077.519999998,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,65565200.0,55730420.0,9834780.0,85.0,15.0,69.51,20755.14,106.91000000000001,98.37,-8.56,8.56
2024-04-01,HISTORICO,65996550.0,56097067.519999996,9899482.480000002,85.0,15.0,69.37,20089.93,106.72000000000001,98.18000000000002,-8.540000000000001,8.540000000000001
2024-05-01,HISTORICO,66427900.0,56463715.04000001,9964185.04,85.0,15.0,72.23,20128.559999999998,111.14,102.25,-8.88,8.88
2024-06-01,HISTORICO,66859250.0,56830362.480000004,10028887.519999998,85.0,15.0,75.82000000000001,21085.699999999997,116.64999999999999,107.32,-9.33,9.33
2024-07-01,HISTORICO,67290600.0,57197010.0,10093590.0,85.0,15.0,76.71000000000001,22304.63,118.00000000000001,108.56,-9.440000000000001,9.440000000000001
2024-08-01,HISTORICO,67721950.0,57563657.519999996,10158292.480000002,85.0,15.0,74.05,22761.56,113.92999999999999,104.82000000000001,-9.129999999999999,9.129999999999999
2024-09-01,HISTORICO,68153300.0,57930304.95999999,10222995.04,85.0,15.0,70.75,22270.839999999997,108.82,100.13000000000001,-8.700000000000001,8.700000000000001
2024-10-01,HISTORICO,68584650.0,58296952.480000004,10287697.519999998,85.0,15.0,69.71000000000001,21517.15,107.23000000000002,98.65,-8.58,8.58
2024-11-01,HISTORICO,69016000.0,58663600.0,10352400.0,85.0,15.0,71.77,21301.73,110.38999999999999,101.57,-8.830000000000002,8.830000000000002
