Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,29990448.08,438346.66625,191000725.94,124150471.86,362.8469,372594.67,65752.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.03999875,477158.18692244135,734089.5183481304,675362.35688028,-58727.16146785044,58727.16146785044,8.000000000000002
2026-08-28,28,2026-08-01,True,BOGOTA,42159528.71,438346.66625,191000725.94,124150471.86,362.8469,372594.67,65752.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.03999875,477158.18692244135,734089.5183481304,675362.35688028,-58727.16146785044,58727.16146785044,8.000000000000002
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33980740.21,438346.66625,191000725.94,124150471.86,362.8469,372594.67,65752.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.03999875,477158.18692244135,734089.5183481304,675362.35688028,-58727.16146785044,58727.16146785044,8.000000000000002
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26390638.92,438346.66625,191000725.94,124150471.86,362.8469,372594.67,65752.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.03999875,477158.18692244135,734089.5183481304,675362.35688028,-58727.16146785044,58727.16146785044,8.000000000000002
2026-08-28,28,2026-08-01,True,VALLE,21470281.94,438346.66625,191000725.94,124150471.86,362.8469,372594.67,65752.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.03999875,477158.18692244135,734089.5183481304,675362.35688028,-58727.16146785044,58727.16146785044,8.000000000000002
2026-08-28,28,2026-08-01,True,SANTANDER,16907012.35,438346.66625,191000725.94,124150471.86,362.8469,372594.67,65752.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.03999875,477158.18692244135,734089.5183481304,675362.35688028,-58727.16146785044,58727.16146785044,8.000000000000002
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10924519.73,438346.66625,191000725.94,124150471.86,362.8469,372594.67,65752.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.03999875,477158.18692244135,734089.5183481304,675362.35688028,-58727.16146785044,58727.16146785044,8.000000000000002
2026-08-28,28,2026-08-01,True,TOLIMA,9177556.0,438346.66625,191000725.94,124150471.86,362.8469,372594.67,65752.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.03999875,477158.18692244135,734089.5183481304,675362.35688028,-58727.16146785044,58727.16146785044,8.000000000000002
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25524670.52,313824.725,162183320.4,105419158.26,363.5664,266751.02,47073.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.474175,342288.37649771996,526597.5023041845,484469.70211984974,-42127.800184334745,42127.800184334745,7.999999999999997
2026-08-29,29,2026-08-01,True,BOGOTA,35700973.09,313824.725,162183320.4,105419158.26,363.5664,266751.02,47073.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.474175,342288.37649771996,526597.5023041845,484469.70211984974,-42127.800184334745,42127.800184334745,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28782833.84,313824.725,162183320.4,105419158.26,363.5664,266751.02,47073.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.474175,342288.37649771996,526597.5023041845,484469.70211984974,-42127.800184334745,42127.800184334745,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22613702.77,313824.725,162183320.4,105419158.26,363.5664,266751.02,47073.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.474175,342288.37649771996,526597.5023041845,484469.70211984974,-42127.800184334745,42127.800184334745,7.999999999999997
2026-08-29,29,2026-08-01,True,VALLE,18322729.48,313824.725,162183320.4,105419158.26,363.5664,266751.02,47073.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.474175,342288.37649771996,526597.5023041845,484469.70211984974,-42127.800184334745,42127.800184334745,7.999999999999997
2026-08-29,29,2026-08-01,True,SANTANDER,14408811.1,313824.725,162183320.4,105419158.26,363.5664,266751.02,47073.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.474175,342288.37649771996,526597.5023041845,484469.70211984974,-42127.800184334745,42127.800184334745,7.999999999999997
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9222770.2,313824.725,162183320.4,105419158.26,363.5664,266751.02,47073.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.474175,342288.37649771996,526597.5023041845,484469.70211984974,-42127.800184334745,42127.800184334745,7.999999999999997
2026-08-29,29,2026-08-01,True,TOLIMA,7606829.4,313824.725,162183320.4,105419158.26,363.5664,266751.02,47073.71,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.474175,342288.37649771996,526597.5023041845,484469.70211984974,-42127.800184334745,42127.800184334745,7.999999999999997
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25270285.44,312404.92375,161449572.76,104942222.29,364.2743,265544.19,46860.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.21477125,341403.25474675384,525235.7765534875,483216.91442920855,-42018.86212427897,42018.86212427897,7.999999999999993
2026-08-30,30,2026-08-01,True,BOGOTA,35855702.81,312404.92375,161449572.76,104942222.29,364.2743,265544.19,46860.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.21477125,341403.25474675384,525235.7765534875,483216.91442920855,-42018.86212427897,42018.86212427897,7.999999999999993
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28672680.69,312404.92375,161449572.76,104942222.29,364.2743,265544.19,46860.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.21477125,341403.25474675384,525235.7765534875,483216.91442920855,-42018.86212427897,42018.86212427897,7.999999999999993
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22336347.49,312404.92375,161449572.76,104942222.29,364.2743,265544.19,46860.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.21477125,341403.25474675384,525235.7765534875,483216.91442920855,-42018.86212427897,42018.86212427897,7.999999999999993
2026-08-30,30,2026-08-01,True,VALLE,18182677.51,312404.92375,161449572.76,104942222.29,364.2743,265544.19,46860.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.21477125,341403.25474675384,525235.7765534875,483216.91442920855,-42018.86212427897,42018.86212427897,7.999999999999993
2026-08-30,30,2026-08-01,True,SANTANDER,14403448.23,312404.92375,161449572.76,104942222.29,364.2743,265544.19,46860.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.21477125,341403.25474675384,525235.7765534875,483216.91442920855,-42018.86212427897,42018.86212427897,7.999999999999993
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9051689.76,312404.92375,161449572.76,104942222.29,364.2743,265544.19,46860.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.21477125,341403.25474675384,525235.7765534875,483216.91442920855,-42018.86212427897,42018.86212427897,7.999999999999993
2026-08-30,30,2026-08-01,True,TOLIMA,7676740.83,312404.92375,161449572.76,104942222.29,364.2743,265544.19,46860.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.21477125,341403.25474675384,525235.7765534875,483216.91442920855,-42018.86212427897,42018.86212427897,7.999999999999993
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30292720.33,439774.41,191622836.35,124554843.63,364.9592,373808.25,65966.16,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.32323,481499.150562216,740767.9239270025,681506.4900128423,-59261.43391416012,59261.43391416012,7.99999999999999
2026-08-31,31,2026-08-01,True,BOGOTA,42308863.13,439774.41,191622836.35,124554843.63,364.9592,373808.25,65966.16,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.32323,481499.150562216,740767.9239270025,681506.4900128423,-59261.43391416012,59261.43391416012,7.99999999999999
2026-08-31,31,2026-08-01,True,CARIBE_MAR,34095786.97,439774.41,191622836.35,124554843.63,364.9592,373808.25,65966.16,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.32323,481499.150562216,740767.9239270025,681506.4900128423,-59261.43391416012,59261.43391416012,7.99999999999999
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26625287.97,439774.41,191622836.35,124554843.63,364.9592,373808.25,65966.16,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.32323,481499.150562216,740767.9239270025,681506.4900128423,-59261.43391416012,59261.43391416012,7.99999999999999
2026-08-31,31,2026-08-01,True,VALLE,21719685.92,439774.41,191622836.35,124554843.63,364.9592,373808.25,65966.16,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.32323,481499.150562216,740767.9239270025,681506.4900128423,-59261.43391416012,59261.43391416012,7.99999999999999
2026-08-31,31,2026-08-01,True,SANTANDER,16705599.05,439774.41,191622836.35,124554843.63,364.9592,373808.25,65966.16,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.32323,481499.150562216,740767.9239270025,681506.4900128423,-59261.43391416012,59261.43391416012,7.99999999999999
2026-08-31,31,2026-08-01,True,CUNDINAMARCA,10932931.22,439774.41,191622836.35,124554843.63,364.9592,373808.25,65966.16,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.32323,481499.150562216,740767.9239270025,681506.4900128423,-59261.43391416012,59261.43391416012,7.99999999999999
2026-08-31,31,2026-08-01,True,TOLIMA,8941961.76,439774.41,191622836.35,124554843.63,364.9592,373808.25,65966.16,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.32323,481499.150562216,740767.9239270025,681506.4900128423,-59261.43391416012,59261.43391416012,7.99999999999999
2026-09-01,1,2026-09-01,True,ANTIOQUIA,30123069.59,439155.5025,191353160.15,124379554.1,365.6102,373282.18,65873.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.4665075,481679.19330037653,741044.9127549153,681761.3197345221,-59283.593020393164,59283.593020393164,7.999999999999992
2026-09-01,1,2026-09-01,True,BOGOTA,42273593.21,439155.5025,191353160.15,124379554.1,365.6102,373282.18,65873.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.4665075,481679.19330037653,741044.9127549153,681761.3197345221,-59283.593020393164,59283.593020393164,7.999999999999992
2026-09-01,1,2026-09-01,True,CARIBE_MAR,33543676.58,439155.5025,191353160.15,124379554.1,365.6102,373282.18,65873.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.4665075,481679.19330037653,741044.9127549153,681761.3197345221,-59283.593020393164,59283.593020393164,7.999999999999992
2026-09-01,1,2026-09-01,True,CARIBE_SOL,26750035.5,439155.5025,191353160.15,124379554.1,365.6102,373282.18,65873.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.4665075,481679.19330037653,741044.9127549153,681761.3197345221,-59283.593020393164,59283.593020393164,7.999999999999992
2026-09-01,1,2026-09-01,True,VALLE,21595775.87,439155.5025,191353160.15,124379554.1,365.6102,373282.18,65873.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.4665075,481679.19330037653,741044.9127549153,681761.3197345221,-59283.593020393164,59283.593020393164,7.999999999999992
2026-09-01,1,2026-09-01,True,SANTANDER,17070748.11,439155.5025,191353160.15,124379554.1,365.6102,373282.18,65873.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.4665075,481679.19330037653,741044.9127549153,681761.3197345221,-59283.593020393164,59283.593020393164,7.999999999999992
2026-09-01,1,2026-09-01,True,CUNDINAMARCA,10998284.0,439155.5025,191353160.15,124379554.1,365.6102,373282.18,65873.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.4665075,481679.19330037653,741044.9127549153,681761.3197345221,-59283.593020393164,59283.593020393164,7.999999999999992
2026-09-01,1,2026-09-01,True,TOLIMA,8997977.29,439155.5025,191353160.15,124379554.1,365.6102,373282.18,65873.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.4665075,481679.19330037653,741044.9127549153,681761.3197345221,-59283.593020393164,59283.593020393164,7.999999999999992
2026-09-02,2,2026-09-01,True,ANTIOQUIA,30375299.14,442404.88,192769010.71999997,125299856.97,366.2172,376044.15,66360.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1327.2146400000001,486048.82925980806,747767.4296185381,687946.0352490551,-59821.394369482994,59821.394369482994,7.999999999999992
2026-09-02,2,2026-09-01,True,BOGOTA,42245026.49,442404.88,192769010.71999997,125299856.97,366.2172,376044.15,66360.73,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1327.2146400000001,486048.82925980806,747767.4296185381,687946.0352490551,-59821.394369482994,59821.394369482994,7.999999999999992
